"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",0,0.166261442194433,0.157443001560545,0.121725805159076,0.201311709735361,0.142195982290358,0.140033261628301,0.104311394387929,0.0792492285814286,0.150963510492837,0.157326828402624
"antsin",0.166261442194433,0,0.125839216647122,0.0839866657528265,0.141501815969349,0.140978647797094,0.156605525537086,0.041343716904347,0.0979243509113772,0.183161061634922,0.10661745668984
"astfer",0.157443001560545,0.125839216647122,0,0.112038527710577,0.0648805027757799,0.079705654182034,0.102261099249669,0.130527180779927,0.0855167488590889,0.0537288005039889,0.0917705200757281
"fompin",0.121725805159076,0.0839866657528265,0.112038527710577,0,0.12465246395514,0.123190011079345,0.129713027699219,0.0863121223324761,0.0833636167239106,0.155921256339721,0.101936794239322
"hetpar",0.201311709735361,0.141501815969349,0.0648805027757799,0.12465246395514,0,0.0822123750703444,0.128153673565798,0.132808279750016,0.0934867322302388,0.0690034453105334,0.097004063072145
"junlut",0.142195982290358,0.140978647797094,0.079705654182034,0.123190011079345,0.0822123750703444,0,0.109686843053187,0.125541231623365,0.0761346553015569,0.0884893124831439,0.0991374699033547
"phefer",0.140033261628301,0.156605525537086,0.102261099249669,0.129713027699219,0.128153673565798,0.109686843053187,0,0.138027722949194,0.0893037954955044,0.0995763071693252,0.121477748066511
"phenig",0.104311394387929,0.041343716904347,0.130527180779927,0.0863121223324761,0.132808279750016,0.125541231623365,0.138027722949194,0,0.0816498272872772,0.178001238056298,0.105424155332172
"phevit",0.0792492285814286,0.0979243509113772,0.0855167488590889,0.0833636167239106,0.0934867322302388,0.0761346553015569,0.0893037954955044,0.0816498272872772,0,0.0858962465987814,0.0838310785060989
"poscae",0.150963510492837,0.183161061634922,0.0537288005039889,0.155921256339721,0.0690034453105334,0.0884893124831439,0.0995763071693252,0.178001238056298,0.0858962465987814,0,0.115873002110036
"triabi",0.157326828402624,0.10661745668984,0.0917705200757281,0.101936794239322,0.097004063072145,0.0991374699033547,0.121477748066511,0.105424155332172,0.0838310785060989,0.115873002110036,0
