"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.112077240169001,0.17039222798394,0.128002386065065,0.125744826063433,0.123781995000625,0.114228631609929,0.128006147308811,0.134052992328344,0.125492759718615,0.123219089589211,0.153498841537069,0.127781849221031,0.157513678115678,0.13831140885094,0.14988288847704
"Culex_modestus",0.112077240169001,1,0.180390247466266,0.10199670278118,0.115621073376006,0.1111412153004,0.0994377066252874,0.117799880849047,0.128973868795447,0.124175359245817,0.119929283858742,0.153783121521759,0.11143196094392,0.163396119630511,0.132810909493235,0.141225528037537
"Culiseta_annulata",0.17039222798394,0.180390247466266,1,0.186563913421581,0.157881428538927,0.166688184982178,0.182498752006692,0.16927345532085,0.183212169552816,0.179146657857227,0.1771425405798,0.161556024184269,0.168177928733852,0.175045561951294,0.157223452467073,0.17604319978305
"Anopheles_maculipennis_sl",0.128002386065065,0.10199670278118,0.186563913421581,1,0.109574295023191,0.115563341338587,0.104317915405955,0.11700443280374,0.121249644043243,0.121030953403369,0.122063006296378,0.156942400932729,0.115916508118698,0.15631298380705,0.134472991700201,0.125346626597634
"waterboatmen__Corixidae",0.125744826063433,0.115621073376006,0.157881428538927,0.109574295023191,1,0.116032191327061,0.107997253251047,0.114670201123202,0.123992966445037,0.117389740182873,0.13262675599458,0.14128242400045,0.114563343167184,0.152372463719773,0.133529895242321,0.135665021741626
"diving_beetles__Dysticidae",0.123781995000625,0.1111412153004,0.166688184982178,0.115563341338587,0.116032191327061,1,0.110980329203047,0.111838699360029,0.12003188421538,0.110256023055431,0.130778960507634,0.147360649060751,0.110150692474909,0.157821620362262,0.135720188919087,0.131979401311553
"damselflies__Zygoptera",0.114228631609929,0.0994377066252874,0.182498752006692,0.104317915405955,0.107997253251047,0.110980329203047,1,0.111054541608954,0.117109341376736,0.104199357317273,0.125146523421547,0.150719023007358,0.111338051148532,0.164577999451412,0.134909462487928,0.13245975021836
"swimming_beetles__Haliplidae",0.128006147308811,0.117799880849047,0.16927345532085,0.11700443280374,0.114670201123202,0.111838699360029,0.111054541608954,1,0.118080099829346,0.098095650027002,0.131594744270853,0.153997293337558,0.122614290614925,0.153402430150584,0.141498965690543,0.132005050294801
"opossum_shrimps__Mysidae",0.134052992328344,0.128973868795447,0.183212169552816,0.121249644043243,0.123992966445037,0.12003188421538,0.117109341376736,0.118080099829346,1,0.114139015002076,0.137696431874195,0.156344706323013,0.126553024682785,0.163956299511516,0.13912965318211,0.13574006023902
"ditch_shrimp__Gammarus",0.125492759718615,0.124175359245817,0.179146657857227,0.121030953403369,0.117389740182873,0.110256023055431,0.104199357317273,0.098095650027002,0.114139015002076,1,0.138151284855077,0.156561488164702,0.126368113729078,0.162129871891949,0.143950290555492,0.140865713589969
"beetle_larvae__Coleoptera",0.123219089589211,0.119929283858742,0.1771425405798,0.122063006296378,0.13262675599458,0.130778960507634,0.125146523421547,0.131594744270853,0.137696431874195,0.138151284855077,1,0.156626965145684,0.131277498984942,0.149249496792827,0.140792506631225,0.140608199343129
"dragonflies__Anisoptera",0.153498841537069,0.153783121521759,0.161556024184269,0.156942400932729,0.14128242400045,0.147360649060751,0.150719023007358,0.153997293337558,0.156344706323013,0.156561488164702,0.156626965145684,1,0.145388728054392,0.163286983403688,0.156436292612721,0.158978343826757
"mayflies__Ephemeroptera",0.127781849221031,0.11143196094392,0.168177928733852,0.115916508118698,0.114563343167184,0.110150692474909,0.111338051148532,0.122614290614925,0.126553024682785,0.126368113729078,0.131277498984942,0.145388728054392,1,0.14427845219685,0.135742163096491,0.132868675239854
"newts__Pleurodelinae",0.157513678115678,0.163396119630511,0.175045561951294,0.15631298380705,0.152372463719773,0.157821620362262,0.164577999451412,0.153402430150584,0.163956299511516,0.162129871891949,0.149249496792827,0.163286983403688,0.14427845219685,1,0.155139211649044,0.156520405828011
"fish",0.13831140885094,0.132810909493235,0.157223452467073,0.134472991700201,0.133529895242321,0.135720188919087,0.134909462487928,0.141498965690543,0.13912965318211,0.143950290555492,0.140792506631225,0.156436292612721,0.135742163096491,0.155139211649044,1,0.152498503027925
"saucer_bugs__Ilyocoris",0.14988288847704,0.141225528037537,0.17604319978305,0.125346626597634,0.135665021741626,0.131979401311553,0.13245975021836,0.132005050294801,0.13574006023902,0.140865713589969,0.140608199343129,0.158978343826757,0.132868675239854,0.156520405828011,0.152498503027925,1
