"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.593940057688254,0.609095865559298,0.497132741223225,0.315647590035215,0.40547415319088,0.456425881666709,0.620855030408839,0.290690678954049,0.265618702783572,0.175332513791036,0.409794662411458,-0.184957462133016,0.582129042458694,0.536745245578217,0.0608969735237203,0.491331963513209,0.443362162372071,-0.0821602649201577,-0.0511948871559418,0.589122726087549,0.175508322404136,0.614051842012163,0.582324203530369,0.657879200876353,0.243879663267222,0.593395426138194,0.462003835768054,0.444451231616534,0.637443853349751,0.653931174224229,0.65596341228117,0.576195208524107,0.570520089739284,0.29675161831085,0.496072260787779,0.559518279373452,0.606443821381347,0.352644415705109,0.40080736540861,0.620266649840449,0.648203209605914,0.643417786607415,0.359658947756169,0.600694469477192,0.558752100829588,0.653520192087677,0.639053369318123,0.533878220444945,0.347833370896637,0.558493662593452,0.470139425405853,0.575081525604042,0.654607421303873,0.566217069442149
"orange_tip",0.593940057688254,1,0.5231003234404,0.507412328636982,0.406067127616115,0.230412673182724,0.446857584653923,0.547684014745468,0.279255246671661,0.24940559741505,0.236347952332073,0.367803254255587,-0.0344041831669374,0.636091314375592,0.56134667049508,0.041015262295086,0.435536752733842,0.133087260369167,-0.136715784996911,0.197007528365048,0.51030787216037,0.132282516937292,0.616523407147959,0.431581741447005,0.551729326570024,0.104360714304181,0.653081065299379,0.61166743153124,0.133212090287787,0.522942198840961,0.499000637116554,0.534538467867747,0.513346323951736,0.581383315024912,0.388971842709848,0.556940589181875,0.403280238717738,0.677491015533921,0.459848860301978,0.310883465115485,0.576457867750971,0.575608725235073,0.663974916076053,0.28781278195678,0.647303116289935,0.405430755567432,0.594405757680622,0.620030283089576,0.509849679199171,0.331219182013787,0.455605722934804,0.40316193589002,0.623045741060976,0.593361634515103,0.516486375996026
"purple_emperor",0.609095865559298,0.5231003234404,1,0.474300917641956,0.24869411695121,0.362089538957729,0.441781600029541,0.601173219244458,0.160577571635501,0.268592535127938,0.139806885410677,0.353556552453085,-0.077188904819384,0.569965619163562,0.434517140393173,-0.0247090491706574,0.463116073819818,0.481349639409647,-0.067753146887798,-0.148485489315688,0.480651133876383,0.183001070775803,0.602169312416034,0.537382828634158,0.599121965839614,0.164092578170491,0.526943413733615,0.334563674932715,0.483414530368016,0.536490386603204,0.612644687869328,0.581370736468999,0.578154141390626,0.469978677867817,0.306148426299932,0.491988178616064,0.506135868990395,0.5277467555771,0.299595169893305,0.477363663345556,0.593847309784185,0.549992673656498,0.590233841286757,0.322772735948412,0.561685295115374,0.495926814034182,0.632766003633745,0.625919469966668,0.554385814725176,0.404064615690518,0.456662709086563,0.490486700221881,0.581777775402128,0.599007143801898,0.534017817977517
"ringlet",0.497132741223225,0.507412328636982,0.474300917641956,1,0.0860901999515323,0.246610680741795,0.360574822095678,0.502403134964504,0.133400824225833,0.0900539933359926,0.17476025726063,0.174880869029207,-0.212219647201597,0.383165296839835,0.458245421217351,0.000124327393505022,0.34308778528542,0.332729936339866,-0.233437877915472,0.0635168260424287,0.447619260036098,0.213506785346709,0.37685097922427,0.36295985341935,0.528056045567829,0.133253447831364,0.572426348666314,0.36095297263591,0.335864808444326,0.542540103245155,0.503423431450546,0.503756793474369,0.549942716044275,0.496597724559399,0.211029189820994,0.410671024094463,0.338505788100998,0.505985108241638,0.325058978087181,-0.0279859242712016,0.545838681904517,0.48544017014029,0.557713760971357,0.232291926200208,0.440213242534492,0.34070254739362,0.479156950124581,0.411257178755433,0.45499692024697,0.332046559864453,0.433608989989256,0.355543848193511,0.423777380718041,0.522444577237158,0.476519777352198
"high_brown_fritillary",0.315647590035215,0.406067127616115,0.24869411695121,0.0860901999515323,1,0.421738220916094,0.567561355039353,0.102600809633964,0.205870871312619,0.518505609385391,0.566989691433587,0.409404408915759,0.430757388255889,0.372885578946151,0.482750583818333,0.259347944485836,0.340408502287608,0.0201975150912122,0.355593358701033,0.38173295657776,0.261766846909194,0.457827704454924,0.293457456888779,0.273427728977662,0.250645907227234,0.40898217508305,0.308685871806654,0.341975301162441,0.027903720731887,0.255017819615893,0.118904522831507,0.248798414982025,0.301476891629364,0.493888632889414,0.510087175123383,0.329357559446876,0.293436444940432,0.351881375818351,0.251424027414964,0.450516197337842,0.129940098760537,0.45368590756406,0.308440775312967,0.319337068700943,0.276065733523659,0.284901417833609,0.282168339335385,0.411930724664837,0.10458910549664,0.470894481985097,0.311427382881014,-0.144116579314914,0.242958940479609,0.288158758651018,0.244827761353822
"dark.green_fritillary",0.40547415319088,0.230412673182724,0.362089538957729,0.246610680741795,0.421738220916094,1,0.514550223207598,0.167315188037192,0.278598812349527,0.464610746032137,0.473786847019564,0.356470863216733,0.164083655424838,0.122438019201956,0.462727061777349,0.259768480881702,0.402380644408177,0.440870266651504,0.350633915784616,0.0515739605720513,0.43733064583611,0.44769315782904,0.158727706035844,0.477001876152693,0.42222933851097,0.498750875067423,0.173650076874308,0.0129331084542393,0.437200059809087,0.47184381034654,0.383930930205297,0.459841838002898,0.356259548569692,0.504836068197418,0.232492672796804,0.194206143502402,0.509483717808325,0.147025122388116,-0.0447064620527733,0.291754411005938,0.172038436366194,0.552702105386582,0.261945724454379,0.451646906119626,0.0766553809874271,0.508773846947916,0.334055373153305,0.260529642064801,0.0564460852109356,0.389774476440359,0.57438853971796,-0.106047754020679,0.0180269653298049,0.305048363120942,0.247613676093873
"silver.washed_fritillary",0.456425881666709,0.446857584653923,0.441781600029541,0.360574822095678,0.567561355039353,0.514550223207598,1,0.241695921246162,0.0479713286291194,0.560318743687005,0.553051148631043,0.421560038776821,0.316147888562007,0.42929199217049,0.48112442182379,0.084986567351987,0.428422323990561,0.357470967281512,0.186669952317407,0.145080237111868,0.42644174728292,0.580294588512279,0.360909979044257,0.405078570723225,0.43647854858426,0.349267649477598,0.365775851043727,0.26167818583318,0.35867763533729,0.484341505044739,0.373319086054666,0.413261448250213,0.584924076236189,0.580680908119514,0.495633117014497,0.378655110211389,0.326681204570189,0.415850686673217,0.123740545571057,0.505413519365305,0.298124501030529,0.559149366138075,0.408969914381909,0.329808020762192,0.33992450088572,0.32180177930607,0.487257208833125,0.525654427975996,0.23552587852583,0.648700194588237,0.43948459468723,-0.0468867237080768,0.353304378543576,0.422058392116266,0.330311320627654
"brown_argus",0.620855030408839,0.547684014745468,0.601173219244458,0.502403134964504,0.102600809633964,0.167315188037192,0.241695921246162,1,0.126276708280572,0.00792806971476412,-0.0542414136273175,0.299861380002609,-0.262874381258943,0.580951690448351,0.380547637462106,-0.0838838828146835,0.382271093055222,0.375205337064303,-0.249715337888042,-0.173966380566874,0.418629266230739,-0.0183322652103329,0.609198359541181,0.473177989590085,0.602937650655708,0.0743206401182668,0.594182440300599,0.432384565031325,0.376552811913635,0.546417202344651,0.624270167918637,0.587345462344405,0.467969940095293,0.43546760516386,0.248078745961345,0.475825122927116,0.406503012093174,0.588738370630447,0.412194894309396,0.340955500272663,0.661720807827547,0.486262339577813,0.626904510294174,0.290799605306197,0.611422581053075,0.4015930526417,0.593312074579081,0.613401962210168,0.612780343360426,0.218985289765175,0.445919223570893,0.665127259523238,0.626367786270115,0.638636746885738,0.574162909386397
"northern_brown_argus",0.290690678954049,0.279255246671661,0.160577571635501,0.133400824225833,0.205870871312619,0.278598812349527,0.0479713286291194,0.126276708280572,1,0.155499439096318,0.166611036037259,0.158467648538839,-0.0925987463393092,0.0596896826034153,0.389024036457452,0.233395740491755,0.126548066476688,0.0981770248874019,0.234797835630235,0.16615456473914,0.334269844440487,-0.121893879148498,0.0955593102448439,0.302464906914781,0.248500729797007,0.260965507785998,0.238595515404052,0.24058293408559,0.0972125803192846,0.240237238601637,0.209617165628883,0.375902710721638,0.0345514550707541,0.308800197412733,-0.060715702578373,0.0524269814014891,0.482978476396967,0.188102458802848,0.125746637813738,-0.0759008370914949,0.2611744427063,0.364377181829944,0.289224708908645,0.235615894767194,0.145941656641979,0.478485002298779,0.18175718903768,0.0535312255890329,0.0497130950468566,-0.1098203792702,0.397262653943483,0.0462189176076133,0.0496963543044999,0.227032642866183,0.225913406153389
"pearl_bordered_fritillary",0.265618702783572,0.24940559741505,0.268592535127938,0.0900539933359926,0.518505609385391,0.464610746032137,0.560318743687005,0.00792806971476412,0.155499439096318,1,0.546074100957004,0.400764349422036,0.453384812246265,0.170441859073472,0.405128153472083,0.181949434485201,0.327397251026075,0.272175494822858,0.405905976580821,0.222188794624152,0.347698913902245,0.454637327590532,0.163711801938484,0.356298102957884,0.269542203445953,0.345436337086106,0.0860072888637073,0.0394802838598424,0.274792591586717,0.314723068281019,0.21002825047165,0.232786872623881,0.358816205704385,0.441360554307716,0.405512811918474,0.24268707271989,0.326321922515609,0.130800883102046,-0.0538242356759159,0.423516141022264,0.045285701883369,0.442362472038531,0.2025548930332,0.314363968915224,0.0706070492173384,0.32066063151608,0.338295354449141,0.284778067088353,-0.00513990601976781,0.41342265243125,0.388976801074869,-0.171000683013413,0.056399017239808,0.202440264897286,0.154805051018302
