"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,0.0677540663393598,0.308902518074641,0.247349287135542,0.00355456698480724,0.392349006490009,0.297102288873472,0.226135927293834,0.159849479832952,0.205179612628964,0.32034683424781,0.217533140742494
"ARE",0.0677540663393598,1,-0.10155558540822,0.332488501696924,0.620311180574497,0.0776756656683098,0.220410772400312,0.33141974661789,0.299114074704847,0.328770219778764,0.17036099270861,0.312358306833132
"BAX",0.308902518074641,-0.10155558540822,1,0.0915963924779703,0.00704064337807106,0.171545922067982,0.192759036544143,0.0825811979150203,0.176756168439322,-0.15544342829537,0.302860704974017,-0.067581934467108
"CAM",0.247349287135542,0.332488501696924,0.0915963924779703,1,0.335734654384165,0.484566279825685,-0.0240207547144573,0.164411217933846,-0.0124787585918623,0.4643675269895,0.254138278602762,0.140307350083987
"GON",0.00355456698480724,0.620311180574497,0.00704064337807106,0.335734654384165,1,0.10043484645675,0.141929195742395,0.317798373500563,0.333144359368584,0.280223022767492,0.173704563337086,0.306615159846622
"MEL",0.392349006490009,0.0776756656683098,0.171545922067982,0.484566279825685,0.10043484645675,1,0.0073665763834708,0.211498930158375,-0.0760157832893352,0.374617409182798,0.186206595105031,0.178109354983335
"OBL",0.297102288873472,0.220410772400312,0.192759036544143,-0.0240207547144573,0.141929195742395,0.0073665763834708,1,0.245251318700096,0.229943754969317,0.170444170176454,0.449286047342206,0.226124376776413
"OVA",0.226135927293834,0.33141974661789,0.0825811979150203,0.164411217933846,0.317798373500563,0.211498930158375,0.245251318700096,1,0.239567406614494,0.424537974970979,0.413655301049552,0.12721254785434
"WIL",0.159849479832952,0.299114074704847,0.176756168439322,-0.0124787585918623,0.333144359368584,-0.0760157832893352,0.229943754969317,0.239567406614494,1,0.276147410305259,0.054385020319564,0.400521488277946
"ALP",0.205179612628964,0.328770219778764,-0.15544342829537,0.4643675269895,0.280223022767492,0.374617409182798,0.170444170176454,0.424537974970979,0.276147410305259,1,0.233666909032283,0.414818160872207
"VIM",0.32034683424781,0.17036099270861,0.302860704974017,0.254138278602762,0.173704563337086,0.186206595105031,0.449286047342206,0.413655301049552,0.054385020319564,0.233666909032283,1,-0.0680031978944486
"ARO.SAB",0.217533140742494,0.312358306833132,-0.067581934467108,0.140307350083987,0.306615159846622,0.178109354983335,0.226124376776413,0.12721254785434,0.400521488277946,0.414818160872207,-0.0680031978944486,1
