"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,0.0931610705195823,0.329892307163631,0.149103034614506,-0.101836859480439,0.51186087973906,0.415767752506325,0.288277559104241,0.251953415563583,0.229095892378657,0.29088596465181,0.339965410847602
"ARE",0.0931610705195821,1,-0.154647177995071,0.560889380608834,0.789487099766262,0.140043493657394,0.363858477538404,0.459084871974624,0.612719522873651,0.367797858886761,0.329972674248326,0.52089077362829
"BAX",0.329892307163631,-0.154647177995071,1,-0.0119726757492311,0.140219396324885,0.136941848864921,0.186708886617402,-0.0154369812207682,0.190933871667483,-0.381446128613715,0.324691847476948,-0.131612149647676
"CAM",0.149103034614506,0.560889380608835,-0.011972675749231,1,0.593746158996772,0.623491782112818,-0.178999859426122,0.180717013742354,-0.13979167300263,0.622692264132757,0.282223079389215,0.140715000364364
"GON",-0.101836859480439,0.789487099766262,0.140219396324884,0.593746158996772,1,0.12743152359444,0.0804194446944507,0.475200907228334,0.664132130954883,0.282674449405448,0.292056743520037,0.449257511317511
"MEL",0.511860879739059,0.140043493657394,0.136941848864921,0.623491782112819,0.12743152359444,1,-0.0442545095534994,0.202514843624153,-0.246689535488626,0.416528494175707,0.160702382295951,0.217353109481722
"OBL",0.415767752506325,0.363858477538405,0.186708886617402,-0.178999859426122,0.0804194446944508,-0.0442545095534996,1,0.252097929154682,0.242566435755939,0.221071376966628,0.587253382213458,0.245434479104629
"OVA",0.288277559104241,0.459084871974625,-0.0154369812207677,0.180717013742354,0.475200907228334,0.202514843624153,0.252097929154683,1,0.374227346790492,0.773872872492508,0.561276682133981,0.171034391575362
"WIL",0.251953415563583,0.612719522873651,0.190933871667483,-0.139791673002631,0.664132130954883,-0.246689535488626,0.242566435755939,0.374227346790492,1,0.38526392802568,-0.00783876982844033,0.452059390715235
"ALP",0.229095892378657,0.367797858886761,-0.381446128613715,0.622692264132757,0.282674449405448,0.416528494175707,0.221071376966628,0.773872872492508,0.38526392802568,1,0.471624891850041,0.627244445864424
"VIM",0.29088596465181,0.329972674248326,0.324691847476948,0.282223079389215,0.292056743520037,0.160702382295951,0.587253382213458,0.561276682133981,-0.00783876982844023,0.471624891850042,1,-0.147273082014246
"ARO.SAB",0.339965410847602,0.52089077362829,-0.131612149647677,0.140715000364363,0.449257511317512,0.217353109481722,0.245434479104629,0.171034391575363,0.452059390715235,0.627244445864424,-0.147273082014245,1
