"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.294649866035428,0.337299402207798,0.252299575504234,0.266525639429951,0.342657033043147,0.483938361558354,0.275643652664209,0.413801013345481,0.265584423233514,0.233732833369319
"antsin",0.294649866035428,1,0.427152635069255,0.559239718856705,0.401806943935275,0.150109979175615,0.339378814479607,0.00684594720930431,0.0881185862710069,0.314589774072488,0.463175039688766
"astfer",0.337299402207798,0.427152635069255,1,0.408280663433001,0.384226156723701,0.266705063677894,0.347282748342258,0.216988584610982,0.182815412971041,0.387119720865837,0.339372432494137
"fompin",0.252299575504234,0.559239718856705,0.408280663433001,1,0.38848972326328,0.161970250339341,0.29350442600933,-0.107278704960837,0.0162846621695993,0.297862280291216,0.521338773274781
"hetpar",0.266525639429951,0.401806943935275,0.384226156723701,0.38848972326328,1,0.286123448503814,0.338291601305105,0.0671998923593504,0.0649267247155822,0.341275978252596,0.450339398380628
"junlut",0.342657033043147,0.150109979175615,0.266705063677894,0.161970250339341,0.286123448503814,1,0.325773025966417,0.479853691779574,0.500970301811887,0.322018913018961,0.105575461244473
"phefer",0.483938361558354,0.339378814479607,0.347282748342258,0.29350442600933,0.338291601305105,0.325773025966417,1,0.296712366428146,0.361100626353104,0.361097493148317,0.241728464360552
"phenig",0.275643652664209,0.00684594720930431,0.216988584610982,-0.107278704960837,0.0671998923593504,0.479853691779574,0.296712366428146,1,0.482602341800744,0.267799937228165,-0.0780779334345443
"phevit",0.413801013345481,0.0881185862710069,0.182815412971041,0.0162846621695993,0.0649267247155822,0.500970301811887,0.361100626353104,0.482602341800744,1,0.261012205975782,-0.0307238573134898
"poscae",0.265584423233514,0.314589774072488,0.387119720865837,0.297862280291216,0.341275978252596,0.322018913018961,0.361097493148317,0.267799937228165,0.261012205975782,1,0.299462842780661
"triabi",0.233732833369319,0.463175039688766,0.339372432494137,0.521338773274781,0.450339398380628,0.105575461244473,0.241728464360552,-0.0780779334345443,-0.0307238573134898,0.299462842780661,1
