"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.401160760137747,0.479375480954394,0.441043931807278,0.397032235090133,0.505832218023873,0.813616309949258,0.252171842528843,0.529004961216507,0.384516143172423,0.386047025833972
"antsin",0.401160760137747,1,0.392311796928365,0.948702903763743,0.525402005053564,-0.0754101972134159,0.331598935457773,-0.832930801441341,-0.115181100209617,0.373919294190205,0.775527936780601
"astfer",0.479375480954394,0.392311796928365,1,0.374891412128824,0.185294989714874,0.145345752181696,0.28530460796291,0.1399241183459,0.188049852010077,0.145929589904048,0.292380450205289
"fompin",0.441043931807278,0.948702903763743,0.374891412128824,1,0.467722055267233,-0.0282852689374281,0.34004834166666,-0.613067447123009,-0.052796479167241,0.328569450414719,0.693364068005453
"hetpar",0.397032235090133,0.525402005053564,0.185294989714874,0.467722055267233,1,0.0678666274614925,0.265512575028709,0.00806858206181328,0.0972826290710181,0.156393704595763,0.352743659197572
"junlut",0.505832218023873,-0.0754101972134159,0.145345752181696,-0.0282852689374281,0.0678666274614925,1,0.397866842159669,0.638423925261527,0.386948761307238,0.214401522212644,-0.0194518177174734
"phefer",0.813616309949258,0.331598935457773,0.28530460796291,0.34004834166666,0.265512575028709,0.397866842159669,1,0.366883068263689,0.421082394552487,0.269083104761814,0.271136926769413
"phenig",0.252171842528843,-0.832930801441341,0.1399241183459,-0.613067447123009,0.00806858206181328,0.638423925261527,0.366883068263689,1,0.542984267458557,0.374622861599069,-0.368385912475828
"phevit",0.529004961216507,-0.115181100209617,0.188049852010077,-0.052796479167241,0.0972826290710181,0.386948761307238,0.421082394552487,0.542984267458557,1,0.212305491918317,-0.00444174704077779
"poscae",0.384516143172423,0.373919294190205,0.145929589904048,0.328569450414719,0.156393704595763,0.214401522212644,0.269083104761814,0.374622861599069,0.212305491918317,1,0.263277860767727
"triabi",0.386047025833972,0.775527936780601,0.292380450205289,0.693364068005453,0.352743659197572,-0.0194518177174734,0.271136926769413,-0.368385912475828,-0.00444174704077779,0.263277860767727,1
