"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.495171690006469,0.416285645939722,0.379093111615161,0.24744996408569,0.266166122348471,0.473215702419204,0.279883337423845,0.243206653255887,0.314566212337278,0.422830090395655,0.221687602185888,0.281825358989258,0.335662544199129,0.146945539691519,0.35381401009213
"Culex_modestus",0.495171690006469,1,0.463918538462377,0.516139027137686,0.410139530885672,0.339469707451676,0.540904805113148,0.346743671757313,0.162900010447267,0.36958828185145,0.479703119883107,0.236202446059863,0.446304818251305,0.451480289307647,0.117782616221128,0.465687774269469
"Culiseta_annulata",0.416285645939722,0.463918538462377,1,0.425683683183301,0.34564998752947,0.398241000916503,0.419861637953217,0.307093130372837,0.335569451229605,0.385180838866616,0.407506130266879,0.226129442607991,0.409818676776565,0.387700574510989,0.241637485982894,0.371275307381098
"Anopheles_maculipennis_sl",0.379093111615161,0.516139027137686,0.425683683183301,1,0.402342060222054,0.301612673186083,0.490175651205319,0.270666731972083,-0.0152454521790913,0.319527164251485,0.482391061152304,0.266954352650629,0.409426521050248,0.398581539975399,0.0988974372125747,0.477136164087443
"waterboatmen__Corixidae",0.24744996408569,0.410139530885672,0.34564998752947,0.402342060222054,1,0.324117275463123,0.392501168250402,0.336743979324376,0.206905076858951,0.29297386458089,0.318446505601027,0.336491658023052,0.36860158012279,0.341167508203112,0.252370152302502,0.412435835334519
"diving_beetles__Dysticidae",0.266166122348471,0.339469707451676,0.398241000916503,0.301612673186083,0.324117275463123,1,0.402098630517766,0.3798860714533,0.394583543436707,0.466878694675161,0.384656692130367,0.102368262150903,0.412363484658318,0.425280933436706,0.278660170919633,0.255401656151355
"damselflies__Zygoptera",0.473215702419204,0.540904805113148,0.419861637953217,0.490175651205319,0.392501168250402,0.402098630517766,1,0.420447974350578,0.181404392849332,0.416684480263581,0.457568756625217,0.235779025242663,0.425270810810927,0.414361162706341,0.0465575338798166,0.376441485197584
"swimming_beetles__Haliplidae",0.279883337423845,0.346743671757313,0.307093130372837,0.270666731972083,0.336743979324376,0.3798860714533,0.420447974350578,1,0.218161957549829,0.484486094346483,0.410877317207342,0.270606525131921,0.32023601252866,0.376810159097076,0.158069218259234,0.369071979078191
"opossum_shrimps__Mysidae",0.243206653255887,0.162900010447267,0.335569451229605,-0.0152454521790913,0.206905076858951,0.394583543436707,0.181404392849332,0.218161957549829,1,0.336249418657049,0.200102488733262,0.239591710402066,0.256961748115476,0.315667980691924,0.329976815741667,0.0620145240612126
"ditch_shrimp__Gammarus",0.314566212337278,0.36958828185145,0.385180838866616,0.319527164251485,0.29297386458089,0.466878694675161,0.416684480263581,0.484486094346483,0.336249418657049,1,0.447670450120267,0.227263666376664,0.309216942708548,0.457600060893388,0.198664109719177,0.279984820711052
"beetle_larvae__Coleoptera",0.422830090395655,0.479703119883107,0.407506130266879,0.482391061152304,0.318446505601027,0.384656692130367,0.457568756625217,0.410877317207342,0.200102488733262,0.447670450120267,1,0.202290930185251,0.368444565853883,0.477785395848677,0.139360294748806,0.362568665704772
"dragonflies__Anisoptera",0.221687602185888,0.236202446059863,0.226129442607991,0.266954352650629,0.336491658023052,0.102368262150903,0.235779025242663,0.270606525131921,0.239591710402066,0.227263666376664,0.202290930185251,1,0.223758575156654,0.240972768433841,0.281230735676495,0.353531395876614
"mayflies__Ephemeroptera",0.281825358989258,0.446304818251305,0.409818676776565,0.409426521050248,0.36860158012279,0.412363484658318,0.425270810810927,0.32023601252866,0.256961748115476,0.309216942708548,0.368444565853883,0.223758575156654,1,0.319966514193893,0.20736861237725,0.355849675919906
"newts__Pleurodelinae",0.335662544199129,0.451480289307647,0.387700574510989,0.398581539975399,0.341167508203112,0.425280933436706,0.414361162706341,0.376810159097076,0.315667980691924,0.457600060893388,0.477785395848677,0.240972768433841,0.319966514193893,1,0.289550574741239,0.367093403013319
"fish",0.146945539691519,0.117782616221128,0.241637485982894,0.0988974372125747,0.252370152302502,0.278660170919633,0.0465575338798166,0.158069218259234,0.329976815741667,0.198664109719177,0.139360294748806,0.281230735676495,0.20736861237725,0.289550574741239,1,0.219572862705435
"saucer_bugs__Ilyocoris",0.35381401009213,0.465687774269469,0.371275307381098,0.477136164087443,0.412435835334519,0.255401656151355,0.376441485197584,0.369071979078191,0.0620145240612126,0.279984820711052,0.362568665704772,0.353531395876614,0.355849675919906,0.367093403013319,0.219572862705435,1
