"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.674979038937965,0.67783260448784,0.394970371658067,0.185946783961722,0.240745742300104,0.6273673161958,0.226246600178223,0.299402327552652,0.322740352711203,0.495331701415719,0.256940771955436,0.243092271172293,0.440857082204218,0.22206848311937,0.305558660749366
"Culex_modestus",0.674979038937965,1,0.617197156892677,0.656444924649702,0.443894024918283,0.409752184083711,0.716568418995779,0.371543376245593,0.0743411553207279,0.404254931288568,0.652833848657063,0.21530343160266,0.54433812763496,0.578894047992191,0.195730140572226,0.532908644790384
"Culiseta_annulata",0.67783260448784,0.617197156892677,1,0.513799352077954,0.361161847795129,0.531493531250636,0.526129593075819,0.394591293219703,0.468453434450481,0.427131088096224,0.523710138286906,0.32109073842785,0.509808876183172,0.507422257164979,0.441897160089908,0.509768993235214
"Anopheles_maculipennis_sl",0.394970371658067,0.656444924649702,0.513799352077954,1,0.490632971283427,0.340461992520698,0.622547277280272,0.285883664757908,-0.318006998977538,0.345418147107095,0.686137614905262,0.322133334656716,0.466131412981948,0.579626244896594,0.193290785630674,0.67066607806629
"waterboatmen__Corixidae",0.185946783961722,0.443894024918283,0.361161847795129,0.490632971283426,1,0.42271905648295,0.459422663882214,0.426477856176166,0.230797401014924,0.363337086809592,0.410650076872238,0.509689489845066,0.497314909934963,0.372124686010222,0.391319661837796,0.57147461334763
"diving_beetles__Dysticidae",0.240745742300104,0.409752184083711,0.531493531250636,0.340461992520698,0.42271905648295,1,0.45503750054162,0.516255311459257,0.514370584273288,0.614623819794183,0.438399441432169,0.0241752224315524,0.56058184905736,0.490956903369531,0.365554587075891,0.276394762201655
"damselflies__Zygoptera",0.6273673161958,0.716568418995779,0.52612959307582,0.622547277280272,0.459422663882214,0.45503750054162,1,0.478343180328233,0.119407903721841,0.507609905035074,0.615216984036273,0.270054316105644,0.489963935405355,0.50138548210626,0.00664157525213289,0.439468466944148
"swimming_beetles__Haliplidae",0.226246600178223,0.371543376245593,0.394591293219703,0.285883664757907,0.426477856176166,0.516255311459257,0.478343180328233,1,0.280464170444941,0.699703399877847,0.482697705182819,0.354716495385919,0.422085857367547,0.465553774222159,0.0988746289438168,0.511846731966924
"opossum_shrimps__Mysidae",0.299402327552652,0.0743411553207275,0.468453434450481,-0.318006998977538,0.230797401014924,0.514370584273288,0.119407903721841,0.280464170444941,1,0.459011440524894,0.101191389890641,0.313532476852728,0.318312183863422,0.316413934143571,0.32584772627006,-0.0849445059244899
"ditch_shrimp__Gammarus",0.322740352711203,0.404254931288567,0.427131088096224,0.345418147107095,0.363337086809592,0.614623819794183,0.507609905035074,0.699703399877847,0.459011440524894,1,0.536658222220944,0.245019120207638,0.379224432262591,0.52801129556187,0.139369372058802,0.355981089568558
"beetle_larvae__Coleoptera",0.495331701415719,0.652833848657062,0.523710138286906,0.686137614905262,0.410650076872238,0.438399441432169,0.615216984036274,0.482697705182819,0.101191389890641,0.536658222220944,1,0.181834675928512,0.486937172894319,0.657102604988628,0.18153272519374,0.433365128700728
"dragonflies__Anisoptera",0.256940771955436,0.21530343160266,0.321090738427849,0.322133334656716,0.509689489845066,0.0241752224315525,0.270054316105644,0.354716495385919,0.313532476852728,0.245019120207638,0.181834675928512,1,0.261259659540951,0.290390420554302,0.473794340874819,0.540325228163416
"mayflies__Ephemeroptera",0.243092271172293,0.54433812763496,0.509808876183172,0.466131412981948,0.497314909934963,0.56058184905736,0.489963935405355,0.422085857367547,0.318312183863423,0.379224432262592,0.48693717289432,0.26125965954095,1,0.42126777085407,0.253504826764273,0.415257322074377
"newts__Pleurodelinae",0.440857082204219,0.578894047992191,0.507422257164979,0.579626244896594,0.372124686010222,0.490956903369531,0.50138548210626,0.465553774222158,0.316413934143571,0.52801129556187,0.657102604988628,0.290390420554302,0.42126777085407,1,0.476102482257739,0.495480375836816
"fish",0.22206848311937,0.195730140572226,0.441897160089908,0.193290785630674,0.391319661837796,0.365554587075891,0.0066415752521331,0.0988746289438169,0.32584772627006,0.139369372058802,0.18153272519374,0.473794340874819,0.253504826764273,0.476102482257739,1,0.37757443161529
"saucer_bugs__Ilyocoris",0.305558660749367,0.532908644790384,0.509768993235214,0.67066607806629,0.57147461334763,0.276394762201655,0.439468466944148,0.511846731966924,-0.08494450592449,0.355981089568558,0.433365128700728,0.540325228163416,0.415257322074378,0.495480375836816,0.37757443161529,1
