"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-16.68769135","-26.193","-7.62385","4.7755508846041","-0.286172052469325","-0.192530789428148","-0.548868874219594","-0.161808165900072","Ovaskainen 2016 NS","Anhinga"
"2","bio2","-0.0215314492398199","-0.0561475","0.011359","0.000387772537437082","0.323413681342565","0.21959901136548","0.62243969408691","0.182136347688731","Ovaskainen 2016 NS","Anhinga"
"3","bio3","0.0583227297860001","-0.063099","0.18157","0.00289502552743742","-0.351301901176862","-0.232704831395547","-0.68516783716021","-0.19805890798802","Ovaskainen 2016 NS","Anhinga"
"4","bio5","0.025446300319","-0.00436725","0.059372","0.000552015166402488","-0.817118731552242","-0.570116800117535","-1.28782174321255","-0.457858063622426","Ovaskainen 2016 NS","Anhinga"
"5","bio8","0.00800617642937498","0.000333705","0.0161775","1.45082806202085e-05","0.369316827851733","0.242935530289853","0.749278920739854","0.207761604269419","Ovaskainen 2016 NS","Anhinga"
"6","bio9","0.00416819354187499","-0.00339655","0.0124145","1.56201797335354e-05","-2.60684683202755","-1.7129175910129","-4.72599010111852","-1.46960822446257","Ovaskainen 2016 NS","Anhinga"
"7","bio15","-0.0056186082125","-0.038986","0.0267635","0.000481941383375342","-2.66838601486355","-1.74662204950106","-5.69169429464914","-1.50668746560468","Ovaskainen 2016 NS","Anhinga"
"8","bio16","0.001379418802925","-0.00648795","0.00846175","3.59254293452933e-05","-7.23059610043787","-7.73612452736456","-5.22659961389318","-4.1087073274008","Ovaskainen 2016 NS","Anhinga"
"9","bio18","0.008212752081075","0.0012424","0.01703","8.25843947015931e-05","-0.63809602055751","-0.47602013549304","-1.12360025651386","-0.364110993211906","Ovaskainen 2016 NS","Anhinga"
"10","intercept","-1.332277712475","-2.5131","-0.18937","0.0173044151439773","-0.803680929752502","-0.540464994760105","-1.50695231493403","-0.453610729333408","Ovaskainen 2016 NS","Double-crested"
"11","bio2","-0.0197858213249999","-0.029019","-0.0105465","0.00158908590853791","-0.190650583603697","-0.128191748656015","-0.370025256143749","-0.107195208328791","Ovaskainen 2016 NS","Double-crested"
"12","bio3","-0.00928819091367501","-0.039747","0.0203365","0.000297330723409258","0.469848678842734","0.319526196001928","0.91355046663969","0.265051608581824","Ovaskainen 2016 NS","Double-crested"
"13","bio5","0.00809044879650001","0.0034525","0.012826","0.000195444022468953","0.314828295650354","0.218076088739814","0.58084843474854","0.177075877372633","Ovaskainen 2016 NS","Double-crested"
"14","bio8","-0.00394122861","-0.00602965","-0.0018246","1.20860421440018e-05","-0.313270931522739","-0.21629539727767","-0.617227943975755","-0.177093806454799","Ovaskainen 2016 NS","Double-crested"
"15","bio9","-0.000851760939307499","-0.00273585","0.0010183","7.17593161062967e-05","1.99457627094041","1.37329069562065","3.68674740206918","1.12316083700235","Ovaskainen 2016 NS","Double-crested"
"16","bio15","0.0116118075217","0.00528415","0.017929","0.000105029909120229","0.365207326259383","0.234616165176616","0.743487651039101","0.205010889017115","Ovaskainen 2016 NS","Double-crested"
"17","bio16","-0.00068917902336","-0.00194345","0.0005346","4.09732434682653e-05","-2.53784023479017","-1.65177955081794","-7.99963076018938","-1.43979401475515","Ovaskainen 2016 NS","Double-crested"
"18","bio18","0.000971394807025","-0.00058626","0.0025173","0.00979945437024705","-0.244255884715296","-0.163142912255885","-0.466295809472827","-0.13752724751587","Ovaskainen 2016 NS","Double-crested"
"19","intercept","-2.5845777165","-4.6657","-0.621865","0.061202503678398","1.04937652786426","0.673557908847757","2.04996662674758","0.587403497697254","Ovaskainen 2016 NS","Cormorant"
"20","bio2","0.011730139158","-0.0039377","0.028249","0.000139861752042824","-0.147552963959173","-0.0999006831793421","-0.28776009468683","-0.0832544860655425","Ovaskainen 2016 NS","Cormorant"
"21","bio3","-0.0891884909449999","-0.154355","-0.028877","0.000160255802378347","-0.381661414516735","-0.253079615231469","-0.739717538844297","-0.215008401000504","Ovaskainen 2016 NS","Cormorant"
"22","bio5","0.00670616435817499","0.000355085","0.0134265","0.000300282712875714","0.261806851187909","0.170398052932203","0.518964712320744","0.147346230075308","Ovaskainen 2016 NS","Cormorant"
"23","bio8","-0.003493062215725","-0.0071748","4.837e-05","4.4273588322049e-05","0.292659429186125","0.19686005778721","0.583886429383745","0.164869971965639","Ovaskainen 2016 NS","Cormorant"
"24","bio9","-0.00214831145078","-0.00518345","0.00084013","8.40484156479942e-06","0.344890731926045","0.22717775707528","0.672435274472201","0.194150183971638","Ovaskainen 2016 NS","Cormorant"
"25","bio15","0.021212948825","0.010163","0.0327925","0.000110587202883547","-0.524097392987605","-0.342012728487983","-1.09105220108777","-0.294781961618565","Ovaskainen 2016 NS","Cormorant"
"26","bio16","-0.0020457221862175","-0.00536605","0.00091704","0.00352391885409997","0.0865710938886146","0.0577838330041952","0.170812608974947","0.0488387827965307","Ovaskainen 2016 NS","Cormorant"
"27","bio18","-0.00146857538045","-0.00585575","0.00310245","6.098912930009e-05","0.241000217989437","0.167288476811407","0.467408532030409","0.136275043331933","Ovaskainen 2016 NS","Cormorant"
"28","intercept","0.81538485356","-0.56117","2.30745","0.0160922986857112","0.632402293613406","0.42734551508185","1.15846762258993","0.357451985066358","Ovaskainen 2016 NS","American"
"29","bio2","-9.48737031500003e-05","-0.0099441","0.0098724","8.08246584294817e-05","-2.22083576570311","-1.51351144892386","-4.51617319445981","-1.25075741588648","Ovaskainen 2016 NS","American"
"30","bio3","0.0337433802594999","-0.00284435","0.0687285","0.000148524777003091","-0.278565537399004","-0.190233412185076","-0.540476127653399","-0.157472815589253","Ovaskainen 2016 NS","American"
"31","bio5","-0.011610736175","-0.016414","-0.0069788","0.000643424289625869","-1.23059270175139","-0.823562696408296","-2.48222564762738","-0.693319340591544","Ovaskainen 2016 NS","American"
"32","bio8","-0.0021032036229","-0.0043364","0.000132775","1.30812946189336e-05","-0.235496953064031","-0.159690547589648","-0.460892919860339","-0.132399149432114","Ovaskainen 2016 NS","American"
"33","bio9","-0.00315192896975","-0.0053487","-0.0010192","2.49081894034825e-05","-0.179769943889683","-0.119389522585589","-0.342629952793581","-0.100688383562621","Ovaskainen 2016 NS","American"
"34","bio15","-0.0115088578795","-0.0201955","-0.0035549","0.0765907625675458","-0.0905939667203156","-0.0614889105729231","-0.175399466265761","-0.0510945308999392","Ovaskainen 2016 NS","American"
"35","bio16","0.00167906779025","0.00051317","0.0028818","2.97949110166732e-05","0.341793804347779","0.233479701632746","0.664817852533677","0.192830801640761","Ovaskainen 2016 NS","American"
"36","bio18","-0.003072289925","-0.0054718","-0.000878","0.000236187030461497","16.8367207355113","11.7912699081486","41.4001635288689","9.5258007264565","Ovaskainen 2016 NS","American"
"37","intercept","-3.075144315725","-5.55175","-0.739255","0.00397282125894392","0.496219549242941","0.343242534116881","0.959398014291014","0.278548490481138","Ovaskainen 2016 NS","White"
"38","bio2","0.00838809512670001","-0.0158155","0.0326055","7.19863792214561e-05","3.00244572606587","1.85232772082812","6.868874931179","1.69358194157715","Ovaskainen 2016 NS","White"
"39","bio3","-0.1013868369175","-0.195875","-0.0163555","0.000502243541232204","0.17929334247097","0.12170891096589","0.345050193817712","0.101102812572337","Ovaskainen 2016 NS","White"
"40","bio5","0.00837408777775","-0.000967165","0.0181985","0.000356352600264081","-0.64908511716852","-0.479709149086732","-1.06580837347332","-0.367204687796365","Ovaskainen 2016 NS","White"
"41","bio8","-0.0046024177995","-0.00816515","-0.0010432","1.61285942480336e-05","-0.229292873946806","-0.153943405593248","-0.44265599127421","-0.129010457283218","Ovaskainen 2016 NS","White"
"42","bio9","-0.00534568469775","-0.0092126","-0.00171535","0.00980095421678001","0.126336165600882","0.083424046657439","0.243315122285185","0.0709794725330178","Ovaskainen 2016 NS","White"
"43","bio15","-0.0132972772008","-0.0287555","0.00152555","0.000399713805480731","0.332055716639903","0.22372189400834","0.657105856183775","0.187615547443611","Ovaskainen 2016 NS","White"
"44","bio16","0.00487748901499999","0.00232495","0.0076802","0.000103443950078534","-0.18195162781114","-0.122672723930569","-0.35806058571733","-0.102691151411234","Ovaskainen 2016 NS","White"
"45","bio18","-0.000641995009572501","-0.0046414","0.0032761","2.98865475342759e-05","0.59599785688875","0.393437712603298","1.1885190091233","0.335723027690749","Ovaskainen 2016 NS","White"
"46","intercept","1.8290845125575","-1.2275","4.9165","0.00401208023301499","0.962546530699296","0.650110032125723","1.75229103311953","0.541577432854452","Ovaskainen 2016 NS","Pelican"
"47","bio2","0.00369036746105499","-0.0263815","0.0340285","0.000255253540197789","0.197991702494456","0.131002689204764","0.387114952409786","0.111469402829745","Ovaskainen 2016 NS","Pelican"
"48","bio3","-0.23662633625","-0.35935","-0.12231","0.000115493539971541","-0.449860687634433","-0.304503211651638","-0.864309718805544","-0.253607256119563","Ovaskainen 2016 NS","Pelican"
"49","bio5","0.00399243577717999","-0.0089408","0.017258","0.000387629146693231","6.92461395194915","5.98001328422197","6.00064290876327","3.93556991821468","Ovaskainen 2016 NS","Pelican"
"50","bio8","-0.00625823498199999","-0.0108385","-0.00191985","0.0103917154018059","0.110619075668731","0.0738449996943022","0.21426207164315","0.0622514311153527","Ovaskainen 2016 NS","Pelican"
"51","bio9","0.0019097574733825","-0.00221015","0.0058695","5.28272649754678e-05","0.231959733929923","0.156772520749943","0.456577701524545","0.131017872548831","Ovaskainen 2016 NS","Pelican"
"52","bio15","-0.028904385425","-0.055148","-0.0051682","0.0015243330895819","-0.0835199169266088","-0.0564258637790248","-0.165071493506251","-0.0470520135404707","Ovaskainen 2016 NS","Pelican"
"53","bio16","0.00200917273135","-0.0043658","0.00722935","1.18429209451279e-05","-0.138631966866122","-0.0945811406627791","-0.271625070901872","-0.0780457758461068","Ovaskainen 2016 NS","Pelican"
