"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,-0.00689871720576557,-0.00602113941807185,-0.00550882831670468,-0.0116695888088724,-0.0113578219349145,-0.0115032925355327,-0.00521570529092502,-0.00328493781578915,-0.0105799538660513,-0.0119041312338095,-0.00696766075007634,-0.00760566121422829,-0.00733616422057381,-0.00966799872685133,-0.00515830463066608,-0.00674615287103958,-0.00779718050813129,-0.00939261711864999,-0.00359727264938096,-0.00742871510048212,-0.0106188619908022,-0.00650888846692597,-0.00740311588322603,-0.0075202264098049,-0.00909452840952184,-0.00682378358727622,-0.00420503385172362,-0.00752665821078602,-0.00890349480536353,-0.00812976567535794,-0.00840675558289403,-0.00807550711047708,-0.00923351647126229,-0.00613767599794318,-0.00531998953871682,-0.0104434520629088,-0.00761098955521228,-1.11249162423867e-05,-0.00543089763523694,-0.00612536645212626,-0.0118206053294662,-0.00735127275909947,-0.00631744591136475,-0.00653031278148962,-0.010395184548445,-0.00774885088008839,-0.00843191113320325,-0.00314656600427711,-0.00983848171831485,-0.0120508390619689,-0.00225078034633562,-0.00618561730988344,-0.00715876435467079,-0.00587837457920902
"orange_tip",-0.00689871720576557,1,0.421197232414844,0.41307908368781,0.0802905562411266,0.193000236631437,0.334188659652488,0.493005953800355,0.0290598436928867,0.0770981652075261,0.0161535265515862,0.288230312224007,-0.337486769483091,0.621081302801234,0.419827083505576,-0.117209847991139,0.33566721010587,0.347075164847243,-0.304161592853373,-0.130671270054221,0.402038956928745,0.061918569789823,0.576837062526153,0.433161889263747,0.563022806575164,-0.0364379407842644,0.586397900981508,0.379143640689961,0.34797543012604,0.52280879623806,0.639298047677283,0.490772410510767,0.499727080870364,-0.115716315149685,-0.00875660696500316,0.419680656056027,0.35719555147536,0.626763651735838,-0.109489408908845,0.240203685742912,0.554018115504976,0.427358835110039,0.573725773828982,0.0829176380129924,0.599978827116065,0.355138365606826,0.557541975131552,0.655967148414333,0.316406271895782,0.196462412555358,0.0470109017592199,0.340510559667544,0.606802514342132,0.546496142485424,0.455446388767161
"purple_emperor",-0.00602113941807185,0.421197232414844,1,0.333257286124163,0.0677104509738383,0.157180006166192,0.271964791504921,0.384711667758323,0.0290174406967218,0.0526240676362939,-0.00102499843837915,0.236075435490898,-0.293068465317306,0.481248142560061,0.342851356386592,-0.0985837756475214,0.278430016830551,0.293547446574449,-0.279130324309985,-0.115886925452235,0.335487470958446,0.0378899257806997,0.452363206219225,0.354037862820999,0.462077396905241,-0.0433907399837554,0.461545802404657,0.303182056517338,0.289422678981924,0.432935964248785,0.510993614398084,0.402099630518042,0.415038670839507,-0.0915213083020757,-0.0080122447741404,0.339082534682012,0.293088652687505,0.494087898788968,-0.106332866357581,0.204476876862213,0.428816202903243,0.362672273123954,0.461882944202334,0.0736121248103897,0.462648210761089,0.286974178326227,0.452453406958852,0.520762020589962,0.246765740858603,0.162260478470992,0.0462558398314874,0.231864526189157,0.462452965450285,0.444416034723117,0.370580250538275
"ringlet",-0.00550882831670468,0.41307908368781,0.333257286124163,1,0.0266686941309452,0.11911850910494,0.233835367016072,0.41768786038979,0.0130951137536582,0.0253386810754897,-0.0279794554177951,0.210999170083501,-0.300428509865789,0.513354476636414,0.307907351766091,-0.11429360165725,0.25603625704836,0.262441239653416,-0.285448952379019,-0.121715698319428,0.307909786198974,0.0119210198148349,0.476507315848661,0.336436130034941,0.451313928800754,-0.0631878376768763,0.482689333692944,0.319217260656414,0.263736030387784,0.404209317403043,0.513280451088652,0.379661282647457,0.389239759404241,-0.117998231632694,-0.0247984017357592,0.340503287574775,0.256229910749896,0.511246384870199,-0.072782281254749,0.181193176553845,0.458668721124247,0.311498403491634,0.460080897137961,0.0491390970936549,0.502504767400075,0.257428644143771,0.441956653607701,0.52589726804663,0.282702731536257,0.126560050823832,-0.00447863848704456,0.319138654124975,0.508075156983446,0.436611382058065,0.369445210265381
"high_brown_fritillary",-0.0116695888088724,0.0802905562411266,0.0677104509738383,0.0266686941309452,1,0.452598083301286,0.463666416392918,-0.140739046269086,0.0825919158062479,0.426971482377738,0.46234480094052,0.243225704446207,0.189167263281377,-0.0830318047727523,0.326078555955611,0.157263160454075,0.204608538577937,0.244802918935827,0.296582425129473,0.0603997930550952,0.22471258794207,0.422565954754582,-0.0733350770033698,0.190745029496958,0.0677267582321284,0.363633429380144,-0.0487936606117459,-0.10142480542928,0.246845370785845,0.230059007466282,0.0411156564785708,0.203794546978286,0.22360988704505,0.164462234293359,0.151394550943472,0.00574107503371505,0.368168875899092,-0.01252493856976,-0.289992882199466,0.17708962179068,-0.104889958046032,0.416674141355604,0.0565770629189316,0.218038608772178,-0.153020191870291,0.37029207574292,0.129620495177752,0.0799974397227843,-0.316106129551354,0.370533932526821,0.35624263588281,-0.494384747856157,-0.196543220936181,0.0729930279230794,0.0194092990085894
"dark.green_fritillary",-0.0113578219349145,0.193000236631437,0.157180006166192,0.11911850910494,0.452598083301286,1,0.515379783109083,-0.0155618695746133,0.0896217348417696,0.428271739943086,0.45849060660533,0.286818830545332,0.132269988274958,0.0686277124035628,0.407888530957,0.135645789124275,0.267164799936829,0.307608643793251,0.247285681584383,0.0424909834619635,0.298904823272164,0.418336265397396,0.060733102875502,0.269008834402656,0.18118894280039,0.346312644524231,0.0923491938932622,-0.00553933959340137,0.307892136460893,0.324115395888503,0.193277821178524,0.308407501436412,0.323602262365915,0.148353232776791,0.151529234733396,0.104302727842344,0.422323581669965,0.134399066159617,-0.270201870205942,0.218989927076235,0.0370217341653279,0.490674458925668,0.188217452672602,0.224987266219656,0.00537999805028494,0.421193916613218,0.249534027190504,0.231949964298284,-0.215197132991518,0.396567604473235,0.361934659359853,-0.351331218927308,-0.0317939637078163,0.192290788430834,0.127723279893903
"silver.washed_fritillary",-0.0115032925355327,0.334188659652488,0.271964791504921,0.233835367016072,0.463666416392918,0.515379783109083,1,0.123559205909065,0.0989582092566569,0.433263666471835,0.441504078971762,0.360320321856918,0.0293909210677327,0.24155898311643,0.509283142515996,0.102478329410559,0.356648322632452,0.400333162904123,0.147684301768465,0.0157552587651029,0.401912249746927,0.41565531022146,0.227644031167665,0.386068125557191,0.342644144858374,0.320211068240733,0.255391302469847,0.109828435458258,0.401471494030277,0.469919464126362,0.371253202735166,0.443634777246485,0.455330763431477,0.120232623668919,0.159262585436338,0.218820945705633,0.51683585238408,0.310355390199625,-0.277335750655338,0.278564455262928,0.190573454844468,0.614019882996172,0.34121804133504,0.243611195249273,0.175922610919761,0.517193431489552,0.401507252639985,0.403943039906732,-0.0991370177463855,0.439813784557766,0.380307092031388,-0.234122750493415,0.137785285025002,0.339801185471782,0.249482329134622
"brown_argus",-0.00521570529092502,0.493005953800355,0.384711667758323,0.41768786038979,-0.140739046269086,-0.0155618695746133,0.123559205909065,1,-0.0338091334606371,-0.130953546955514,-0.212720071896798,0.179796166085136,-0.487526699660594,0.692683187943764,0.273926990355629,-0.221519884088182,0.243954451384667,0.239256639825188,-0.501535023440485,-0.211509292528232,0.313897353882387,-0.148146254494625,0.637472264575801,0.34725196246362,0.519299196101383,-0.219545339685191,0.637403520104309,0.441592740558258,0.239676618346491,0.411351407795967,0.636753449359131,0.390980944298388,0.411341602359727,-0.29357148762958,-0.130281355952161,0.433671621693497,0.173443026299181,0.66280910109629,-0.0323625384306698,0.160828094535131,0.627527037936377,0.224406646374126,0.567733706047253,-0.0362080536497101,0.710331716741769,0.173791450101481,0.515963999831307,0.639503063895492,0.456417334798214,0.0195782182885664,-0.200682385689924,0.593144419763487,0.733416243722221,0.531914463335864,0.46305511104002
"northern_brown_argus",-0.00328493781578915,0.0290598436928867,0.0290174406967218,0.0130951137536582,0.0825919158062479,0.0896217348417696,0.0989582092566569,-0.0338091334606371,1,0.0753686742999946,0.0781504542216353,0.0590634011396458,0.000976188671561053,-0.0178604641097184,0.082679398578017,0.0169162540596881,0.0545302378724622,0.0627668850747311,0.0159676120248921,0.00499307360808279,0.0598400004205879,0.0744523968701308,-0.016282700556121,0.0535453756398468,0.0314664552940592,0.0547199584436183,-0.00396861468507844,-0.0201041643896289,0.0635895735132685,0.0648097501038132,0.0220978058093155,0.0595775700505977,0.061282172772786,0.0303738237343383,0.0345875917219828,0.00905555531933507,0.0859606318040383,0.00261231515657878,-0.0897383967617896,0.0466761873403985,-0.0191347901776247,0.10187649985798,0.0227813261690113,0.0500820179937752,-0.0327124240221516,0.0860027166699748,0.041222255885643,0.0302170910898806,-0.085972663197227,0.0795355717026927,0.0778590219094649,-0.146909072805425,-0.0466979753934376,0.0275122630396472,0.0143778603860397
"pearl_bordered_fritillary",-0.0105799538660513,0.0770981652075261,0.0526240676362939,0.0253386810754897,0.426971482377738,0.428271739943086,0.433263666471835,-0.130953546955514,0.0753686742999946,1,0.4397580985095,0.22373103194469,0.187523825723061,-0.0696510795310873,0.304995650545024,0.15506946051765,0.192807359160392,0.226587304472079,0.296094993568649,0.0609944567403004,0.210938738068123,0.394483580797479,-0.0701207315302849,0.174130158459135,0.0554488338012855,0.343205466162525,-0.0373037046514416,-0.0962570029210651,0.227303726389227,0.200892598850061,0.0460175176838105,0.191829353399121,0.207796386358696,0.155355405321741,0.141524500052902,0.000938838307413197,0.347976552253888,-0.00592557823424149,-0.26803699987068,0.161269444289015,-0.0920701570191511,0.380205954844935,0.054709226255162,0.20114422044081,-0.128788939481688,0.346868496254002,0.123587541342595,0.0813275284980134,-0.296613035979822,0.346514972390242,0.337047931710153,-0.447638008460264,-0.177914570884572,0.063531822607939,0.0167929019329222
