"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.519335353565196,0.519936196048335,0.416184394619592,0.19135114231375,0.323405827146338,0.358391708336267,0.540471056034091,0.184169640903615,0.17667278026289,0.0870670684705484,0.335986916969511,-0.302381200251583,0.488685926087861,0.465083508940329,-0.0284927471691012,0.405929425801563,0.316212096732356,-0.177175389513557,-0.189066431273657,0.513175794097322,0.0745771638332531,0.524084041845677,0.495702964004897,0.564472170817586,0.14418916274732,0.51995200789905,0.35885646580949,0.31823367022311,0.544097922794873,0.570899991791961,0.586271892756509,0.484552071845859,0.436855338558379,0.124473287047453,0.41413777336381,0.486771586011412,0.520026135737153,0.162529853819515,0.31355985788916,0.558835744290528,0.568185263334602,0.577241157865515,0.240816028162022,0.514322251738083,0.485895490396534,0.581174927504761,0.555498539069924,0.405873465886626,0.23184638154024,0.301016012007206,0.361652804797842,0.483327836197001,0.589850607534848,0.49685685239144
"orange_tip",0.519335353565196,1,0.404127290966094,0.442546663650387,0.288859414403963,0.157969913000569,0.350940635785387,0.451883602837091,0.190488550224911,0.173763938997202,0.157060150091217,0.29741763862342,-0.155314364966315,0.565135735069879,0.502235617478242,-0.0406876614856867,0.351981713243017,0.0287099730565466,-0.215138765417191,0.0764919494137279,0.433418926537702,0.0414324548275705,0.538923235392955,0.319328404590251,0.433069669129453,0.0198884333351319,0.597127700570001,0.54010279460992,0.0318199635916491,0.405456212186759,0.38952360935073,0.431667666076195,0.418115948215192,0.447539570286234,0.223789159956682,0.485488811474836,0.328434346712049,0.620846880678252,0.287415037379441,0.235170054991159,0.512757979361418,0.483402799505475,0.614198210854009,0.162069744034398,0.587351240020263,0.327529462283808,0.505443922832115,0.548228026162988,0.38775693351731,0.217987953934048,0.117133084911088,0.292953604114577,0.552963258437959,0.519867286758653,0.448126124280842
"purple_emperor",0.519936196048335,0.404127290966094,1,0.354270453047988,0.104666078503967,0.251309791711899,0.345698389753217,0.517793928247245,0.00903602457025067,0.158805064776104,0.0305057153121624,0.261574394862993,-0.23522935582577,0.450791437771952,0.307586366294967,-0.161321069250951,0.355411715927021,0.373339347808231,-0.214155315153766,-0.294555794666446,0.392503468863262,0.0770409107071212,0.488218285621519,0.44630111708026,0.516882321585038,0.0500259606744683,0.394982087634251,0.211235571342999,0.374313715110533,0.45134889408978,0.539129922753099,0.473255207134882,0.496183572271052,0.323083435781076,0.146201278729147,0.385330204063247,0.326996919598991,0.408257835110536,0.131468159305561,0.359306001612888,0.486453392399739,0.423698482664166,0.47495381219532,0.219932168577347,0.440998721625321,0.327064713839747,0.557299985158775,0.527297085439853,0.459231586270116,0.304396748031202,0.221773886941666,0.391319477264289,0.45902917993669,0.503151422651977,0.416882966593027
"ringlet",0.416184394619592,0.442546663650387,0.354270453047988,1,-0.0234595921031623,0.184022898476138,0.279777909830803,0.419859266220358,0.0562900312323387,0.011909560246859,0.106093444157814,0.108328272781105,-0.325187488027404,0.302738168111303,0.386916813346086,-0.0752733898599192,0.273081056969234,0.248622851230926,-0.303932706345811,-0.0511464982091221,0.381817944593516,0.128882443893456,0.295416313121004,0.257500484253937,0.422967163413046,0.063034144600773,0.507826499919421,0.279318655031026,0.249947799431418,0.43355553006669,0.414356540792418,0.419859687995971,0.467338886845636,0.344367559970396,0.0398520095358646,0.333002773658593,0.260570645433274,0.434968983300068,0.143203782937433,-0.101723825714965,0.477616673296891,0.375172573292263,0.49231250973749,0.130242795522435,0.364630972635805,0.260074997805577,0.389640368469892,0.329318997233091,0.335940998799215,0.227356216475258,0.204751788441889,0.260709102432776,0.35285015775746,0.448840050816492,0.405373561375619
"high_brown_fritillary",0.19135114231375,0.288859414403963,0.104666078503967,-0.0234595921031623,1,0.334073381613397,0.49366571819686,-0.00715451403135036,0.0984245793516788,0.441473523733193,0.501750717966106,0.323027469565791,0.315163526423061,0.248192503293377,0.377177108789566,0.164666614166615,0.246906646464333,-0.101277469714619,0.245292033074622,0.255429753109577,0.166364377512769,0.371962364297181,0.185030383829861,0.147605398238863,0.0878016893055114,0.324193153322973,0.184117559826787,0.234074579217571,-0.0988150806136262,0.132560236107773,-0.00893987957397875,0.112579138836514,0.195010564906194,0.348255432866558,0.390044156179611,0.235200584909692,0.156666048337284,0.239356100413445,0.0686930416341132,0.347845679930514,0.00178253118174826,0.332527824790374,0.195608253641726,0.216732981642016,0.153964553204835,0.156554729252353,0.180423106717207,0.296392677509239,-0.0570045849360467,0.382724507624458,0.110234100814832,-0.254360541930813,0.126152653950222,0.166402048722616,0.113747785461097
"dark.green_fritillary",0.323405827146338,0.157969913000569,0.251309791711899,0.184022898476138,0.334073381613397,1,0.461302496901117,0.0951452536631966,0.209481726899609,0.411407527915089,0.424962635184101,0.303941554177922,0.0381504101592172,0.0349566914452436,0.399023970258866,0.194289673396515,0.334300725510416,0.376749620908327,0.286587656485384,-0.0588967575055234,0.381844117979812,0.380650629108886,0.0719471885761338,0.402341315606315,0.312921453137054,0.451429134069748,0.0979550661447011,-0.0584404157680715,0.377819476453574,0.392664913867871,0.308552138942121,0.377307331540428,0.288979579823541,0.335116856428236,0.064162981620066,0.124281330429659,0.440737807940069,0.0736243116535161,-0.191176043564181,0.2257565969949,0.094424738584932,0.469266773580565,0.188379239306367,0.379127620060341,-0.000961637767848236,0.441285098469959,0.269208628003752,0.183310825973677,-0.0582184469057952,0.312973491403957,0.452862575849996,-0.184195336697362,-0.0603189703671662,0.230866534819669,0.171539827245649
"silver.washed_fritillary",0.358391708336267,0.350940635785387,0.345698389753217,0.279777909830803,0.49366571819686,0.461302496901117,1,0.157086581517921,-0.0436865224637601,0.500612043902286,0.495981683640649,0.356372410593817,0.184429336276951,0.336367915210327,0.405785975430559,-0.00426364450056734,0.36200430118357,0.278964911542863,0.086819190460668,0.00470594931491203,0.360543040996177,0.521992169472239,0.279559342741965,0.325953533109475,0.329975229859707,0.280861171181961,0.262799926713845,0.173009504917065,0.281583485100477,0.389398009222521,0.288383350354925,0.30507507536487,0.528894243491805,0.455440390698595,0.376366907888589,0.311950308615357,0.232964347368231,0.314339888358162,-0.0204225099810434,0.430454857753787,0.190713562663742,0.45830253855493,0.321897983684868,0.245750654076966,0.254859197560106,0.233022817793866,0.421628458911312,0.447061367678355,0.124673222133098,0.588797224952213,0.26249689084172,-0.130063019668115,0.271114436027176,0.325169199186277,0.235134827247712
"brown_argus",0.540471056034091,0.451883602837091,0.517793928247245,0.419859266220358,-0.00715451403135036,0.0951452536631966,0.157086581517921,1,0.0315168919999937,-0.0759053237401109,-0.129958674439404,0.225323188255003,-0.386234008285643,0.498789791152616,0.295969894932405,-0.178422053875784,0.302435565361168,0.272160388658162,-0.358648153780363,-0.301133408026836,0.351532009770931,-0.0969857408002502,0.538194544920822,0.377798713301029,0.521311319563571,-1.80990163595926e-05,0.50463653523245,0.328192345043965,0.27455758052567,0.45430637538286,0.552598620464541,0.489600299867352,0.392874978179587,0.278772394232611,0.0876832470517522,0.399064786092311,0.296648808112601,0.493065341446804,0.285257435167082,0.252757958058955,0.591119422591487,0.370242302442388,0.543534301751829,0.19923559450605,0.532681964358328,0.296440987069131,0.526906453007194,0.536150833400064,0.523638183811548,0.126184839081011,0.162379243662961,0.605714232409577,0.545979387705325,0.559650473048563,0.486745588176043
"northern_brown_argus",0.184169640903615,0.190488550224911,0.00903602457025067,0.0562900312323387,0.0984245793516788,0.209481726899609,-0.0436865224637601,0.0315168919999937,1,0.0747442010558768,0.0869709856202784,0.0819680339924491,-0.216515087493564,-0.0345135810809015,0.304122583094092,0.150481113928902,0.0407971452843055,0.00277120854668193,0.151605011250515,0.0415932590934109,0.252637007013898,-0.220217719653399,0.00354790141822425,0.186293931762415,0.122754764120793,0.184804265528738,0.149293071404516,0.150342949730205,0.00442446118863313,0.114543423355599,0.101074789890704,0.27027356526678,-0.0596609417561702,0.132183558777791,-0.223242249300445,-0.0295994251050334,0.390193443124141,0.0999697634476649,-0.0825417296042245,-0.160835536528385,0.154450172856359,0.252861425311997,0.193624837510159,0.126928220228549,0.0597151444157282,0.391870976100138,0.0804804834762054,-0.0521394737372771,-0.101196305460783,-0.233111588812443,0.227685262252718,-0.0543822985264561,-0.0372429622687187,0.126611993355113,0.127238062936476
"pearl_bordered_fritillary",0.17667278026289,0.173763938997202,0.158805064776104,0.011909560246859,0.441473523733193,0.411407527915089,0.500612043902286,-0.0759053237401109,0.0747442010558768,1,0.490169158793519,0.331480145760838,0.355655667012962,0.0757771496232098,0.332167119219293,0.105485273428284,0.246388108783284,0.193604869324104,0.338481482172447,0.107184292601842,0.280133902940334,0.392716632458342,0.0735159197784451,0.2674657921583,0.161861678001391,0.280482028489223,0.00528516983916521,-0.0504841687424456,0.194981727663694,0.219836871938735,0.119668506263041,0.137899640477498,0.282324344168368,0.280740548942628,0.269666409719603,0.169079538076151,0.241124261537361,0.0362729414562309,-0.179401155843479,0.358181956795381,-0.0372437786670743,0.341846273686661,0.125636088977185,0.223871668446193,-0.0134828358713133,0.239968828851688,0.266395847009865,0.199878455705892,-0.11203317360238,0.336835073180664,0.239929501874353,-0.256589769068022,-0.0218272770329985,0.114228854555595,0.0717841524955976
