"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,-3.12437237482651e-05,-2.55525023575533e-05,6.6107069300148e-05,-7.6903495618987e-05,-8.18288513746463e-05,-9.91738823253282e-05,0.00308272864912204,-2.47420147430863e-05,-6.83295798316717e-05,-7.00203340246091e-05,-6.71949042337049e-05,0.00102738240642289,0.00195170701779609,-9.34330971609953e-05,6.66169701483411e-06,-6.6037416588172e-05,-7.81582812301846e-05,0.000632139505695382,0.000140577480579727,-7.4323153237267e-05,-6.71165855033738e-05,0.00191472154848475,-7.1849198617347e-05,-2.48936351847837e-05,-4.73602989505359e-05,0.00153659313615223,0.00220756352879873,-7.73602164279224e-05,-8.11582485916466e-05,5.8251591742123e-05,-8.14888182024374e-05,-8.07700053074626e-05,-1.43141481048689e-05,-4.08397519129171e-05,0.000402733028836168,-8.78525766544616e-05,0.000885995605157532,0.00441168368827473,-5.58663035946959e-05,0.00218132538287737,-0.000104118951379434,2.44942251568543e-06,-4.86786941257079e-05,0.00346301470679571,-9.33822303801822e-05,-5.09425715249267e-05,-2.15823924612458e-05,0.00581233318382766,-7.23124152864429e-05,-9.1700965126856e-05,0.0100513113608856,0.00433765439710823,-2.26184690005549e-05,0.000150056189348871
"orange_tip",-3.12437237482651e-05,1,0.557838167149039,0.502986471533072,0.25944653426127,0.309782917468738,0.458254749841763,0.608395610376653,0.136892280165983,0.203932794508613,0.14771315451504,0.382149510074316,-0.141639223071097,0.723316523355865,0.529322016792224,-0.00278811559370305,0.441502210031504,0.450628425542951,-0.167805224185112,0.0530871950479158,0.496206138101424,0.185027195063076,0.680155342970229,0.542334859825057,0.674672803487594,0.0813290554695182,0.684194332641248,0.48793717731732,0.452217014326255,0.640547978384053,0.736101067433333,0.612122236291992,0.603828233120921,0.291363242386188,0.226078475222865,0.51756065093702,0.479262396934935,0.721746720766843,0.120856400985281,0.344718981492666,0.657892160012287,0.610821901190064,0.668785206178953,0.214197852172488,0.706059650229465,0.478565654885099,0.65489080921911,0.744812615299393,0.491817942072043,0.333023521331282,0.417950645694017,0.50061838487367,0.712361322729007,0.659238885745812,0.561501533150888
"purple_emperor",-2.55525023575533e-05,0.557838167149039,1,0.454327942049148,0.271392147142713,0.330761460891527,0.458188108404852,0.55464525077857,0.13069453745069,0.232821210778243,0.192161158497313,0.358158870045022,-0.0839458002336212,0.662842849785524,0.502016339173377,0.0171119461687558,0.408626151219162,0.42719636561262,-0.0911686288347925,0.0552257717296004,0.46268804705036,0.217379769697648,0.618624759835775,0.506371866494713,0.623708418094261,0.115909927080379,0.627514612830388,0.432878472219812,0.423777245404757,0.593882854654871,0.672235056163741,0.564820556419244,0.561350372074136,0.27563517010242,0.215018992712942,0.467223824483918,0.463451621004662,0.661012774063768,0.102887111270647,0.319570465609952,0.597507482129416,0.576145194217827,0.609383893501277,0.208475202407911,0.647059854393267,0.463222204158813,0.598774519373366,0.686473123512191,0.437631907092195,0.34272109276692,0.400472455516313,0.451693746460029,0.649206243948317,0.595812988626506,0.504337523440331
"ringlet",6.6107069300148e-05,0.502986471533072,0.454327942049148,1,0.169295373001255,0.221949769919092,0.348343528897503,0.513212820250499,0.102729691318745,0.133706946831644,0.0861795364859116,0.296591469856107,-0.138306913102842,0.60755233664421,0.415024776262658,-0.0223048439494257,0.348964989543378,0.3560905457883,-0.167735245395463,0.0316526545873387,0.395782140272771,0.119759988335568,0.569284872052503,0.431430606939142,0.553401504737086,0.0349640557838482,0.570806345408687,0.406983824707866,0.357412734658818,0.512247825226557,0.607484293103741,0.490055416023609,0.486807782170951,0.217058104786359,0.164759641785506,0.427506016081301,0.371058162836705,0.599616334233737,0.112655471518562,0.267385962788619,0.551375190057373,0.477205593876149,0.549054045037241,0.158962301257197,0.597273643657992,0.372114275391642,0.534085843742803,0.614437571795269,0.42168405237285,0.246245180939941,0.300359890124711,0.444071125672303,0.60652504334251,0.538880436319573,0.461914232496327
"high_brown_fritillary",-7.6903495618987e-05,0.25944653426127,0.271392147142713,0.169295373001255,1,0.570012328052149,0.601796285676288,0.0363885187514453,0.203523766862712,0.547806449976082,0.59122893784018,0.35733579690766,0.394568024984123,0.128460420119984,0.47905223790875,0.280115238884309,0.336647700251098,0.392765438777717,0.45588663715163,0.252833519929472,0.358577098069036,0.542537438341137,0.109503294973638,0.359554441665872,0.315958573146823,0.478828211650899,0.15505948744934,0.0553590196815558,0.390996360914606,0.432435688604939,0.253552555212214,0.403156589910744,0.390165958749099,0.560993827305346,0.37860794726548,0.161381372390453,0.551459968904596,0.187865048858904,-0.0803266458257563,0.297958408084995,0.0995049590740838,0.613542196698862,0.250709793601539,0.350906076248591,0.0479740300512832,0.549731543452041,0.295597219780022,0.296899905916484,-0.0741785604220446,0.508169293814076,0.68585815297276,-0.302460892458542,0.00719647853164098,0.270311894026896,0.191682818597116
"dark.green_fritillary",-8.18288513746463e-05,0.309782917468738,0.330761460891527,0.221949769919092,0.570012328052149,1,0.597959179736714,0.116208040559639,0.199984546101547,0.509311983216672,0.540210994032331,0.373760263246871,0.311636487219256,0.209225126860787,0.502861310405066,0.240033792940817,0.364769550261414,0.417080029962124,0.360382958754465,0.222973922173915,0.393554840609254,0.505603056361597,0.192347033663092,0.40327619721973,0.388896108571618,0.430115072956554,0.22175005810072,0.115006079839291,0.417893828674911,0.484543520507222,0.33692360567819,0.439387608474881,0.427795058914865,0.527286513147779,0.360882514455106,0.212015654044991,0.559244007394604,0.271017271484867,-0.0661598322528565,0.31450527756739,0.165333046903445,0.624548003155136,0.314577314623572,0.34942819137796,0.133941872997294,0.555674507378563,0.363155386703027,0.365180218504374,-0.00668383844847711,0.497471013817679,0.66133774992641,-0.225769079927101,0.0939937157673891,0.321641293492968,0.252093114308685
"silver.washed_fritillary",-9.91738823253282e-05,0.458254749841763,0.458188108404852,0.348343528897503,0.601796285676288,0.597959179736714,1,0.278355175599404,0.220421617199936,0.530946849963202,0.549072573842672,0.451593723530285,0.256381640385861,0.397968123491033,0.609610358242433,0.218529639709276,0.459988832096416,0.508638571702783,0.294823470757622,0.210109624752692,0.499369060364138,0.528772036230288,0.368222388040811,0.518079061287328,0.537153146713108,0.423263264126186,0.406115984565909,0.238804367621829,0.511111851780822,0.615487534012986,0.512074956800272,0.57050411977771,0.567062490999429,0.559779566815544,0.392396429692595,0.338985018357192,0.644007332855986,0.458268119251064,-0.0452512722508386,0.38700339031262,0.345986774013705,0.734078084497414,0.475992271857015,0.37911677403691,0.329110275380857,0.64274374847309,0.515729957706569,0.545760667396769,0.12366100729813,0.55647714308513,0.712626999809242,-0.0773672502012897,0.292293175919737,0.483096870669645,0.388531606042394
"brown_argus",0.00308272864912204,0.608395610376653,0.55464525077857,0.513212820250499,0.0363885187514453,0.116208040559639,0.278355175599404,1,0.0890270380455238,0.0070578487029541,-0.0785979406121131,0.290843596599579,-0.310549074445239,0.784890575197222,0.41657423415736,-0.109258232480111,0.374993526404608,0.370910648584173,-0.368858888657239,-0.00470105859322964,0.425927230900682,-0.0127274173310526,0.741745791564256,0.485876283051989,0.679081386013276,-0.10567740594934,0.732019248127886,0.548143958299895,0.367718022531333,0.585901687851276,0.750201560584996,0.564974291891442,0.542328522836007,0.15230082776123,0.127326240696252,0.535875595166225,0.346720007597937,0.760057666413454,0.212392465411406,0.275745812637891,0.726637785089847,0.476766441015511,0.678640660126836,0.110103062775402,0.796897635275499,0.344756330695903,0.63093611103423,0.749628496673582,0.628558106475963,0.176535637057753,0.204877621411133,0.712999544543857,0.820361940488365,0.656096158296215,0.574058909853097
"northern_brown_argus",-2.47420147430863e-05,0.136892280165983,0.13069453745069,0.102729691318745,0.203523766862712,0.199984546101547,0.220421617199936,0.0890270380455238,1,0.182085873970099,0.196397903096319,0.135822955150258,0.116672496874072,0.123929061947518,0.188086467719838,0.0827542166591422,0.136864335060831,0.15076782362219,0.136927975054786,0.0733073817054322,0.153330533971015,0.181948462858026,0.11650862807766,0.150974403437647,0.158673671573192,0.153738553694712,0.124910704489518,0.0737718196919424,0.154298513974634,0.183336547932404,0.153759406627298,0.170853349838281,0.166939617906641,0.173349795987139,0.119682664188144,0.103548288053787,0.201158840586673,0.138726598550059,-0.0105110054059693,0.115979307040056,0.108446870599089,0.229140895470391,0.142107303500186,0.118674875587369,0.106937084097584,0.201337037687773,0.155036436924614,0.161105168917511,0.0428206636961074,0.177986079800467,0.230443230249056,0.0114607382160041,0.101509467512642,0.142916714668185,0.113336902430516
"pearl_bordered_fritillary",-6.83295798316717e-05,0.203932794508613,0.232821210778243,0.133706946831644,0.547806449976082,0.509311983216672,0.530946849963202,0.0070578487029541,0.182085873970099,1,0.536306787233725,0.313782994920883,0.366091902962894,0.0788949303501542,0.422166653500226,0.254801750017081,0.293341172629361,0.343749278439658,0.4125056779528,0.232613697374725,0.307775363976211,0.493885625139032,0.0717468663060153,0.307834819006796,0.267717486885457,0.431581419221004,0.102692346192528,0.0290892830499702,0.345176016898335,0.373060197142709,0.203991644991662,0.337950050985296,0.324935240713429,0.508651555837033,0.343977411506552,0.12413839150458,0.480999426974621,0.146491876666061,-0.076288418929206,0.260330669278397,0.0501636247404421,0.538732123916238,0.192514124991025,0.321777188014966,0.00874585360314028,0.476196952911844,0.250779419090882,0.24026099577221,-0.0964682564618853,0.453720322394655,0.627552213774791,-0.317163418402645,-0.0284463099690019,0.206578164242681,0.148034210312088
