"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,10000,10049.9089578133,10382.0123803218,10000,9999.99999999997,10000,9999.99999999997,9502.28115284487,10000,10000.0000000001,10509.5180336399,9999.99999999999,10344.8423038697,10039.0104350926,9999.99999999997
"2",10000,0,10000,9999.99999999996,10293.8345272527,10000,10000,9999.99999999998,9999.99999999999,10000,10335.8996463929,9999.99999999999,10326.3171375567,10000,10000,9999.99999999998
"3",10049.9089578133,10000,0,10443.2810756784,10341.6912138189,10515.8329422787,10000,10401.021702556,9999.99999999997,9999.99999999996,9999.99999999995,9999.99999999998,9999.99999999995,9710.44301045619,9999.99999999994,10399.6623779111
"4",10382.0123803218,9999.99999999996,10443.2810756784,0,9293.97906703697,10000,9999.99999999998,11571.3250028918,9999.99999999995,9999.99999999997,10000,10000,9999.99999999996,10000,10000,10311.0515294348
"5",10000,10293.8345272527,10341.6912138189,9293.97906703697,0,10000,10000.0000000001,10000,9999.99999999999,9540.74561481873,10161.7908943849,10000,9999.99999999999,10315.7710011384,9999.99999999997,9999.99999999999
"6",9999.99999999997,10000,10515.8329422787,10000,9999.99999999999,0,9459.81028631101,10000,10000,9999.99999999998,10000,9999.99999999999,9964.12570784306,10516.5398271654,10000,10000
"7",10000,10000,10000,9999.99999999998,10000,9459.81028631101,0,10000,9999.99999999999,9999.99999999998,10000,10000,11347.0793789134,9999.99999999995,10461.6769127799,10000
"8",9999.99999999998,9999.99999999998,10401.021702556,11571.3250028919,10000,10000,10000,0,9703.3688181414,10191.4916872177,10295.105691337,9999.99999999998,11665.1075910941,10000,9146.2394637024,10000
"9",9502.28115284487,9999.99999999998,9999.99999999997,9999.99999999994,9999.99999999999,10000,9999.99999999999,9703.36881814141,0,9999.99999999996,10000,9999.99999999998,10000,10753.2781224012,10877.9920078738,9565.32020365574
"10",10000,10000,9999.99999999995,9999.99999999997,9540.74561481873,9999.99999999998,9999.99999999998,10191.4916872177,9999.99999999997,0,10000,9564.9893176461,10000,10704.2909844665,10000,10000
"11",10000.0000000001,10335.8996463929,9999.99999999996,10000,10161.7908943849,10000,10000,10295.105691337,10000,10000,0,11147.9992920892,9999.99999999999,10462.6225874286,9999.99999999996,10382.3202137208
"12",10509.5180336399,9999.99999999999,9999.99999999997,10000,10000,9999.99999999999,10000,9999.99999999997,9999.99999999997,9564.9893176461,11147.9992920892,0,10000,10000,9624.87533146658,10000
"13",9999.99999999999,10326.3171375567,9999.99999999995,9999.99999999995,9999.99999999999,9964.12570784305,11347.0793789134,11665.1075910941,10000,10000,9999.99999999999,10000,0,10468.7247560382,10000,9999.99999999997
"14",10344.8423038697,10000,9710.44301045619,10000,10315.7710011384,10516.5398271654,9999.99999999996,10000,10753.2781224012,10704.2909844665,10462.6225874286,9999.99999999999,10468.7247560383,0,10331.4613538973,9999.99999999995
"15",10039.0104350926,10000,9999.99999999994,10000,9999.99999999998,9999.99999999999,10461.6769127799,9146.2394637024,10877.9920078738,10000,9999.99999999996,9624.87533146658,10000,10331.4613538973,0,9999.99999999999
"16",9999.99999999998,9999.99999999998,10399.6623779111,10311.0515294348,9999.99999999999,10000,10000,10000,9565.32020365574,10000,10382.3202137208,10000,9999.99999999997,9999.99999999995,9999.99999999999,0
