"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","Intercept","-7.81894323850002","-13.6425","-2.56355","2.78222885667568","-0.355831826860714","-0.23744192542695","-0.682483307485217","-0.200515813196759","Ovaskainen 2016 NS","ALA"
"2","Rockiness","0.00373928519927499","-0.0012121","0.00871195","3.60701352474264e-05","3.94555466934283","2.12332725583955","17.2479173721639","2.15397907229774","Ovaskainen 2016 NS","ALA"
"3","Sandiness","-0.133786828958","-0.575585","0.29622","4.13838798828736","3.1886679067294","2.15835604827447","5.63943989840116","1.79567882877692","Ovaskainen 2016 NS","ALA"
"4","VallyBotFlat","-0.377763740499999","-0.6488","-0.15246","0.000949810790598087","-0.449718051038426","-0.29034796226271","-0.772326449162023","-0.245887179269953","Ovaskainen 2016 NS","ALA"
"5","PPTann","0.000770485182272499","-0.00058712","0.00210055","0.017201755389401","0.144851307665824","0.0954086508497112","0.283170111811085","0.0813057071343526","Ovaskainen 2016 NS","ALA"
"6","Loaminess","-1.736334259","-3.20205","-0.538305","0.00161781863072058","5.17132577341943","3.12505863018407","15.3791481864025","2.91681006172566","Ovaskainen 2016 NS","ALA"
"7","cvTemp","0.03787967697385","0.00384495","0.0734025","1.17681797789028","1.0720122706701","0.620909078034941","1.694881249396","0.566744880572302","Ovaskainen 2016 NS","ALA"
"8","T0","9.12009299000003e-05","3.72865e-05","0.00014443","4.71673753256057e-07","-2.20685244266698","-1.51503972204329","-3.09754697192785","-1.21824514486937","Ovaskainen 2016 NS","ALA"
"9","Intercept","-41.573269","-64.0075","-27.287","0.0025192224450464","0.673717652115663","0.449455247552062","1.31788332449877","0.380097182486332","Ovaskainen 2016 NS","ARE"
"10","Rockiness","-0.002741300927175","-0.0109805","0.0047013","0.0471111008759963","-0.359934339326806","-0.235240360265134","-0.648112889135959","-0.19952969083638","Ovaskainen 2016 NS","ARE"
"11","Sandiness","0.4389980732525","-0.325825","1.2777","0.00661575609151882","-1.08610668385668","-0.746795076760416","-1.74976567089302","-0.608465266976808","Ovaskainen 2016 NS","ARE"
"12","VallyBotFlat","-0.460567322275","-1.0173","-0.0769235","0.8842304953771","-0.361138899099571","-0.236620536146327","-0.668435766326477","-0.202336202606081","Ovaskainen 2016 NS","ARE"
"13","PPTann","0.0003231522732915","-0.0023991","0.0026944","2.30642650116753e-05","-0.222716361081279","-0.15000907987422","-0.429552129827176","-0.12533899096032","Ovaskainen 2016 NS","ARE"
"14","Loaminess","-4.62665888075001","-8.3053","-1.7683","0.442973715704135","-0.36835691257369","-0.246968612144029","-0.679253885246965","-0.206184454643923","Ovaskainen 2016 NS","ARE"
"15","cvTemp","0.2611164675","0.17316","0.40171","0.00654311241529777","0.668342468561406","0.273309813521492","0.732786211841687","0.312548224102966","Ovaskainen 2016 NS","ARE"
"16","T0","3.1972431050375e-05","-6.3582e-05","0.00012581","0.000140349504230807","-0.400777576925397","-0.269524840391626","-0.722943400069852","-0.224158920593583","Ovaskainen 2016 NS","ARE"
"17","Intercept","15.949951225","8.32645","28.204","0.223703030426073","-1.67208560191153","-1.11932413904347","-3.12333374904558","-0.943893355803116","Ovaskainen 2016 NS","BAX"
"18","Rockiness","-0.0158881044750001","-0.031167","-0.0072108","0.00168455555691161","0.228043966780011","0.137256626358862","0.397316426448789","0.121649288398959","Ovaskainen 2016 NS","BAX"
"19","Sandiness","0.884756381599999","0.337215","1.73555","0.214542053301255","-0.222805953406844","-0.153106682297773","-0.428276931396472","-0.125849223571938","Ovaskainen 2016 NS","BAX"
