"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"V1","intercept","-5.93191060724003","-12.1015530646295","-1.20952518037873","2.76310999622707","-0.46580438903692","-0.329046177490979","-0.818267888128098","-0.2610527475592","Pollock","ALA"
"V2","Rockiness","0.00375784243714462","-0.000883818893020325","0.00876132964323386","7.0271274634838e-05","0.66100808968833","0.455545508281318","1.22439039972021","0.372834244960321","Pollock","ALA"
"V3","Sandiness","-0.157819857565551","-0.608392125656001","0.317368461003693","0.235379737342382","-1.49144563284514","-1.03108315499351","-3.18104916919977","-0.836144622826611","Pollock","ALA"
"V4","VallyBotFlat","-0.39026085835404","-0.671317471581885","-0.165691924283126","0.079002696620927","-0.324537865008329","-0.213903754736","-0.604085867848852","-0.18113727028792","Pollock","ALA"
"V5","PPTann","0.000357298814024196","-0.00109477772672096","0.00167809716845333","5.39164439520916e-06","1.91135925226332","1.26071615512419","4.75361302366209","1.07486430625396","Pollock","ALA"
"V6","Loaminess","-1.67810559747178","-4.5818777025674","0.0367782726730776","1.17446623467904","-0.699876239283438","-0.452553732956743","-1.01618370433491","-0.379362122941974","Pollock","ALA"
"V7","cvTemp","0.029363831484037","-0.000858170950108491","0.0669375638735628","0.00335326562960721","0.588360887370142","0.39802969952916","1.02597393565957","0.329821158639471","Pollock","ALA"
"V8","T0","4.37853568773446e-05","4.26453291867929e-06","9.45730038536511e-05","7.62703988740085e-09","0.569429416931189","0.43231912638322","0.913706208026966","0.321710663839761","Pollock","ALA"
"V11","intercept","-29.4711094749492","-40.2951027271844","-20.8676551835586","4.9679817713892","-0.168571250281977","-0.111671676639914","-0.317635244178769","-0.094077985618458","Pollock","ARE"
"V21","Rockiness","-0.00182646682078533","-0.00729263956960601","0.00398036151386418","8.07834093109484e-05","-1.56342805344754","-1.07103100923256","-3.40339817302731","-0.882297784758998","Pollock","ARE"
"V31","Sandiness","0.530471075077966","-0.049394836763104","1.20077025141804","0.317369063307059","0.598277791603273","0.397326427518537","1.08580144431503","0.335977230375266","Pollock","ARE"
"V41","VallyBotFlat","-0.257619537607935","-0.579860101042856","0.000445952507255485","0.0935727083816922","-0.58230277306614","-0.402945042388402","-1.00153932211832","-0.327229545651259","Pollock","ARE"
"V51","PPTann","0.000115883247368952","-0.00138348497464107","0.00183645199624337","6.2473691598464e-06","6.82856062797183","4.75815083126995","7.10854613542161","3.82590340269191","Pollock","ARE"
"V61","Loaminess","-1.42055135990001","-5.19660033992385","0.750772179787508","1.50346894654592","-1.05837000265287","-0.703145466723746","-1.33774232954811","-0.568634446501592","Pollock","ARE"
"V71","cvTemp","0.18379914638775","0.132233293493716","0.245618211090869","0.00580353063494529","0.162681193915635","0.107204502955181","0.300077983603134","0.090955826712419","Pollock","ARE"
"V81","T0","1.89764167782808e-05","-1.96541616374455e-05","6.06696351857234e-05","6.03815305458752e-09","1.04016606859857","0.643851554765182","1.95837789678626","0.574744954314985","Pollock","ARE"
"V12","intercept","10.738831807546","6.64010941631964","15.177347540883","2.25463086462881","0.209951222352186","0.144453425733951","0.391303080891145","0.118985936680066","Pollock","BAX"
"V22","Rockiness","-0.00885645800742172","-0.0128200887233879","-0.00444754288831063","6.06467388296988e-05","-0.242055466268127","-0.166509603594959","-0.48486938008366","-0.136625058656909","Pollock","BAX"
"V32","Sandiness","0.448185716875992","0.136445295235932","0.788812488016402","0.170573541762484","0.380586741923505","0.260598530951197","0.705065339182949","0.215437153763405","Pollock","BAX"
"V42","VallyBotFlat","-0.292966067176412","-0.399948252667019","-0.190186776359656","0.0318372408267026","-0.1742194170791","-0.118785663115971","-0.355446577460971","-0.0979602722878727","Pollock","BAX"
"V52","PPTann","-0.000253230668468157","-0.00122935008700571","0.00077631299778988","4.09465230695226e-06","-2.04811050790887","-1.37287927335553","-4.42714985712813","-1.15301167171907","Pollock","BAX"
