"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.187668155945613,0.118842771975733,-0.0711748719959058,-0.264870785027374,0.134913145652447,0.0931593359395167,-0.097463726321509,-0.0598089084028882,-0.0538926130288138,0.047477510051505,-0.042629941149814
"ARE",-0.187668155945613,1,-0.329545848677401,-0.0124853129030426,0.461805351650877,-0.206085103156023,-0.00153156428345327,0.0128552903134542,0.0376725262093271,0.0287872810072478,-0.132016277320396,0.0471762836899721
"BAX",0.118842771975733,-0.329545848677401,1,-0.167652302531039,-0.235884049402797,-0.0398258530115995,0.0324229108850343,-0.157528626853399,0.00827262677626639,-0.366118427515132,0.11967583625006,-0.234474130863399
"CAM",-0.0711748719959058,-0.0124853129030426,-0.167652302531039,1,0.00552314520292363,0.277021761828316,-0.26773836656039,-0.0586727618954287,-0.25299403364038,0.13712051362217,0.00698539954580764,-0.0669965265533811
"GON",-0.264870785027374,0.461805351650877,-0.235884049402797,0.00552314520292363,1,-0.189126115697161,-0.123108081608464,-0.00261056985470618,0.06544132274631,-0.00909647211712994,-0.16782015801933,0.0415777422981715
"MEL",0.134913145652447,-0.206085103156023,-0.0398258530115995,0.277021761828316,-0.189126115697161,1,-0.202617774823151,-0.0415393824365555,-0.297278307791619,0.0751469356463328,-0.0485598628858128,-0.0271402218609472
"OBL",0.0931593359395167,-0.00153156428345327,0.0324229108850343,-0.26773836656039,-0.123108081608464,-0.202617774823151,1,0.0248471418618571,0.0547691383508666,-0.113271228886333,0.276592704599806,0.0445899795066537
"OVA",-0.097463726321509,0.0128552903134542,-0.157528626853399,-0.0586727618954287,-0.00261056985470618,-0.0415393824365555,0.0248471418618571,1,0.0327098879585213,0.102689293821071,0.201266420782417,-0.0806214575830839
"WIL",-0.0598089084028882,0.0376725262093271,0.00827262677626639,-0.25299403364038,0.06544132274631,-0.297278307791619,0.0547691383508666,0.0327098879585213,1,0.00869947158034408,-0.161918593907544,0.226103783629399
"ALP",-0.0538926130288138,0.0287872810072478,-0.366118427515132,0.13712051362217,-0.00909647211712994,0.0751469356463328,-0.113271228886333,0.102689293821071,0.00869947158034408,1,-0.0933840902710416,0.141099238247216
"VIM",0.047477510051505,-0.132016277320396,0.11967583625006,0.00698539954580764,-0.16782015801933,-0.0485598628858128,0.276592704599806,0.201266420782417,-0.161918593907544,-0.0933840902710416,1,-0.267955542442135
"ARO.SAB",-0.042629941149814,0.0471762836899721,-0.234474130863399,-0.0669965265533811,0.0415777422981715,-0.0271402218609472,0.0445899795066537,-0.0806214575830839,0.226103783629399,0.141099238247216,-0.267955542442135,1
