"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.207461643079208,0.118103989988505,-0.219920792730447,-0.433069016043109,0.243393587838592,0.178159340905038,-0.204866806979844,-0.0452064111353848,-0.0841157604381709,-0.0817812045982688,-0.00985432191392866
"ARE",-0.207461643079208,1,-0.438084065993531,0.104638629230309,0.609709140848347,-0.296931940506262,0.0348274852817882,-0.0926071144705176,0.186576401944399,0.022984926729398,-0.197310976291396,0.130820919784174
"BAX",0.118103989988505,-0.438084065993531,1,-0.292178740416609,-0.19515573605121,-0.0738380119813812,0.00532239946900473,-0.321361374564315,0.00173253109945388,-0.618629888801413,0.114622700230705,-0.326567505258997
"CAM",-0.219920792730447,0.104638629230309,-0.292178740416609,1,0.162411737846438,0.395633365158594,-0.456338547466964,-0.0955014299255869,-0.48180595026714,0.190995240216892,0.00400774114708366,-0.0993594467815063
"GON",-0.433069016043109,0.609709140848347,-0.19515573605121,0.162411737846438,1,-0.323834786931322,-0.269490685657432,-0.0823535722522802,0.252300777377339,-0.0992856023308789,-0.253928616175788,0.0509948916544311
"MEL",0.243393587838592,-0.296931940506262,-0.0738380119813812,0.395633365158594,-0.323834786931322,1,-0.279353172310078,-0.0750452693651716,-0.562653907543905,0.086464248237074,-0.0964412706712632,0.00494882466994474
"OBL",0.178159340905038,0.0348274852817882,0.00532239946900473,-0.456338547466964,-0.269490685657432,-0.279353172310078,1,0.0174450462209594,0.04875973525271,-0.133826840401765,0.389796864969559,0.0532118836320712
"OVA",-0.204866806979844,-0.0926071144705176,-0.321361374564315,-0.0955014299255869,-0.0823535722522802,-0.0750452693651716,0.0174450462209594,1,0.0897388327001659,0.406201970267094,0.324550313809124,-0.0847148121407739
"WIL",-0.0452064111353848,0.186576401944399,0.00173253109945387,-0.48180595026714,0.252300777377339,-0.562653907543905,0.04875973525271,0.0897388327001658,1,0.026993644022423,-0.296046159505301,0.25925713344916
"ALP",-0.0841157604381709,0.022984926729398,-0.618629888801413,0.190995240216892,-0.0992856023308789,0.086464248237074,-0.133826840401765,0.406201970267094,0.026993644022423,1,-0.0460126761025137,0.197963097605843
"VIM",-0.0817812045982688,-0.197310976291396,0.114622700230705,0.00400774114708366,-0.253928616175788,-0.0964412706712632,0.389796864969559,0.324550313809124,-0.296046159505301,-0.0460126761025137,1,-0.378352014079112
"ARO.SAB",-0.00985432191392865,0.130820919784174,-0.326567505258997,-0.0993594467815063,0.0509948916544311,0.00494882466994475,0.0532118836320712,-0.084714812140774,0.25925713344916,0.197963097605843,-0.378352014079112,1
