"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",0,0.111592871156568,0.0596625394692466,0.0988730635925502,0.119476342788323,0.0585423357634612,0.0385660933924913,0.0435556997708807,0.0720040897427148,0.084615435045918,0.102497170118671,0.0524513736524756
"ARE",0.111592871156568,0,0.199129664694243,0.297313843366674,0.102257153260026,0.170066448120503,0.12049705929408,0.127189223130234,0.159988751893465,0.213732161825732,0.110434845610526,0.0919540833350677
"BAX",0.0596625394692466,0.199129664694243,0,0.270838870287175,0.162320411653602,0.10157308829351,0.0876619273716347,0.108183483473873,0.102397513984699,0.190854684679226,0.111551987165366,0.105062729808979
"CAM",0.0988730635925502,0.297313843366674,0.270838870287175,0,0.270620459522247,0.198658936471632,0.218875504727949,0.177471685510219,0.160536850365367,0.129432158135747,0.194945117469634,0.130690608486536
"GON",0.119476342788323,0.102257153260026,0.162320411653602,0.270620459522247,0,0.179695728698488,0.141219700543281,0.143604486167862,0.166007961943902,0.229208101728667,0.135581909530808,0.106388904645297
"MEL",0.0585423357634612,0.170066448120503,0.10157308829351,0.198658936471632,0.179695728698488,0,0.124476108445184,0.0820811310953184,0.11978849993666,0.173774234937628,0.134979392536505,0.0732856685371436
"OBL",0.0385660933924913,0.12049705929408,0.0876619273716347,0.218875504727949,0.141219700543281,0.124476108445184,0,0.0734758491949721,0.0796756824864685,0.265953008583726,0.117618522469664,0.0584492642077593
"OVA",0.0435556997708807,0.127189223130234,0.108183483473873,0.177471685510219,0.143604486167862,0.0820811310953184,0.0734758491949721,0,0.0731255849191432,0.223260718892688,0.135447860691903,0.0689659765253954
"WIL",0.0720040897427148,0.159988751893465,0.102397513984699,0.160536850365367,0.166007961943902,0.11978849993666,0.0796756824864685,0.0731255849191432,0,0.150232150309751,0.116960945251288,0.0801982893830158
"ALP",0.084615435045918,0.213732161825732,0.190854684679226,0.129432158135747,0.229208101728667,0.173774234937628,0.265953008583726,0.223260718892688,0.150232150309751,0,0.424728498818407,0.155525684528231
"VIM",0.102497170118671,0.110434845610526,0.111551987165366,0.194945117469634,0.135581909530808,0.134979392536505,0.117618522469664,0.135447860691903,0.116960945251288,0.424728498818407,0,0.103453697968494
"ARO.SAB",0.0524513736524756,0.0919540833350677,0.105062729808979,0.130690608486536,0.106388904645297,0.0732856685371436,0.0584492642077593,0.0689659765253954,0.0801982893830158,0.155525684528231,0.103453697968494,0
