"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","0.081983412695","-1.29335","1.6123","0.748350129566494","9.12806755618426","7.24665907159261","9.12914024375869","5.13168047266575","Ovaskainen 2016 NS","Crinia_sig"
"2","log10","0.5207309575925","0.13069","0.94499","0.14237582644306","0.958716058501251","0.631241543836375","1.94888614375445","0.539998958744178","Ovaskainen 2016 NS","Crinia_sig"
"3","p_area","-4.6439964125","-11.091","-1.54655","2.90722413685205","-0.583349061037217","-0.382183727407148","-0.830364772459763","-0.312371518376693","Ovaskainen 2016 NS","Crinia_sig"
"4","vertical","-16.288149825","-25.0075","-9.0693","74.0296657613953","-0.429306641655538","-0.272701480669991","-0.729452148430218","-0.235437657075458","Ovaskainen 2016 NS","Crinia_sig"
"5","intercept","-0.80333501357","-2.07855","0.397695","0.207382990283599","0.398253622643053","0.257639116914222","0.756177193666648","0.222765773233769","Ovaskainen 2016 NS","Lim_dumer"
"6","log10","0.1793494609575","-0.15222","0.53344","0.437407031229464","-0.538246653610229","-0.270466768757831","-0.789037126702272","-0.2434897358309","Ovaskainen 2016 NS","Lim_dumer"
"7","p_area","-2.663758505","-6.20715","-0.83596","5.89380497229881","-0.325069650251708","-0.218153088905669","-0.580735054191253","-0.181300499528666","Ovaskainen 2016 NS","Lim_dumer"
"8","vertical","-8.52822114175002","-14.9185","-3.04475","15.349732197441","-0.437271556854116","-0.286927529304787","-0.751504937209921","-0.241274056060012","Ovaskainen 2016 NS","Lim_dumer"
"9","intercept","-0.409464865045","-1.52905","0.775155","2.48347180531056","-0.534770397028286","-0.344346525879463","-0.75483517655366","-0.286438511327258","Ovaskainen 2016 NS","Lim_peron"
"10","log10","0.1655956173725","-0.154265","0.479655","2.28937597716395","-0.560347010180007","-0.376319572346256","-0.988311409902277","-0.312059838703382","Ovaskainen 2016 NS","Lim_peron"
"11","p_area","-0.906164416149999","-1.66165","-0.19496","0.838678163145168","-0.694873400868206","-0.438220287467064","-1.25699929487969","-0.382539328111359","Ovaskainen 2016 NS","Lim_peron"
"12","vertical","-4.55577896274998","-10.05225","-0.0584305","4.01812109054525","2.29202553079061","1.564877734576","3.54433494406037","1.27098574694468","Ovaskainen 2016 NS","Lim_peron"
"13","intercept","-0.862531750637499","-2.26275","0.37556","4.14854040685297","-0.254696847181842","-0.171564377283706","-0.467174301904967","-0.142195308286419","Ovaskainen 2016 NS","Lim_tas"
"14","log10","0.466339601949999","0.110005","0.90251","0.611476339827107","-0.790509600989577","-0.535118645467929","-1.39522298096263","-0.443781134081115","Ovaskainen 2016 NS","Lim_tas"
"15","p_area","-4.261767865","-10.1085","-1.2951","0.249447785351967","0.48551701255099","0.309749481170309","0.82677342976378","0.26613798381922","Ovaskainen 2016 NS","Lim_tas"
"16","vertical","-13.573505275","-21.5065","-6.94465","16.5362583479095","-0.725909226500435","-0.47525779232677","-1.06755999361996","-0.394999767732585","Ovaskainen 2016 NS","Lim_tas"
"17","intercept","0.496247151647499","-1.1977","2.49595","0.629117355707598","-0.783131999826344","-0.511965561498332","-1.47286795527484","-0.439286802889589","Ovaskainen 2016 NS","Para_has"
"18","log10","-0.1586627726535","-0.71923","0.313855","0.180727833503842","0.432140855410167","0.292358686259919","0.782574158362374","0.241936812369324","Ovaskainen 2016 NS","Para_has"
"19","p_area","-4.9836784372","-12.3475","-1.143","0.560569279785168","7.07609755747181","2.86485157367668","-10.6977012305593","3.82005007250097","Ovaskainen 2016 NS","Para_has"
"20","vertical","-18.130898925","-30.9975","-8.21685","61.8700127076767","-2.54209691026527","-1.5011961926234","-6.79262748761989","-1.41530226553675","Ovaskainen 2016 NS","Para_has"
"21","intercept","-1.2069510246","-2.98545","0.340475","0.174617963407515","0.973618557174778","0.650504569336815","1.79685657946904","0.54708032769019","Ovaskainen 2016 NS","Lit_ewing"
"22","log10","0.513777640955","0.10081","1.06685","2.11395185493589","-0.553105381724255","-0.377664768738788","-0.772822201263405","-0.299706142126713","Ovaskainen 2016 NS","Lit_ewing"
"23","p_area","0.0792201174774998","-1.245","1.0305","3.55813439682425","-3.33057228949587","-2.0489046097069","-4.83359143216173","-1.7535771885221","Ovaskainen 2016 NS","Lit_ewing"
"24","vertical","-1.0683252268825","-8.39205","5.53605","17.7826011487475","-0.444321696793066","-0.289312345507711","-0.738351991239155","-0.243742885587036","Ovaskainen 2016 NS","Lit_ewing"
"25","intercept","-0.87689897643525","-2.51","0.65399","1.37170067584741","-0.514949336913487","-0.317545329423733","-0.762260453306919","-0.271608153127229","Ovaskainen 2016 NS","Lit_verr"
"26","log10","0.149267279371026","-0.321675","0.60322","3.34813557147783","-0.275051236326126","-0.184125305050618","-0.511465421602753","-0.153919259966637","Ovaskainen 2016 NS","Lit_verr"
"27","p_area","-3.4627981675","-8.54595","-1.105","0.791261282718538","-0.902340296866528","-0.561329039389126","-1.7045102770603","-0.501807315502749","Ovaskainen 2016 NS","Lit_verr"
"28","vertical","-10.81954508","-21.8265","-3.39645","4.07825490641614","1.39161564183989","0.938257091670684","2.01259853062601","0.768552802484805","Ovaskainen 2016 NS","Lit_verr"
"29","intercept","-2.202522702625","-4.3511","-0.61421","2.99347038306841","-0.351007593883071","-0.23575879162914","-0.658481899138684","-0.197350840751058","Ovaskainen 2016 NS","Lit_peron"
"30","log10","0.10999536600975","-0.35029","0.62699","0.843846411753729","1.89612936212513","1.31685258562616","2.84918212548915","1.06102222027989","Ovaskainen 2016 NS","Lit_peron"
"31","p_area","-1.429307760675","-3.9658","0.1298","0.230478289944337","1.54406438514532","0.96228835540887","3.29975462042148","0.859301532900964","Ovaskainen 2016 NS","Lit_peron"
"32","vertical","-1.527069917875","-8.9278","6.64175","16.645224447509","-0.807290332000675","-0.522118168775271","-1.14255458592329","-0.434176146345573","Ovaskainen 2016 NS","Lit_peron"
"33","intercept","-2.51112647165","-5.10995","-0.76778","0.583153279475888","-1.4241839270185","-0.920415158369367","-3.05225270606459","-0.802388257872861","Ovaskainen 2016 NS","Lit_rani"
"34","log10","0.18387635465","-0.255405","0.76136","0.235758074754376","-1.65689168864695","-1.18274413679038","-2.5481185915112","-0.926476851370114","Ovaskainen 2016 NS","Lit_rani"
"35","p_area","-1.293691497065","-3.8546","0.25616","1.89700935207511","-0.547825561962993","-0.33233454465798","-0.770118369241085","-0.287270576685834","Ovaskainen 2016 NS","Lit_rani"
"36","vertical","-0.161978216075","-8.23405","10.3335","74.2498174597714","-28.7613719277551","-6.64188163884674","8.90724426717204","-15.8135722087398","Ovaskainen 2016 NS","Lit_rani"
