"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-2.930520725","-3.70365","-2.19555","0.39185568195682","-0.133715376456456","-0.0914312331998582","-0.255410804149992","-0.0754574282591875","Ovaskainen 2016 NS","antser"
"2","diam","0.487530685","0.31621","0.657325","0.0943926647119164","-0.216864131089184","-0.149078322951779","-0.416886332726909","-0.122397887797858","Ovaskainen 2016 NS","antser"
"3","dc1","0.792662575750001","0.134105","1.47665","0.286008841529324","0.736918405714004","0.502363813069333","1.33422205770241","0.413744988614407","Ovaskainen 2016 NS","antser"
"4","dc2","1.468897255","0.825975","2.14595","0.298716085245656","-0.943152296389469","-0.614254889677734","-2.00754427866635","-0.530421254737149","Ovaskainen 2016 NS","antser"
"5","dc3","1.58910518","0.92726","2.28505","0.511534616012415","1.14597845219923","0.735561705086086","2.59943732634258","0.644169100373639","Ovaskainen 2016 NS","antser"
"6","dc4","1.0084981084","0.26403","1.74395","0.347726408088109","0.256032699830264","0.176176916534152","0.493671896630194","0.144409136178098","Ovaskainen 2016 NS","antser"
"7","dc5","-0.899026622012749","-2.6353","0.63482","0.132034791667847","0.623454972072521","0.421172931618466","1.19561364844584","0.350477162373405","Ovaskainen 2016 NS","antser"
"8","quality3","-0.659106876617498","-1.17615","-0.170175","0.172234445450196","-0.833584376176875","-0.564702268800439","-1.51582618263779","-0.468622586930364","Ovaskainen 2016 NS","antser"
"9","quality4","-0.178401740940475","-0.60488","0.23886","0.274560906063469","0.681277808487607","0.455193933928909","1.38402564307344","0.383323776729358","Ovaskainen 2016 NS","antser"
"10","ground3","0.1136901858414","-0.336785","0.562995","0.28305738804951","2.13356484954305","1.46919272072434","3.47904140088024","1.1999827199822","Ovaskainen 2016 NS","antser"
"11","ground4","0.443503003007501","-0.0136655","0.926615","0.844864656600774","-0.845253024796765","-0.584396275039115","-1.51758500317185","-0.475638436027179","Ovaskainen 2016 NS","antser"
"12","epi","-0.41638915375","-0.598585","-0.246315","0.312249184655814","0.3269707046823","0.219839789311972","0.643298927154168","0.183832550284249","Ovaskainen 2016 NS","antser"
"13","bark","-0.49744217","-0.739795","-0.27485","0.400734058051078","0.259228275872021","0.173356843081614","0.494186473440434","0.14530294785512","Ovaskainen 2016 NS","antser"
"14","intercept","-3.523068975","-4.3572","-2.72165","0.0875726275068465","0.179624852755363","0.121426337832504","0.349760799094609","0.101286381399768","Ovaskainen 2016 NS","antsin"
"15","diam","0.540595302999999","0.270885","0.827275","0.12516833103268","-0.2407136679533","-0.163636088854409","-0.457907516925702","-0.135802717328931","Ovaskainen 2016 NS","antsin"
"16","dc1","0.492344801327499","-0.280315","1.24965","0.295850499411544","0.767474934616357","0.502752460336008","1.51018205241078","0.431513692624201","Ovaskainen 2016 NS","antsin"
"17","dc2","1.26502319675","0.57255","1.962","0.26261471622117","-3.95735727230101","-2.53189723605398","-14.558542126652","-2.22800531451778","Ovaskainen 2016 NS","antsin"
"18","dc3","1.4123360025","0.722265","2.1087","0.912682738107265","-1.08941525685099","-0.75254137682715","-1.93894530438838","-0.612691202373549","Ovaskainen 2016 NS","antsin"
"19","dc4","1.16929409025","0.361825","2.00605","0.362642358497358","0.304304735537833","0.203481546567413","0.591079762079768","0.17142730611551","Ovaskainen 2016 NS","antsin"
"20","dc5","-0.849761184502502","-2.59365","0.663125","0.46777232013716","5.57377412411199","3.36946607341491","36.3027060671623","3.12155639372303","Ovaskainen 2016 NS","antsin"
"21","quality3","-0.306272801993999","-0.88386","0.290355","0.410771293043449","-0.119253257838379","-0.0786396754068321","-0.230887806140048","-0.0669962485218224","Ovaskainen 2016 NS","antsin"
"22","quality4","-0.3405706845425","-0.864975","0.211835","0.151319590078471","-0.54041812555806","-0.360453775242821","-1.0064854111808","-0.304399918403119","Ovaskainen 2016 NS","antsin"
"23","ground3","0.38811466685","-0.141145","0.981785","0.318728067866408","1.03853777683737","0.682178861136211","2.06583519845588","0.582631986854597","Ovaskainen 2016 NS","antsin"
