"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-3.05102456111692","-5.64404588175018","-1.15091907364175","1.16124461087014","-0.380608083484267","-0.26380406843305","-0.661243558665161","-0.213286749580627","BayesComm","antser"
"2","diam","0.485951135076444","0.300896242943558","0.694450719314931","0.104136006581629","0.205001579294173","0.136696735636361","0.395394260789605","0.114754608651307","BayesComm","antser"
"3","dc1","1.30169672013591","-0.532116801231765","3.74948015713476","1.12830450990137","0.866795231521803","0.634003577899039","1.33077818223762","0.488223713865905","BayesComm","antser"
"4","dc2","1.98806212753396","0.169613139402366","4.47971241220997","1.13398376893148","0.570396545070803","0.407174887737279","0.927037529413897","0.320481398183351","BayesComm","antser"
"5","dc3","2.10791509770567","0.2644966180094","4.61445155537735","1.13910179065916","0.540392633412512","0.384247331064332","0.891576377280598","0.303966991671762","BayesComm","antser"
"6","dc4","1.52188727303342","-0.335831009830799","3.97901220979841","1.14758306175323","0.754052604346885","0.5237302610004","1.18436140910794","0.423412087946709","BayesComm","antser"
"7","dc5","-2.32491837723825","-8.13216424765531","2.12268685948462","2.66777160325505","-1.14746893025297","-0.835271992075477","-1.70644640868872","-0.64430409135359","BayesComm","antser"
"8","quality3","-0.925516218710518","-1.66147918220833","-0.18324618068253","0.38045408357226","-0.411072303089762","-0.275551531485547","-0.801329580685804","-0.231659231733637","BayesComm","antser"
"9","quality4","-0.375149696080291","-0.920760419840482","0.237079520999743","0.296853578965838","-0.791293667747777","-0.537993038254451","-1.69353852477593","-0.445306333499818","BayesComm","antser"
"10","ground3","-0.0726453083828183","-0.6952039724124","0.616734985600689","0.334136704912593","-4.59956344533354","-3.02885721386505","-16.719203488139","-2.58875992683629","BayesComm","antser"
"11","ground4","0.267414276743335","-0.375305210447059","0.973463784512933","0.35192310430237","1.31602212338179","0.89812509788588","2.25486861417363","0.745373044415379","BayesComm","antser"
"12","epi","-0.426685389309979","-0.628554453240969","-0.231707788787105","0.0837490480003967","-0.234266959530228","-0.155826876657278","-0.461308941699331","-0.132036655237804","BayesComm","antser"
"13","bark","-0.534234471220901","-0.817222760129478","-0.269477484138232","0.158762003713651","-0.262794724899016","-0.179345861515799","-0.504044495140748","-0.148091680624826","BayesComm","antser"
"14","intercept","-4.44304858489962","-7.43193907578751","-2.12062781912622","1.40227719186772","-0.315611491765714","-0.212097364723483","-0.556008800052403","-0.177335507330676","BayesComm","antsin"
"15","diam","0.555908518151234","0.226278453271949","0.95399776234428","0.188161139653806","0.323798993508031","0.211347282832214","0.616566952247178","0.181450057015589","BayesComm","antsin"
"16","dc1","0.628420708798646","-1.17958541962698","2.84887338416813","1.05494303461273","1.67872099032107","1.23801305608153","2.41327972726529","0.949052101080841","BayesComm","antsin"
"17","dc2","1.39248239381504","-0.393037486920346","3.57998853099236","1.00859822753556","0.724316682218333","0.510627998593145","1.2466542356535","0.408132787478082","BayesComm","antsin"
"18","dc3","1.50518264989681","-0.351101201690955","3.64084514274941","1.01733913826986","0.675890821847837","0.446207715463414","1.21345199382174","0.381556270367679","BayesComm","antsin"
"19","dc4","1.16871899209124","-0.825192068066058","3.38229656910762","1.09804507228989","0.939528731645847","0.661065011972787","1.64541129838842","0.532007818180828","BayesComm","antsin"
"20","dc5","-1.32856409233983","-7.04800518040126","2.67606097083711","2.35426849488698","-1.77203983493239","-1.24235693750455","-2.22419721870325","-0.982928803235317","BayesComm","antsin"
"21","quality3","-0.432496154976936","-1.50626774897096","0.761824716844652","0.600798392564791","-1.3891415811473","-0.880348711322064","-3.04669715201364","-0.776188930979845","BayesComm","antsin"
"22","quality4","-0.437376353786654","-1.40198960390238","0.818293680346589","0.569072302292715","-1.30110440897383","-0.780715233884858","-3.80383551545698","-0.720342244587072","BayesComm","antsin"
"23","ground3","1.26993300262578","-0.290111346906635","4.133745708118","1.09263832280947","0.860390524972798","0.561902086087682","1.15095678706296","0.464630888070688","BayesComm","antsin"
"24","ground4","1.19470348967933","-0.531428987356758","3.86738786532633","1.14054371480007","0.954666764308353","0.662756297561077","1.31860643778691","0.521993008872219","BayesComm","antsin"
"25","epi","-0.0972680273264901","-0.441960571308494","0.21955422218","0.144623026605304","-1.77462367792959","-1.2250443014757","-2.97435210856461","-0.996455243946441","BayesComm","antsin"
"26","bark","-0.0268405957645141","-0.432778600024785","0.336770682385162","0.224697462067754","-7.40300418507416","-5.35819481349382","-8.01547727864007","-4.1212508726861","BayesComm","antsin"
"27","intercept","-5.03617740298828","-8.06855349390932","-2.48639470394807","1.41824491479755","-0.281611389216752","-0.189640144773762","-0.528866526421646","-0.159003353677474","BayesComm","astfer"
"28","diam","0.337974709247202","0.0702483662325477","0.608537140057317","0.147636302480325","0.417886022571814","0.27370742674688","0.793017483191371","0.235713907024254","BayesComm","astfer"
"29","dc1","0.0688111873102863","-1.97344017000865","2.59330052151321","1.22790504305439","17.8445553848311","85.661651884047","7.3673702156256","10.0060898334201","BayesComm","astfer"
"30","dc2","1.27893314692611","-0.560729370803388","3.86459822242223","1.14428627199727","0.894719379779571","0.656811959002954","1.33943803218983","0.499431354040973","BayesComm","astfer"
"31","dc3","1.60664230441179","-0.226674397313391","4.26717641474534","1.15433713298119","0.718477989662922","0.514753662919154","1.11220110587024","0.401081495537864","BayesComm","astfer"
"32","dc4","1.65217548850062","-0.243221255216016","4.17367270688259","1.18072346638236","0.714647732399114","0.523164783348441","1.12376250321723","0.399399611359345","BayesComm","astfer"
"33","dc5","-1.6780312093852","-7.73484158482112","2.14431261514459","2.54075506842697","-1.5141286134707","-1.10364583128257","-1.76712333547524","-0.83855437372499","BayesComm","astfer"
"34","quality3","-0.180376819555886","-1.2938223764794","0.999495576679022","0.589987359817696","-3.27086019850185","-1.94777916078197","-7.79174018374745","-1.82625489687038","BayesComm","astfer"
"35","quality4","0.186330977211296","-0.749928228531494","1.41032606811556","0.540319251469997","2.89978220238326","2.10136024074567","3.27114076873362","1.62091146732222","BayesComm","astfer"
"36","ground3","1.76918168407765","0.0240705599685699","4.07123900271924","1.08286197853656","0.612069403771326","0.424557331009636","0.988244815391796","0.345812886547921","BayesComm","astfer"
"37","ground4","1.63939134450131","-0.243233478595061","3.9558795513907","1.10421717366822","0.673553131393479","0.475422846429005","1.13102971510123","0.380621113725","BayesComm","astfer"
"38","epi","-0.0523907042040476","-0.327290254757033","0.222348823275046","0.116516463683762","-2.65443437636262","-1.81087580981586","-5.23757938375774","-1.48592611664366","BayesComm","astfer"
"39","bark","0.0699455324977543","-0.28427943995632","0.429728105371584","0.210897681773693","2.66632941737151","1.87160046216743","4.90900032179307","1.51191131137574","BayesComm","astfer"
"40","intercept","-3.76436399248828","-5.85447062627772","-1.93677771956189","0.982751932212259","-0.261067190679043","-0.168790722572731","-0.502832502933603","-0.146348595033093","BayesComm","fompin"
"41","diam","0.818586138005292","0.600560233044271","1.06225696522542","0.126045444926547","0.147303022434858","0.0999899575215495","0.277659343830211","0.0831994364409336","BayesComm","fompin"
"42","dc1","2.50608448760319","0.938342359826108","4.55341443052234","0.921791241826984","0.367821295086736","0.247614777920647","0.658272426967193","0.205804185594305","BayesComm","fompin"
"43","dc2","2.49849629478689","0.917329025174696","4.52367926267214","0.939000206173682","0.375826135156936","0.254429981815644","0.662809179238464","0.210701809054278","BayesComm","fompin"
"44","dc3","2.33232919795934","0.701236260996941","4.3854935803634","0.949889638103018","0.407270825633927","0.281305999498512","0.724287987423602","0.228857893240615","BayesComm","fompin"
"45","dc4","-1.48112645337037","-5.85759707654515","1.8497534731948","2.10142768622631","-1.41880369596021","-1.08401249324526","-1.92306669434331","-0.804393712143096","BayesComm","fompin"
"46","dc5","-1.44050309364552","-7.17011961790348","2.51686121835435","2.52991660025234","-1.75627293784549","-1.25800010613978","-2.0817629292189","-0.971336790351075","BayesComm","fompin"
"47","quality3","-1.00332165205047","-1.82514935810348","-0.20415693651306","0.41992236878748","-0.418532150611213","-0.278655131306924","-0.798791402702826","-0.236365139792731","BayesComm","fompin"
"48","quality4","-0.764568194373283","-1.4853096833006","0.00728248802872349","0.379626788151519","-0.496524431627317","-0.329400061437662","-1.00985433563336","-0.27995724714438","BayesComm","fompin"
"49","ground3","0.558132945151379","-0.0191787228758316","1.19164905787187","0.305966615981348","0.548196659307331","0.359516100966077","1.03271506715928","0.306520221849262","BayesComm","fompin"
"50","ground4","0.608560255735682","-0.140385610073996","1.39938242526957","0.385090269889245","0.632789056235218","0.42765777314719","1.2230118589334","0.355117400873171","BayesComm","fompin"
"51","epi","0.0409692965169785","-0.220144099418348","0.300966847901011","0.112546088028229","3.27876908230867","2.09280945947066","6.44757765731194","1.84753926488888","BayesComm","fompin"
"52","bark","0.438572868401144","0.229451627365669","0.654240929462339","0.12336036812824","0.248734412712002","0.171246120245902","0.480698064971194","0.14071205126845","BayesComm","fompin"
"53","intercept","-6.30486769440265","-9.56964142819524","-3.46590980451493","1.57134690728486","-0.249227578348689","-0.163655801798102","-0.468237323816748","-0.139920204609539","BayesComm","hetpar"
"54","diam","0.501140537025443","0.229830867680659","0.790012905663862","0.150622069760076","0.287526558039056","0.193313424183336","0.549282206377666","0.162244809024993","BayesComm","hetpar"
"55","dc1","1.06469126300318","-0.393351334754882","2.97700899712354","0.888196361586233","0.834229031879996","0.597501359218292","1.30449183766418","0.471000658525017","BayesComm","hetpar"
"56","dc2","1.68206915825657","0.248538615570707","3.58182338688113","0.89781963533055","0.533759049634511","0.3725085714497","0.870227087981963","0.301038019421143","BayesComm","hetpar"
"57","dc3","1.39451106672917","-0.187862080723487","3.15445934389253","0.896920655552515","0.643179302733139","0.466198618278977","1.12665155668809","0.364145631864717","BayesComm","hetpar"
"58","dc4","1.89992917131976","0.199100185117894","3.95794784800005","0.956466718765918","0.503422302896441","0.354796978311399","0.904210784416382","0.284389320735524","BayesComm","hetpar"
"59","dc5","-1.47999503299795","-6.49127496325523","2.54683521620848","2.40713615702911","-1.62644880784032","-1.26080276343171","-2.29135460523403","-0.91889422667387","BayesComm","hetpar"
"60","quality3","1.4775575279999","-0.0158827908699511","3.65157265440205","0.954532235724849","0.646020352938103","0.449028256744883","1.00873715386412","0.3602497151242","BayesComm","hetpar"
