"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.0381141519840227,0.103876433384795,0.0362346065710397,-0.000489907217354846,0.13089901743016,0.253287282391234,0.0727440118287221,0.272982209737564,0.040220107441977,0.0287147071193209
"antsin",0.0381141519840227,1,0.170055185444274,0.361042820073951,0.15645061888823,-0.160275394609347,0.0565355927848103,-0.274859015265678,-0.163777058765834,-0.0126560085990351,0.211348045073198
"astfer",0.103876433384795,0.170055185444274,1,0.16733143807485,0.146595566423517,-0.000593488998886959,0.07697597156063,-0.032555318357361,-0.0392228758585467,0.112444470631499,0.0683256190416112
"fompin",0.0362346065710397,0.361042820073951,0.16733143807485,1,0.167974376663217,-0.127931398700921,0.055456343827756,-0.351419338878809,-0.164668334268462,-0.00319124289862283,0.339977159845134
"hetpar",-0.000489907217354846,0.15645061888823,0.146595566423517,0.167974376663217,1,0.00293553730980887,0.0853153896410765,-0.202708093106513,-0.147642760349176,0.0558446710567234,0.185474168595758
"junlut",0.13089901743016,-0.160275394609347,-0.000593488998886959,-0.127931398700921,0.00293553730980887,1,0.027933371912789,0.26220716839095,0.312160549706192,0.037972885367117,-0.200613159791765
"phefer",0.253287282391234,0.0565355927848103,0.07697597156063,0.055456343827756,0.0853153896410765,0.027933371912789,1,0.0402078942152234,0.138532758881298,0.058988329078528,-0.0275124456877495
"phenig",0.0727440118287221,-0.274859015265678,-0.032555318357361,-0.351419338878809,-0.202708093106513,0.26220716839095,0.0402078942152234,1,0.328289875644972,-0.0149740157349446,-0.33237895130012
"phevit",0.272982209737564,-0.163777058765834,-0.0392228758585467,-0.164668334268462,-0.147642760349176,0.312160549706192,0.138532758881298,0.328289875644972,1,0.0823392519749323,-0.218259904716114
"poscae",0.040220107441977,-0.0126560085990351,0.112444470631499,-0.00319124289862283,0.0558446710567234,0.037972885367117,0.058988329078528,-0.0149740157349446,0.0823392519749323,1,-0.000444900651714344
"triabi",0.0287147071193209,0.211348045073198,0.0683256190416112,0.339977159845134,0.185474168595758,-0.200613159791765,-0.0275124456877495,-0.33237895130012,-0.218259904716114,-0.000444900651714344,1
