"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.350716154247935,0.432580945199439,0.317654019096268,0.321609022016251,0.397759866005812,0.644398686746782,0.269368965469259,0.489163199902709,0.301565965112615,0.359974377055182
"antsin",0.350716154247935,1,0.560057593124514,0.784044222103762,0.528086219241105,0.278711285764291,0.39820644718603,-0.0288557660140637,0.0664723681209256,0.339653899835873,0.58331969265152
"astfer",0.43258094519944,0.560057593124514,1,0.519169345261575,0.560892316946302,0.390944940952134,0.483262248036778,0.268510310724685,0.240218264852483,0.542080915867801,0.463885043572047
"fompin",0.317654019096268,0.784044222103762,0.519169345261575,1,0.426900328044864,0.249175280603571,0.31534757560852,-0.222717980046825,0.0571620195737449,0.278338164522517,0.618228021889973
"hetpar",0.321609022016251,0.528086219241105,0.560892316946302,0.426900328044864,1,0.456792659396626,0.496624023572043,0.0698328160852381,0.0582876960135116,0.528691597811763,0.495135015332272
"junlut",0.397759866005812,0.27871128576429,0.390944940952134,0.249175280603571,0.456792659396627,1,0.423876375193658,0.53084678458519,0.624833612878335,0.371987515764335,0.167233469918292
"phefer",0.644398686746782,0.398206447186029,0.483262248036778,0.31534757560852,0.496624023572043,0.423876375193658,1,0.343078416152129,0.449221511245572,0.520415310179553,0.231594783088616
"phenig",0.269368965469259,-0.0288557660140636,0.268510310724684,-0.222717980046825,0.0698328160852381,0.53084678458519,0.343078416152129,1,0.547625508878879,0.274757653690676,-0.184260890004998
"phevit",0.489163199902709,0.0664723681209257,0.240218264852483,0.057162019573745,0.0582876960135116,0.624833612878335,0.449221511245572,0.547625508878879,1,0.307333148894556,0.00373033182858859
"poscae",0.301565965112616,0.339653899835874,0.542080915867801,0.278338164522517,0.528691597811763,0.371987515764335,0.520415310179553,0.274757653690676,0.307333148894556,1,0.380287853217012
"triabi",0.359974377055182,0.58331969265152,0.463885043572047,0.618228021889973,0.495135015332272,0.167233469918292,0.231594783088616,-0.184260890004999,0.00373033182858861,0.380287853217012,1
