"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-0.858512609522501","-2.2688","0.577155","0.729633162694209","-0.849880542931136","-0.556688999351632","-1.68128257396124","-0.479411544500693","Ovaskainen 2016","Culex_pipiens_sl"
"2","depth__cm","-0.020897874614625","-0.051013","0.00598815","0.00377411840080374","-3.93168212377765","-2.8138965481734","-5.83408345435673","-2.19792019919163","Ovaskainen 2016","Culex_pipiens_sl"
"3","temperature__C","-0.0329187073592499","-0.114505","0.0476155","0.0775476056544811","-1.80325160693174","-1.42251692559708","-2.0073602158429","-1.00462482003625","Ovaskainen 2016","Culex_pipiens_sl"
"4","oxidation_reduction_potential__Mv","-0.017579847775","-0.02719","-0.0090951","0.00852373516231502","0.588249281504844","0.387906665740061","1.1085699901126","0.329471254538752","Ovaskainen 2016","Culex_pipiens_sl"
"5","salinity__ppt","0.014246123184665","-0.076232","0.0858235","0.102296382354367","-0.682236771803788","-0.460386330664661","-1.36743709960983","-0.383596003767847","Ovaskainen 2016","Culex_pipiens_sl"
"6","water_crowfoot__Ranunculus","0.1805574223075","-0.34445","0.688805","0.297894264973479","1.28546851247601","0.887853258062945","2.37238834738723","0.7263116350719","Ovaskainen 2016","Culex_pipiens_sl"
"7","rushes__Juncus_or_Scirpus","0.0072561719775","-0.67832","0.68369","0.321304449335651","0.862811093036197","0.582724415234519","1.58013947330186","0.483927956624796","Ovaskainen 2016","Culex_pipiens_sl"
"8","filamentous_algae","0.51151167447","0.0023504","1.0102","0.760415706778395","-0.709326782599734","-0.476900614556315","-1.37884615625831","-0.399526181221597","Ovaskainen 2016","Culex_pipiens_sl"
"9","emergent_grass","-0.463156370342501","-1.24475","0.337125","0.045467942207959","1.91901005025378","1.26017634649476","3.77291046602817","1.0761899180255","Ovaskainen 2016","Culex_pipiens_sl"
"10","ivy_leafed_duckweed__Lemna_trisulca","-0.271462355035","-1.1905","0.631485","0.0845081578346593","-0.883517867596871","-0.6134693550924","-1.37534447636794","-0.491810263967403","Ovaskainen 2016","Culex_pipiens_sl"
"11","bulrushes__Typha","0.301347186583749","-0.32172","0.970555","0.376418219808601","0.73556950439101","0.49889499211415","1.39278962759626","0.412081262918977","Ovaskainen 2016","Culex_pipiens_sl"
"12","reeds_Phragmites","0.1921559429925","-0.37331","0.745915","0.39138225005899","-0.653360418777422","-0.421731546088873","-1.28011098861014","-0.367401718681563","Ovaskainen 2016","Culex_pipiens_sl"
"13","marestail__Hippuris","-0.14769643745","-0.791675","0.43268","0.408571088470369","-27.2840631180696","-14.8705222270177","-79.2867887427802","-15.2730137374841","Ovaskainen 2016","Culex_pipiens_sl"
"14","common_duckweed__Lemna_minor","0.413484994695","-0.154335","0.97062","0.282364166653038","0.866108209570401","0.582853491839145","1.61780376964086","0.485800886796388","Ovaskainen 2016","Culex_pipiens_sl"
"15","intercept","-0.982805098097501","-2.46295","0.44749","0.0146795225707865","-0.702440934376803","-0.469228579906381","-1.26639676243973","-0.394927721729347","Ovaskainen 2016","Culex_modestus"
"16","depth__cm","-0.0445545558962499","-0.092117","-0.00737755","0.000420058399021894","-0.510070876014808","-0.312215769913265","-0.867068096446438","-0.273786030894335","Ovaskainen 2016","Culex_modestus"
"17","temperature__C","-0.0119372287829","-0.10817","0.0765155","0.256509941609962","2.07298539158182","1.28047207212255","4.81048510487944","1.15946345990033","Ovaskainen 2016","Culex_modestus"
"18","oxidation_reduction_potential__Mv","-0.0102410748555","-0.0217085","-0.0015359","0.00606801698083123","0.297013543809378","0.198467145460392","0.573599077544201","0.167159629846283","Ovaskainen 2016","Culex_modestus"
"19","salinity__ppt","0.0438592926632","-0.0614275","0.13739","0.115010698724832","-2.26716792504817","-1.49360630633949","-4.47708787938901","-1.27686453266981","Ovaskainen 2016","Culex_modestus"
"20","water_crowfoot__Ranunculus","0.32305518286925","-0.2743","0.91325","0.247792362005427","0.927981396692032","0.633072453753703","1.7625353962084","0.524079093851616","Ovaskainen 2016","Culex_modestus"
"21","rushes__Juncus_or_Scirpus","0.33274769664","-0.428885","1.12425","0.320920476374609","1.10627536911272","0.726907283933783","2.13313040577217","0.621358950572072","Ovaskainen 2016","Culex_modestus"
"22","filamentous_algae","0.766896488949998","0.175135","1.4304","0.013925496516037","0.868607752147707","0.58327420244981","1.58884763313181","0.488027575426961","Ovaskainen 2016","Culex_modestus"
"23","emergent_grass","-0.667670843972501","-1.5563","0.15921","0.00488677821235869","0.51802438695422","0.351136816166389","0.960954398197522","0.290898826522243","Ovaskainen 2016","Culex_modestus"
"24","ivy_leafed_duckweed__Lemna_trisulca","-0.0764816787","-1.0076","0.806735","0.303251200471432","0.599340420043444","0.397955126810643","1.14476663201945","0.337225406906624","Ovaskainen 2016","Culex_modestus"
"25","bulrushes__Typha","0.0357088633874999","-0.72365","0.843965","0.292277797882427","0.853411633993761","0.568811346841822","1.69453446945689","0.480753072840146","Ovaskainen 2016","Culex_modestus"
