"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.459971753651517,0.282637956280984,0.107043690149843,-0.129954866651639,-0.0556114183496471,0.386416731684867,-0.0720462069999265,-0.00118959087972631,0.02734796623388,0.194650633611813,-0.174325431403863,-0.0560022586871878,0.0389715819077396,-0.19663294457028,-0.0523678215471796
"Culex_modestus",0.459971753651517,1,0.259346047658183,0.435653881848537,0.197313773034988,0.145668667715586,0.530887336395771,0.0778357542744768,-0.229268495877789,0.124594620023426,0.41437210196216,-0.135465865808489,0.290267643401379,0.231767288796731,-0.152532559579423,0.258318325643389
"Culiseta_annulata",0.282637956280984,0.259346047658183,1,0.0829271497393939,-0.0330260167300548,0.102475800075143,0.119478738012608,-0.0826879809387751,-0.014157555194494,-0.0425380246429171,0.0688849016566538,-0.149842700819478,0.0474384374400272,0.0420498637126855,-0.0491000217708323,0.0036256547378007
"Anopheles_maculipennis_sl",0.107043690149843,0.435653881848537,0.0829271497393939,1,0.244815924396073,0.0816711606051003,0.40468309709046,-0.00817626145328005,-0.549011591278791,0.0628714803101818,0.443190720488378,-0.0527315507727901,0.212299333187382,0.200816775052564,-0.160386679092607,0.414654196073772
"waterboatmen__Corixidae",-0.129954866651639,0.197313773034988,-0.0330260167300548,0.244815924396073,1,0.171892599680002,0.239356575514181,0.194734445798199,-0.0528395005981944,0.112561501375208,0.0978594158290043,0.173465079924534,0.209941083481784,-0.040080055390993,0.0661121989592428,0.26937091868367
"diving_beetles__Dysticidae",-0.0556114183496471,0.145668667715586,0.102475800075143,0.0816711606051003,0.171892599680002,1,0.219463919266193,0.254474263248038,0.259637028888731,0.378173597619507,0.120772545923727,-0.375225626178867,0.326755418844943,0.118016360707802,0.024342829492853,-0.0724788210078673
"damselflies__Zygoptera",0.386416731684867,0.530887336395771,0.119478738012608,0.40468309709046,0.239356575514181,0.219463919266193,1,0.238022828623207,-0.151587437916428,0.279857302049746,0.33942046346177,-0.0905732075432093,0.244289569144183,0.124526888190641,-0.333018340986094,0.146746568559596
"swimming_beetles__Haliplidae",-0.0720462069999265,0.0778357542744768,-0.0826879809387751,-0.00817626145328006,0.194734445798199,0.254474263248038,0.238022828623207,1,0.011386107963202,0.514563545987505,0.170807070503328,-0.0182957262324777,0.129855278478597,0.0542775361241168,-0.241632358338179,0.197965026900764
"opossum_shrimps__Mysidae",-0.0011895908797263,-0.229268495877789,-0.014157555194494,-0.549011591278791,-0.0528395005981944,0.259637028888731,-0.151587437916428,0.011386107963202,1,0.226085990205816,-0.266448826680277,-0.101500372348073,-0.00186200708020052,-0.193469498012546,-0.022048994167567,-0.445537630944173
"ditch_shrimp__Gammarus",0.02734796623388,0.124594620023426,-0.0425380246429171,0.0628714803101818,0.112561501375208,0.378173597619507,0.279857302049746,0.514563545987505,0.226085990205816,1,0.208172772039545,-0.163751166772511,0.0889358237524168,0.0804155725615381,-0.23002785387425,0.0104368525635536
"beetle_larvae__Coleoptera",0.194650633611813,0.41437210196216,0.0688849016566538,0.443190720488378,0.0978594158290043,0.120772545923727,0.33942046346177,0.170807070503328,-0.266448826680277,0.208172772039545,1,-0.229658100483665,0.190762027744452,0.31605762509336,-0.234288042588557,0.0934922146416359
"dragonflies__Anisoptera",-0.174325431403863,-0.135465865808489,-0.149842700819478,-0.0527315507727901,0.173465079924534,-0.375225626178867,-0.0905732075432093,-0.0182957262324777,-0.101500372348073,-0.163751166772511,-0.229658100483665,1,-0.104585738421324,-0.194672044345357,0.00689414494983539,0.179506229692636
"mayflies__Ephemeroptera",-0.0560022586871878,0.290267643401379,0.0474384374400272,0.212299333187382,0.209941083481784,0.326755418844943,0.244289569144183,0.129855278478597,-0.00186200708020052,0.0889358237524168,0.190762027744452,-0.104585738421324,1,0.0249408858795275,-0.0711901389074085,0.117455771092218
"newts__Pleurodelinae",0.0389715819077395,0.231767288796731,0.0420498637126855,0.200816775052564,-0.0400800553909931,0.118016360707802,0.124526888190641,0.0542775361241168,-0.193469498012546,0.0804155725615381,0.31605762509336,-0.194672044345357,0.0249408858795275,1,0.0439606047759147,0.0718934247284313
"fish",-0.19663294457028,-0.152532559579423,-0.0491000217708323,-0.160386679092607,0.0661121989592427,0.024342829492853,-0.333018340986094,-0.241632358338179,-0.022048994167567,-0.23002785387425,-0.234288042588557,0.0068941449498354,-0.0711901389074085,0.0439606047759147,1,0.024683519160148
"saucer_bugs__Ilyocoris",-0.0523678215471796,0.258318325643389,0.00362565473780071,0.414654196073772,0.26937091868367,-0.0724788210078673,0.146746568559596,0.197965026900764,-0.445537630944173,0.0104368525635536,0.0934922146416359,0.179506229692636,0.117455771092218,0.0718934247284313,0.024683519160148,1
