"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",0,0.0828630523125883,0.134867139247247,0.0984055640976384,0.0530513966444349,0.0836833997783813,0.0771903189786634,0.07441172947184,0.0759395798423754,0.136134661473532,0.134936604592025,0.10564359417984,0.058484745798028,0.134768565505719,0.073632159243618,0.0830022003649118
"Culex_modestus",0.0828630523125883,0,0.263049249549351,0.106122994547037,0.0804543967121065,0.1045118980154,0.0894911046996638,0.088644496108639,0.1250858958722,0.12001061589519,0.11362735652657,0.139650872227799,0.088599340182237,0.15766292125879,0.12246829607739,0.132506282975366
"Culiseta_annulata",0.134867139247247,0.263049249549351,0,0.419314830255852,0.173551407478029,0.125929399423537,0.2292562899107,0.188275525053589,0.328267223894474,0.251145188842935,0.302739349811591,0.17623354313103,0.151099493531576,0.20536397007951,0.219061939502652,0.353490395590189
"Anopheles_maculipennis_sl",0.0984055640976384,0.106122994547037,0.419314830255852,0,0.119307596342852,0.137070883782517,0.108735108015567,0.125263477934638,0.0777631596694433,0.121847961797723,0.103138366334879,0.154204749261625,0.134316526246828,0.20862210949836,0.188911219280108,0.094276111620179
"waterboatmen__Corixidae",0.0530513966444349,0.0804543967121065,0.173551407478029,0.119307596342852,0,0.0845561099697194,0.0731239202797099,0.0647211905678466,0.132860998214545,0.125173581946076,0.121198506998788,0.139038305335886,0.0545339536497973,0.140516326896765,0.0736604106974361,0.131154621964554
"diving_beetles__Dysticidae",0.0836833997783813,0.1045118980154,0.125929399423537,0.137070883782517,0.0845561099697194,0,0.0937553606485911,0.089231951498981,0.117831929767725,0.106798627686793,0.114291047993042,0.103763434372445,0.0964176489270172,0.109299481388762,0.126293647921757,0.129555925114385
"damselflies__Zygoptera",0.0771903189786634,0.0894911046996638,0.2292562899107,0.108735108015567,0.0731239202797099,0.0937553606485911,0,0.0811829096644669,0.127924422883717,0.107432039950218,0.10715865604677,0.139051409554555,0.0780666196830189,0.13831510993218,0.113826461487556,0.130233771539604
"swimming_beetles__Haliplidae",0.07441172947184,0.088644496108639,0.188275525053589,0.125263477934638,0.0647211905678466,0.089231951498981,0.0811829096644669,0,0.12765140096124,0.118278680980594,0.11762543229831,0.124411207199538,0.0722795414618496,0.123991892361504,0.10216315035625,0.133275608040359
"opossum_shrimps__Mysidae",0.0759395798423754,0.1250858958722,0.328267223894474,0.0777631596694433,0.132860998214545,0.117831929767725,0.127924422883717,0.12765140096124,0,0.108671873779449,0.136681438577923,0.0703103434231759,0.141959906540236,0.220204481237724,0.19226828205488,0.0948467987497948
"ditch_shrimp__Gammarus",0.136134661473532,0.12001061589519,0.251145188842935,0.121847961797723,0.125173581946076,0.106798627686793,0.107432039950218,0.118278680980594,0.108671873779449,0,0.0310144209612882,0.0871010682187186,0.14080405252641,0.0426354785415881,0.195827721243958,0.154683512181613
"beetle_larvae__Coleoptera",0.134936604592025,0.11362735652657,0.302739349811591,0.103138366334879,0.121198506998788,0.114291047993042,0.10715865604677,0.11762543229831,0.136681438577923,0.0310144209612882,0,0.138045655948254,0.136017991942361,0.0877009215215732,0.194659631008732,0.170768308504885
"dragonflies__Anisoptera",0.10564359417984,0.139650872227799,0.17623354313103,0.154204749261625,0.139038305335886,0.103763434372445,0.139051409554555,0.124411207199538,0.0703103434231759,0.0871010682187186,0.138045655948254,0,0.147330911564098,0.16266188570446,0.195116026255769,0.119577495283572
"mayflies__Ephemeroptera",0.058484745798028,0.0885993401822371,0.151099493531576,0.134316526246828,0.0545339536497973,0.0964176489270172,0.0780666196830189,0.0722795414618496,0.141959906540236,0.14080405252641,0.136017991942361,0.147330911564098,0,0.141116505881153,0.0765953188216363,0.13384636843283
"newts__Pleurodelinae",0.134768565505719,0.15766292125879,0.20536397007951,0.20862210949836,0.140516326896765,0.109299481388762,0.13831510993218,0.123991892361504,0.220204481237724,0.0426354785415881,0.0877009215215732,0.16266188570446,0.141116505881153,0,0.199940133261298,0.22701243633839
"fish",0.073632159243618,0.12246829607739,0.219061939502652,0.188911219280108,0.0736604106974361,0.126293647921757,0.113826461487556,0.10216315035625,0.19226828205488,0.195827721243958,0.194659631008732,0.195116026255769,0.0765953188216363,0.199940133261298,0,0.184088670932839
"saucer_bugs__Ilyocoris",0.0830022003649118,0.132506282975366,0.353490395590189,0.094276111620179,0.131154621964554,0.129555925114385,0.130233771539604,0.133275608040359,0.0948467987497948,0.154683512181613,0.170768308504885,0.119577495283572,0.13384636843283,0.22701243633839,0.184088670932839,0
