"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.329988106373504,0.530984272339323,0.367752167096815,0.159986373459315,0.344721457853485,0.300525180047892,0.298343050967582,0.218316465192281,0.562580281191894,0.553428451627348,-0.0245338558911937,0.210695970854859,0.547607028134397,0.0684552803385568,0.135481451418178
"Culex_modestus",0.329988106373504,1,0.618964369920347,0.738240833283585,0.329325084101555,0.351917033657266,0.493173456845538,0.408365500053899,-0.0641053041817156,0.644225175830868,0.712810491926069,0.265121723510359,0.304865581818585,0.648806284546992,0.0435539011172229,0.56832443270947
"Culiseta_annulata",0.530984272339323,0.618964369920347,1,0.790775918822749,0.319235881004785,0.735540114545176,0.569078389119903,0.580054488984323,0.975356088918154,0.987332573195558,0.979419221898442,-0.318207801447663,0.426393333102509,0.986329336074623,0.412199074111664,0.299847774440453
"Anopheles_maculipennis_sl",0.367752167096815,0.738240833283585,0.790775918822749,1,0.509664190291529,0.303426618534827,0.667497576322472,0.527926342858724,-0.6003972537399,0.659856033471932,0.802142688927618,0.63222404257695,0.411901047208808,0.687729516366079,0.0677191447544315,0.896039669994728
"waterboatmen__Corixidae",0.159986373459315,0.329325084101555,0.319235881004785,0.509664190291529,1,0.195116136748976,0.287486160794689,0.225474848939964,0.0456267024644542,0.36675261021461,0.407689378835752,0.33155872007206,0.177283885701895,0.358083298959701,0.0324163843128294,0.466945485132541
"diving_beetles__Dysticidae",0.344721457853485,0.351917033657266,0.735540114545176,0.303426618534827,0.195116136748976,1,0.336409155224193,0.386667413500609,0.533754496804938,0.730243805886854,0.671819806193701,-0.31411908594612,0.318903544602326,0.733577504118282,0.192370827649747,0.00944667041121243
"damselflies__Zygoptera",0.300525180047892,0.493173456845538,0.569078389119903,0.667497576322472,0.287486160794689,0.336409155224193,1,0.379648440785258,0.0311080147793179,0.608225141828559,0.671812904464669,0.225298877023996,0.278064071463571,0.602790857835093,0.0450722248736394,0.475690087762558
"swimming_beetles__Haliplidae",0.298343050967582,0.408365500053899,0.580054488984323,0.527926342858724,0.225474848939964,0.386667413500609,0.379648440785258,1,0.197481739941234,0.631774579715261,0.646864641664083,0.0494036220126564,0.261576150846551,0.60837293636121,0.0729360623134988,0.311406936586408
"opossum_shrimps__Mysidae",0.218316465192281,-0.0641053041817156,0.975356088918154,-0.6003972537399,0.0456267024644542,0.533754496804938,0.0311080147793179,0.197481739941234,1,0.412767546137585,0.230365358264448,-0.660910344007815,0.244975807035793,0.688455080107728,0.590288225666199,-0.603084381711454
"ditch_shrimp__Gammarus",0.562580281191894,0.644225175830868,0.987332573195558,0.659856033471932,0.36675261021461,0.730243805886854,0.608225141828559,0.631774579715261,0.412767546137585,1,0.989930039739807,-0.517982067775438,0.481405881879454,0.990603766822646,0.192558162539654,0.152038439292301
"beetle_larvae__Coleoptera",0.553428451627348,0.712810491926069,0.979419221898442,0.802142688927618,0.407689378835752,0.671819806193701,0.671812904464669,0.646864641664083,0.230365358264448,0.989930039739806,1,-0.209570416742195,0.484949254660978,0.988228222120822,0.137088701663241,0.41370006439069
"dragonflies__Anisoptera",-0.0245338558911937,0.265121723510359,-0.318207801447663,0.63222404257695,0.33155872007206,-0.31411908594612,0.225298877023996,0.0494036220126564,-0.660910344007815,-0.517982067775438,-0.209570416742195,1,0.182727837190577,-0.340336235624809,0.316952173239253,0.928789289170624
"mayflies__Ephemeroptera",0.210695970854859,0.304865581818585,0.426393333102509,0.411901047208808,0.177283885701895,0.318903544602326,0.278064071463571,0.261576150846551,0.244975807035793,0.481405881879454,0.484949254660978,0.182727837190577,1,0.47704864826039,0.0648259989989786,0.297553746031028
"newts__Pleurodelinae",0.547607028134397,0.648806284546992,0.986329336074623,0.687729516366079,0.358083298959701,0.733577504118282,0.602790857835093,0.60837293636121,0.688455080107728,0.990603766822646,0.988228222120822,-0.340336235624809,0.47704864826039,1,0.237733101976009,0.219821255537067
"fish",0.0684552803385568,0.0435539011172229,0.412199074111664,0.0677191447544315,0.0324163843128294,0.192370827649747,0.0450722248736394,0.0729360623134988,0.590288225666199,0.192558162539654,0.137088701663241,0.316952173239253,0.0648259989989786,0.237733101976009,1,0.116999540137078
"saucer_bugs__Ilyocoris",0.135481451418178,0.56832443270947,0.299847774440453,0.896039669994728,0.466945485132541,0.00944667041121243,0.475690087762558,0.311406936586408,-0.603084381711454,0.152038439292301,0.41370006439069,0.928789289170624,0.297553746031028,0.219821255537067,0.116999540137078,1
