"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-0.863727003982097","-2.2323","0.618185","0.722815920263768","-0.836856919988978","-0.547447366965725","-1.76372106944231","-0.47095724179807","Ovaskainen 2016 NS","Culex_pipiens_sl"
"2","depth__cm","-0.0257122895097","-0.055835","0.0016541","0.00397292709531489","-2.22273660753962","-1.52112007030127","-3.37521364959772","-1.24379786273917","Ovaskainen 2016 NS","Culex_pipiens_sl"
"3","temperature__C","-0.0380334270159999","-0.12435","0.040915","0.0750171312693612","-1.90646180391531","-1.50305241687898","-2.20396061122603","-1.07014005289653","Ovaskainen 2016 NS","Culex_pipiens_sl"
"4","oxidation_reduction_potential__Mv","-0.01714708818","-0.0267605","-0.00886495","0.00835662103976234","0.395945646381276","0.264822645678132","0.756870066011454","0.222593134655274","Ovaskainen 2016 NS","Culex_pipiens_sl"
"5","salinity__ppt","0.02894079064889","-0.055992","0.097338","0.101243412098657","-0.672853667778007","-0.451054409155607","-1.32573264654379","-0.378454969093307","Ovaskainen 2016 NS","Culex_pipiens_sl"
"6","water_crowfoot__Ranunculus","0.304544943558441","-0.20908","0.8124","0.310296835446117","1.52236877023919","1.04064940223379","2.75159823381524","0.858934016161414","Ovaskainen 2016 NS","Culex_pipiens_sl"
"7","rushes__Juncus_or_Scirpus","0.153870698998","-0.499345","0.80524","0.3384306672793","0.664563839219866","0.441563918727827","1.22258013220963","0.372209271079968","Ovaskainen 2016 NS","Culex_pipiens_sl"
"8","filamentous_algae","0.52365407412","0.036328","1.0323","0.866462853230593","-0.6562290521129","-0.424007962590847","-1.32796887493161","-0.368760265123792","Ovaskainen 2016 NS","Culex_pipiens_sl"
"9","emergent_grass","-0.499426166485631","-1.31985","0.292705","0.039047956729341","0.637197367842422","0.419364727087689","1.25343889508364","0.358041266091392","Ovaskainen 2016 NS","Culex_pipiens_sl"
"10","ivy_leafed_duckweed__Lemna_trisulca","-0.2636355883273","-1.18055","0.599435","0.0822970870026925","-1.24811588135931","-0.895970014217397","-1.73047141233748","-0.693710765722375","Ovaskainen 2016 NS","Culex_pipiens_sl"
"11","bulrushes__Typha","0.3291216890599","-0.328065","1.0485","0.374524796658135","0.607484721654092","0.405203212749448","1.15920521023283","0.341722844766527","Ovaskainen 2016 NS","Culex_pipiens_sl"
"12","reeds_Phragmites","0.2853275680544","-0.280115","0.83885","0.393144117191207","-0.659697740056601","-0.446046228839322","-1.24106802334876","-0.371931444625356","Ovaskainen 2016 NS","Culex_pipiens_sl"
"13","marestail__Hippuris","-0.10766089936092","-0.74073","0.505185","0.440064571355872","2.75483100749536","1.80423998502434","5.12668085365469","1.54835945331293","Ovaskainen 2016 NS","Culex_pipiens_sl"
"14","common_duckweed__Lemna_minor","0.490198845768001","-0.068867","1.0438","0.289892440871258","0.978575657430856","0.656055672604227","1.82830154995376","0.550949060939441","Ovaskainen 2016 NS","Culex_pipiens_sl"
"15","intercept","-0.944541208538999","-2.41335","0.59401","0.0147142437632305","-0.572265015827528","-0.392464801915328","-1.06099001508872","-0.322558416488886","Ovaskainen 2016 NS","Culex_modestus"
"16","depth__cm","-0.0593289734080002","-0.10679","-0.022952","0.00037062098039351","-0.60911552682755","-0.397770751363203","-1.06807724850789","-0.337932683305904","Ovaskainen 2016 NS","Culex_modestus"
