"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.0675333419106664,-0.234256791312512,-0.109020993953797,-0.238170456737266,-0.209713685228132,0.0382681120845624,-0.223513569946473,-0.26758919303518,-0.190320242078841,-0.0493457298630329,-0.393494069128596,-0.215758340896957,-0.274312237698358,-0.408466004618485,-0.2310493851141
"Culex_modestus",0.0675333419106664,1,-0.227109417167032,0.12619214880976,-0.0397910222241509,-0.0975994526056128,0.151428210330764,-0.100144588709081,-0.334895470897608,-0.0962709555704056,0.0215543318003312,-0.35487731793549,0.0199449694676554,-0.175019806628711,-0.410914294243139,-0.0858474232886834
"Culiseta_annulata",-0.234256791312512,-0.227109417167032,1,-0.277690320122314,-0.279120383464747,-0.220072606496113,-0.266537775023254,-0.337427087902385,-0.352107039095994,-0.300753042749295,-0.261412389661712,-0.415847837346165,-0.23017493145462,-0.304995745086458,-0.354751616611545,-0.29777054619737
"Anopheles_maculipennis_sl",-0.109020993953797,0.12619214880976,-0.277690320122314,1,-0.0284392632142182,-0.151055749881691,0.079699799341844,-0.180972423752939,-0.498603365465297,-0.159596459026123,0.0117481617368522,-0.334127321573343,-0.0449040978614548,-0.215293174030801,-0.417750982099337,-0.0195459137993362
"waterboatmen__Corixidae",-0.238170456737266,-0.0397910222241509,-0.279120383464747,-0.0284392632142182,1,-0.12313104830063,-0.0341435124637192,-0.102769260842067,-0.264474635526769,-0.160843025600419,-0.194200291737413,-0.223412214465188,-0.0814062437408242,-0.247795599122941,-0.265580008271129,-0.0914364411467268
"diving_beetles__Dysticidae",-0.209713685228132,-0.0975994526056128,-0.220072606496113,-0.151055749881691,-0.12313104830063,1,-0.0534813118907917,-0.0396330674449666,-0.084059402962599,0.0234789959950095,-0.135631337765682,-0.462656233637374,-0.0076403938660065,-0.198053349556523,-0.26368877628227,-0.248588512765001
"damselflies__Zygoptera",0.0382681120845624,0.151428210330764,-0.266537775023254,0.079699799341844,-0.0341435124637192,-0.0534813118907917,1,-0.00875339753254661,-0.273038641556393,0.0209276481755892,-0.0379308464855458,-0.339198989085593,-0.00405453426952971,-0.197052640477716,-0.470028532447197,-0.128342543907004
"swimming_beetles__Haliplidae",-0.223513569946473,-0.100144588709081,-0.337427087902385,-0.180972423752939,-0.102769260842067,-0.0396330674449666,-0.00875339753254661,1,-0.242279091604181,0.113545116321046,-0.105121434570361,-0.317994495980101,-0.160585106126401,-0.211471864624258,-0.391089547062042,-0.14903512271708
"opossum_shrimps__Mysidae",-0.26758919303518,-0.334895470897608,-0.352107039095994,-0.498603365465297,-0.264474635526769,-0.084059402962599,-0.273038641556393,-0.242279091604181,1,-0.0930810265514939,-0.338445872147011,-0.342190036793686,-0.230078369946472,-0.318750432355359,-0.212397070996299,-0.459224084302712
"ditch_shrimp__Gammarus",-0.190320242078841,-0.0962709555704056,-0.300753042749295,-0.159596459026123,-0.160843025600419,0.0234789959950095,0.0209276481755892,0.113545116321046,-0.0930810265514939,1,-0.081710526332967,-0.388689748627597,-0.173485182143779,-0.189516520531095,-0.354086000257674,-0.254301182104393
"beetle_larvae__Coleoptera",-0.0493457298630329,0.0215543318003312,-0.261412389661712,0.0117481617368522,-0.194200291737413,-0.135631337765682,-0.0379308464855458,-0.105121434570361,-0.338445872147011,-0.081710526332967,1,-0.411661386196678,-0.1522743475432,-0.112173200577975,-0.419856248617081,-0.190598923948329
"dragonflies__Anisoptera",-0.393494069128596,-0.35487731793549,-0.415847837346165,-0.334127321573343,-0.223412214465188,-0.462656233637374,-0.339198989085593,-0.317994495980101,-0.342190036793686,-0.388689748627597,-0.411661386196678,1,-0.334560499870499,-0.393321674639972,-0.340769496145936,-0.267694336242112
"mayflies__Ephemeroptera",-0.215758340896957,0.0199449694676554,-0.23017493145462,-0.0449040978614548,-0.0814062437408242,-0.0076403938660065,-0.00405453426952971,-0.160585106126401,-0.230078369946472,-0.173485182143779,-0.1522743475432,-0.334560499870499,1,-0.214472725622987,-0.306839615555123,-0.158090557504719
"newts__Pleurodelinae",-0.274312237698358,-0.175019806628711,-0.304995745086458,-0.215293174030801,-0.247795599122941,-0.198053349556523,-0.197052640477716,-0.211471864624258,-0.318750432355359,-0.189516520531095,-0.112173200577975,-0.393321674639972,-0.214472725622987,1,-0.322043776827272,-0.250122536745586
"fish",-0.408466004618485,-0.410914294243139,-0.354751616611545,-0.417750982099337,-0.265580008271129,-0.26368877628227,-0.470028532447197,-0.391089547062042,-0.212397070996299,-0.354086000257674,-0.419856248617081,-0.340769496145936,-0.306839615555123,-0.322043776827272,1,-0.365359401699784
"saucer_bugs__Ilyocoris",-0.2310493851141,-0.0858474232886834,-0.29777054619737,-0.0195459137993362,-0.0914364411467268,-0.248588512765001,-0.128342543907004,-0.14903512271708,-0.459224084302712,-0.254301182104393,-0.190598923948329,-0.267694336242112,-0.158090557504719,-0.250122536745586,-0.365359401699784,1
