"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.287622051705401,0.110088065831662,0.146926380810228,0.00987695670926775,0.0263182882037354,0.260213410988526,0.0345268218571057,-0.0164100865841303,0.071022779507628,0.186788901631581,-0.102895845513097,0.0348527770663664,0.0342900483760528,-0.144552845011382,0.0676149681216749
"Culex_modestus",0.287622051705401,1,0.14834356182861,0.322873661736981,0.196246853619717,0.119074970790306,0.371135751671469,0.128640399595546,-0.0994536212159648,0.140136179816194,0.259124333747746,-0.0622057671454106,0.235784448935881,0.147946426161207,-0.152594822644709,0.203570384059346
"Culiseta_annulata",0.110088065831662,0.14834356182861,1,0.103493037061257,0.0376890997709372,0.109806716680742,0.100277004832452,0.0161854469951804,-0.00737868898247663,0.0604909083679815,0.0908641478979706,-0.111439176452165,0.0901703007436669,0.0551784052848609,-0.0581406897687123,0.0398030610785818
"Anopheles_maculipennis_sl",0.146926380810228,0.322873661736981,0.103493037061257,1,0.194663916657096,0.0790548245234147,0.2920904959779,0.056598836399907,-0.267433201235506,0.093000386137529,0.260883972706571,-0.0276955217781054,0.174560606730945,0.103272418617272,-0.169740791371412,0.249329160269681
"waterboatmen__Corixidae",0.00987695670926775,0.196246853619717,0.0376890997709372,0.194663916657096,1,0.108135323104325,0.194995957651836,0.129628244802945,-0.0338861132132435,0.069885768440243,0.0683850978100037,0.064961232985187,0.148475085342927,0.0415824181582082,0.00174664331506859,0.16084237156007
"diving_beetles__Dysticidae",0.0263182882037354,0.119074970790306,0.109806716680742,0.0790548245234147,0.108135323104325,1,0.174204224471228,0.184580075733143,0.172199822155446,0.254412087107383,0.119244153909087,-0.191479843658902,0.209652392466289,0.119972615998105,0.0104413885382739,0.00265051444476666
"damselflies__Zygoptera",0.260213410988526,0.371135751671469,0.100277004832452,0.2920904959779,0.194995957651836,0.174204224471228,1,0.2068956657897,-0.0571796212207243,0.222659616467177,0.233124681898436,-0.0593328436148715,0.204585263452861,0.118352559057771,-0.218289073179781,0.132648248957053
"swimming_beetles__Haliplidae",0.0345268218571057,0.128640399595546,0.0161854469951804,0.056598836399907,0.129628244802945,0.184580075733143,0.2068956657897,1,-0.0140864337888392,0.314618234134719,0.16118244769368,-0.02268947985526,0.085326055268609,0.108090491411608,-0.108904572318298,0.118611804444836
"opossum_shrimps__Mysidae",-0.0164100865841303,-0.0994536212159648,-0.00737868898247663,-0.267433201235506,-0.0338861132132435,0.172199822155446,-0.0571796212207243,-0.0140864337888392,1,0.127549887842731,-0.076324510144062,-0.0535342244721398,0.0140051323691606,0.0012464327916956,0.0592705739346756,-0.210677356831281
"ditch_shrimp__Gammarus",0.071022779507628,0.140136179816194,0.0604909083679815,0.093000386137529,0.069885768440243,0.254412087107383,0.222659616467177,0.314618234134719,0.127549887842731,1,0.199561229069437,-0.0960667012610159,0.07739785780967,0.139344211090912,-0.0782791464843031,0.0178171479371562
"beetle_larvae__Coleoptera",0.186788901631581,0.259124333747746,0.0908641478979706,0.260883972706571,0.0683850978100037,0.119244153909087,0.233124681898436,0.16118244769368,-0.076324510144062,0.199561229069437,1,-0.110985442822231,0.113905762426791,0.197431872062006,-0.145731477076586,0.0936827977589374
"dragonflies__Anisoptera",-0.102895845513097,-0.0622057671454106,-0.111439176452165,-0.0276955217781054,0.064961232985187,-0.191479843658902,-0.0593328436148715,-0.02268947985526,-0.0535342244721398,-0.0960667012610159,-0.110985442822231,1,-0.0496358115384141,-0.0902998168752753,-0.0180799332532229,0.0538953213281876
"mayflies__Ephemeroptera",0.0348527770663664,0.235784448935881,0.0901703007436669,0.174560606730945,0.148475085342927,0.209652392466289,0.204585263452861,0.085326055268609,0.0140051323691606,0.07739785780967,0.113905762426791,-0.0496358115384141,1,0.0712896718772555,-0.0520261648159554,0.103829468750924
"newts__Pleurodelinae",0.0342900483760528,0.147946426161207,0.0551784052848609,0.103272418617272,0.0415824181582082,0.119972615998105,0.118352559057771,0.108090491411608,0.0012464327916956,0.139344211090912,0.197431872062006,-0.0902998168752753,0.0712896718772555,1,-0.00727728531363562,0.0587162755293267
"fish",-0.144552845011382,-0.152594822644709,-0.0581406897687123,-0.169740791371412,0.00174664331506859,0.0104413885382739,-0.218289073179781,-0.108904572318298,0.0592705739346756,-0.0782791464843031,-0.145731477076586,-0.0180799332532229,-0.0520261648159554,-0.00727728531363562,1,-0.0690515421453598
"saucer_bugs__Ilyocoris",0.0676149681216749,0.203570384059346,0.0398030610785818,0.249329160269681,0.16084237156007,0.00265051444476666,0.132648248957053,0.118611804444836,-0.210677356831281,0.0178171479371562,0.0936827977589374,0.0538953213281876,0.103829468750924,0.0587162755293267,-0.0690515421453598,1
