"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",0,0.120777968021952,0.235305714012048,0.150016298153282,0.14601497118559,0.149114232014975,0.135564286523739,0.155274520923181,0.155209725918244,0.153571587177874,0.157611548798079,0.206677221248661,0.155813985667992,0.217478777066922,0.192689457090653,0.174401069361613
"Culex_modestus",0.120777968021952,0,0.21321466696522,0.122583149919065,0.133111770613066,0.138572022468407,0.109637516101885,0.141699035794324,0.149683804594829,0.147899318547571,0.138012428235833,0.173366103791711,0.132138384112576,0.196577699089084,0.171175682474736,0.151431470439984
"Culiseta_annulata",0.235305714012048,0.21321466696522,0,0.232245000069479,0.207121312098397,0.241310422067817,0.228953618929974,0.244778240993595,0.255137000049981,0.247934915160453,0.238226681161831,0.236416299937272,0.232279304775358,0.251338294840204,0.255241071337313,0.245886431875988
"Anopheles_maculipennis_sl",0.150016298153282,0.122583149919065,0.232245000069479,0,0.134482819004849,0.131922772928805,0.124040185659109,0.140880237924773,0.11028308145602,0.145008527258391,0.139069355115858,0.192627624309034,0.134529016240469,0.207337718442825,0.167168380588471,0.14961211180496
"waterboatmen__Corixidae",0.14601497118559,0.133111770613066,0.207121312098397,0.134482819004849,0,0.135419702777299,0.121624468744192,0.13001083119368,0.141598493122025,0.134833687891735,0.161108786380647,0.183282916753323,0.14594140714183,0.210896933916495,0.175101432126932,0.173442277727719
"diving_beetles__Dysticidae",0.149114232014975,0.138572022468407,0.241310422067817,0.131922772928805,0.135419702777299,0,0.132927262901848,0.135147813149728,0.13716334374442,0.130649452712225,0.162488952904712,0.188271204058174,0.13216126479182,0.20374674576741,0.166480413869346,0.164661351657023
"damselflies__Zygoptera",0.135564286523739,0.109637516101885,0.228953618929974,0.124040185659109,0.121624468744192,0.132927262901848,0,0.131371786419822,0.134578105614903,0.120779986892584,0.15584401982522,0.187213246603192,0.131457100718992,0.21243356712245,0.165367260112361,0.163901158922786
"swimming_beetles__Haliplidae",0.155274520923181,0.141699035794324,0.244778240993595,0.140880237924773,0.13001083119368,0.135147813149728,0.131371786419822,0,0.147033560876613,0.108474918615222,0.166422910602201,0.188347615981506,0.15003423336728,0.22117816632467,0.172308804108731,0.160238182064939
"opossum_shrimps__Mysidae",0.155209725918244,0.149683804594829,0.255137000049981,0.11028308145602,0.141598493122025,0.13716334374442,0.134578105614903,0.147033560876613,0,0.123076952094788,0.178263414219448,0.214654809201695,0.154429423016983,0.244474827126964,0.180806490821241,0.166975818102728
"ditch_shrimp__Gammarus",0.153571587177874,0.147899318547571,0.247934915160453,0.145008527258391,0.134833687891735,0.130649452712225,0.120779986892584,0.108474918615222,0.123076952094788,0,0.178719329456427,0.200220106028453,0.147541417193693,0.229955316267817,0.177300723999378,0.168235966813681
"beetle_larvae__Coleoptera",0.157611548798079,0.138012428235833,0.238226681161831,0.139069355115858,0.161108786380647,0.162488952904712,0.15584401982522,0.166422910602201,0.178263414219448,0.178719329456427,0,0.20107997161627,0.150241149881223,0.188378526990477,0.197152993252773,0.181814257665364
"dragonflies__Anisoptera",0.206677221248661,0.173366103791711,0.236416299937272,0.192627624309034,0.183282916753323,0.188271204058174,0.187213246603192,0.188347615981506,0.214654809201695,0.200220106028453,0.20107997161627,0,0.184795571551617,0.231087286679387,0.237674358630637,0.198486504349054
"mayflies__Ephemeroptera",0.155813985667992,0.132138384112576,0.232279304775358,0.134529016240469,0.14594140714183,0.13216126479182,0.131457100718992,0.15003423336728,0.154429423016983,0.147541417193693,0.150241149881223,0.184795571551617,0,0.205257958099952,0.171711185713814,0.162014698387462
"newts__Pleurodelinae",0.217478777066922,0.196577699089084,0.251338294840204,0.207337718442825,0.210896933916495,0.20374674576741,0.21243356712245,0.22117816632467,0.244474827126964,0.229955316267817,0.188378526990477,0.231087286679387,0.205257958099952,0,0.221604946312011,0.215989299021484
"fish",0.192689457090653,0.171175682474736,0.255241071337313,0.167168380588471,0.175101432126932,0.166480413869346,0.165367260112361,0.172308804108731,0.180806490821241,0.177300723999378,0.197152993252773,0.237674358630637,0.171711185713814,0.221604946312011,0,0.187461013971001
"saucer_bugs__Ilyocoris",0.174401069361613,0.151431470439984,0.245886431875988,0.14961211180496,0.173442277727719,0.164661351657023,0.163901158922786,0.160238182064939,0.166975818102728,0.168235966813681,0.181814257665364,0.198486504349054,0.162014698387462,0.215989299021484,0.187461013971001,0
