"","coefficient","posterior.mean","lower","upper","sd","model","species"
"V1","intercept","-1.61218710817316","-1.93634635056421","-1.36429205938472","0.145898367056761","Pollock","ALA"
"V2","Rockiness","0.136426322882576","-0.0318364872383448","0.293844049055053","0.0825074920313543","Pollock","ALA"
"V3","Sandiness","-0.074245791459189","-0.266405937416068","0.107785300240029","0.0967570392936891","Pollock","ALA"
"V4","VallyBotFlat","-0.601703560494543","-1.08207083131298","-0.238395517505012","0.210225383612608","Pollock","ALA"
"V5","PPTann","0.0540248748828524","-0.110924077630781","0.208993733919897","0.0787394051815326","Pollock","ALA"
"V6","Loaminess","-0.362134217271003","-1.22360348190755","0.00899001446928551","0.302286054242808","Pollock","ALA"
"V7","cvTemp","0.15107500425789","-0.0232289859076092","0.3472705129847","0.0907206713621381","Pollock","ALA"
"V8","T0","0.145788131134718","0.0164634753441325","0.317988969326389","0.0798420954596816","Pollock","ALA"
"V11","intercept","-2.18114039687503","-2.63261061200912","-1.78644088559895","0.226755022039058","Pollock","ARE"
"V21","Rockiness","-0.091178055576234","-0.308808147227916","0.100927034027425","0.10442637677362","Pollock","ARE"
"V31","Sandiness","0.22193052198314","-0.0216551221236497","0.505052746883059","0.133594767717962","Pollock","ARE"
"V41","VallyBotFlat","-0.386623544483609","-0.951440815739798","-0.00105538018763181","0.235232871208325","Pollock","ARE"
"V51","PPTann","0.0521685181706189","-0.138429286823561","0.249803291206791","0.103031321905572","Pollock","ARE"
"V61","Loaminess","-0.239644047124421","-0.930687197501215","0.146063541380426","0.267350442230677","Pollock","ARE"
"V71","cvTemp","1.03958110892652","0.725125421212112","1.40635281764807","0.171632900229333","Pollock","ARE"
"V81","T0","0.0625857479774145","-0.0746865793274816","0.205799734812284","0.0685572767786563","Pollock","ARE"
"V12","intercept","-0.406631888408054","-0.544878208613726","-0.277369561615483","0.0680038553568525","Pollock","BAX"
"V22","Rockiness","-0.307859730911669","-0.456249889189844","-0.167182568592706","0.0760156852327396","Pollock","BAX"
"V32","Sandiness","0.184811886846419","0.0525146282889209","0.328903172187731","0.0700473890716543","Pollock","BAX"
"V42","VallyBotFlat","-0.473615151893791","-0.641764703098869","-0.307403555528131","0.0836748220582853","Pollock","BAX"
"V52","PPTann","-0.0302744700318124","-0.15817272409599","0.0902756810416141","0.0644297380487252","Pollock","BAX"
"V62","Loaminess","-0.082243906038821","-0.226688600167598","0.054561137043724","0.0717398455614733","Pollock","BAX"
"V72","cvTemp","-0.375176983764171","-0.514947562686742","-0.246075399622762","0.0665159148373059","Pollock","BAX"
"V82","T0","0.030761305234764","-0.0483019705991117","0.11349582974051","0.0387570105855803","Pollock","BAX"
"V13","intercept","-1.86832703024007","-2.223466149892","-1.57903414182434","0.162502210635462","Pollock","CAM"
"V23","Rockiness","-0.174763922942971","-0.598365785329805","0.182181653015294","0.187771646045622","Pollock","CAM"
"V33","Sandiness","-0.348644666560741","-0.561177806384403","-0.176126406907487","0.0953128185669602","Pollock","CAM"
"V43","VallyBotFlat","0.443950575524863","0.2713767042183","0.623253848196425","0.0891707567927412","Pollock","CAM"
"V53","PPTann","-0.152672325089476","-0.51934578172947","0.143813992431262","0.164945425846232","Pollock","CAM"
"V63","Loaminess","-0.137924373103333","-0.320976462332501","0.0258062790197042","0.0903728247844784","Pollock","CAM"
"V73","cvTemp","-0.0257749536483278","-0.278156746576336","0.228631506835971","0.129060747872753","Pollock","CAM"
"V83","T0","0.0153845485263681","-0.139313300507243","0.129762881335961","0.0631640583141025","Pollock","CAM"
"V14","intercept","-2.40339195573593","-3.07686608639252","-1.88928347158047","0.302906339990499","Pollock","GON"
"V24","Rockiness","0.392653408354234","0.173297787352066","0.60577948715282","0.110874600229586","Pollock","GON"
"V34","Sandiness","0.109048425862761","-0.15834206439206","0.419329543495909","0.142592613004476","Pollock","GON"
"V44","VallyBotFlat","-0.777714096069703","-1.58954609461658","-0.204681492460596","0.35364949940918","Pollock","GON"
"V54","PPTann","-0.260502952322964","-0.498517729354324","-0.0421260538509685","0.120293264983495","Pollock","GON"
"V64","Loaminess","-0.21532075441362","-0.788743661948409","0.19384022711585","0.253279998735808","Pollock","GON"
"V74","cvTemp","1.01378621260072","0.721650201247475","1.35592042130529","0.161772526935912","Pollock","GON"
"V84","T0","0.0612684048109662","-0.0890568569310828","0.211360290221523","0.0752981629319684","Pollock","GON"
"V15","intercept","-1.59123559715958","-1.91871935461381","-1.34159207597963","0.144533080073414","Pollock","MEL"
"V25","Rockiness","-0.694725593831736","-1.09502943082813","-0.392357927092197","0.181342551284265","Pollock","MEL"
"V35","Sandiness","0.123774573270394","-0.0404310207144391","0.291746297211659","0.0825904504283484","Pollock","MEL"
"V45","VallyBotFlat","-0.0012473904302709","-0.164101815322039","0.149987643220268","0.0842545649637584","Pollock","MEL"
"V55","PPTann","-0.193428331048173","-0.456323860761436","0.026467712037334","0.123633944709171","Pollock","MEL"
"V65","Loaminess","-0.306946620195924","-0.829497600786531","0.00489259087850343","0.217967848001573","Pollock","MEL"
"V75","cvTemp","0.181482562178792","0.00303038428186791","0.37064810496716","0.0935282908633126","Pollock","MEL"
"V85","T0","0.110030806774276","0.00871785428469593","0.257574000457373","0.0655914521843545","Pollock","MEL"
