"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.505646149729802,-0.0848373156980063,-0.578753700751907,-0.686673203034801,-0.0800762112001074,-0.0651310978516767,-0.655484152046637,-0.330332877671297,-0.335928994218386,-0.399358590835975,-0.325438934383544
"ARE",-0.505646149729802,1,-0.738973755679132,-0.3007572867696,0.338476348707437,-0.610747107889845,-0.35014796640298,-0.436315627531707,-0.33417430944525,-0.278068972534286,-0.581417543496702,-0.338845521400587
"BAX",-0.0848373156980061,-0.738973755679132,1,-0.574555613427304,-0.497084553791527,-0.283472840767645,-0.172511596073773,-0.556837212188315,-0.194412102854757,-0.77933260710557,-0.12644483474484,-0.503355634348931
"CAM",-0.578753700751907,-0.3007572867696,-0.574555613427304,1,-0.30837185977028,0.105741095034298,-0.688607208774564,-0.310406994126645,-0.730880149003693,-0.183726319897346,-0.295377513087551,-0.34851463056867
"GON",-0.686673203034801,0.338476348707437,-0.497084553791527,-0.308371859770281,1,-0.65892194393828,-0.588738862882844,-0.461492899150154,-0.227656660473566,-0.406741146231505,-0.63138185339955,-0.374677796509832
"MEL",-0.0800762112001074,-0.610747107889846,-0.283472840767645,0.105741095034299,-0.65892194393828,1,-0.496604192821745,-0.364373727617958,-0.7936815906171,-0.268836024313197,-0.35633395922231,-0.22181542691051
"OBL",-0.0651310978516768,-0.350147966402979,-0.172511596073774,-0.688607208774564,-0.588738862882845,-0.496604192821745,1,-0.227420048225698,-0.157909048563417,-0.46784675053501,0.182540583203424,-0.156396130620981
"OVA",-0.655484152046637,-0.436315627531707,-0.556837212188315,-0.310406994126646,-0.461492899150154,-0.364373727617958,-0.227420048225698,1,-0.198218472617771,-0.159676777759653,0.0344159468085148,-0.32608539836026
"WIL",-0.330332877671298,-0.33417430944525,-0.194412102854757,-0.730880149003694,-0.227656660473565,-0.7936815906171,-0.157909048563417,-0.198218472617772,1,-0.343340402440575,-0.516954102511233,0.0465484884490328
"ALP",-0.335928994218386,-0.278068972534286,-0.77933260710557,-0.183726319897347,-0.406741146231505,-0.268836024313197,-0.46784675053501,-0.159676777759653,-0.343340402440574,1,-0.550466280920356,-0.22200085038718
"VIM",-0.399358590835975,-0.581417543496702,-0.12644483474484,-0.295377513087551,-0.63138185339955,-0.35633395922231,0.182540583203424,0.0344159468085147,-0.516954102511233,-0.550466280920355,1,-0.568624312538198
"ARO.SAB",-0.325438934383544,-0.338845521400587,-0.503355634348931,-0.34851463056867,-0.374677796509832,-0.22181542691051,-0.156396130620981,-0.32608539836026,0.0465484884490331,-0.22200085038718,-0.568624312538198,1
