"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.194886687613225,0.114983717859655,-0.229479961852834,-0.396569797849975,0.219892861670442,0.176883021621892,-0.207133484357846,-0.0456059063532941,-0.0810418752933972,-0.0709601221343255,0.00690005648337521
"ARE",-0.194886687613225,1,-0.470228727028647,0.177474113578728,0.569549927249351,-0.259611635369805,0.000226648574425649,-0.0305083924242222,0.151859793374387,0.0509716032255791,-0.152507511574492,0.10273272009763
"BAX",0.114983717859655,-0.470228727028647,1,-0.315580332041004,-0.21573598375713,-0.0718699309279484,0.00320120488281142,-0.307201044153315,0.00875546261134065,-0.590439415803745,0.0993865828197165,-0.321916823547682
"CAM",-0.229479961852834,0.177474113578728,-0.315580332041004,1,0.198193666448037,0.373416590858693,-0.458332688447003,-0.0743563365212377,-0.444518831613013,0.228316193497793,-0.0221005274655773,-0.101476967156724
"GON",-0.396569797849975,0.569549927249351,-0.21573598375713,0.198193666448037,1,-0.285697937747233,-0.278044744632749,-0.027982347671011,0.228194786989308,-0.0658943880643604,-0.201079160022957,0.0233235242650673
"MEL",0.219892861670442,-0.259611635369805,-0.0718699309279484,0.373416590858693,-0.285697937747233,1,-0.277602706038767,-0.0834224353979971,-0.560775779334284,0.109392760191294,-0.098600590944039,0.00413076364731653
"OBL",0.176883021621892,0.000226648574425639,0.00320120488281144,-0.458332688447003,-0.278044744632749,-0.277602706038767,1,0.0302264798110323,0.0428188042259775,-0.140102621947452,0.395546233562223,0.0552670689177789
"OVA",-0.207133484357846,-0.0305083924242222,-0.307201044153315,-0.0743563365212378,-0.027982347671011,-0.0834224353979971,0.0302264798110323,1,0.0878216389015321,0.315778515904623,0.293544999830519,-0.0725830759218969
"WIL",-0.0456059063532941,0.151859793374387,0.00875546261134065,-0.444518831613013,0.228194786989308,-0.560775779334284,0.0428188042259774,0.0878216389015321,1,0.00432781453128701,-0.285309854167746,0.263726840703222
"ALP",-0.0810418752933972,0.0509716032255791,-0.590439415803745,0.228316193497793,-0.0658943880643604,0.109392760191294,-0.140102621947452,0.315778515904623,0.00432781453128702,1,-0.0623819090438779,0.209648268293618
"VIM",-0.0709601221343255,-0.152507511574492,0.0993865828197165,-0.0221005274655773,-0.201079160022957,-0.0986005909440391,0.395546233562223,0.293544999830519,-0.285309854167746,-0.0623819090438779,1,-0.367531060688388
"ARO.SAB",0.00690005648337521,0.10273272009763,-0.321916823547682,-0.101476967156724,0.0233235242650673,0.00413076364731652,0.0552670689177789,-0.0725830759218969,0.263726840703222,0.209648268293618,-0.367531060688388,1
