"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",0,0.154383634226289,0.102772756076596,0.18184855049606,0.161289812685751,0.149009685642432,0.118220842944751,0.220782177190247,0.14345118636859,0.141523107520047,0.173247067779915,0.165575963113406
"ARE",0.154383634226289,0,0.15519525221496,0.235526229734046,0.104399360291246,0.19880545387531,0.173113879596615,0.219983967117314,0.237512767635302,0.174240135805372,0.240196768418052,0.20731969294976
"BAX",0.102772756076596,0.15519525221496,0,0.146474381955593,0.155110153661439,0.110741518064435,0.0909507646127817,0.129789312921328,0.102885114109092,0.108969278917999,0.117095291076294,0.096682450776542
"CAM",0.18184855049606,0.235526229734046,0.146474381955593,0,0.248885747039147,0.123799547847702,0.126256004781206,0.124527543441591,0.150753240300226,0.213009608231306,0.137280217017947,0.126654714420378
"GON",0.161289812685751,0.104399360291246,0.155110153661439,0.248885747039147,0,0.206074976150018,0.174709723649052,0.227403631457764,0.228966922407862,0.177144001328612,0.239723771081403,0.205646997191259
"MEL",0.149009685642432,0.19880545387531,0.110741518064435,0.123799547847702,0.206074976150018,0,0.116105545735784,0.144437698645564,0.130928471749741,0.187162620911983,0.131586074766223,0.116230538348539
"OBL",0.118220842944751,0.173113879596615,0.0909507646127817,0.126256004781206,0.174709723649052,0.116105545735784,0,0.127133612427962,0.103127585519811,0.175284726269423,0.104600962976409,0.101140986513774
"OVA",0.220782177190247,0.219983967117314,0.129789312921328,0.124527543441591,0.227403631457764,0.144437698645564,0.127133612427962,0,0.147242668536525,0.216520964100139,0.126382407397692,0.125656292336274
"WIL",0.14345118636859,0.237512767635302,0.102885114109092,0.150753240300226,0.228966922407862,0.130928471749741,0.103127585519811,0.147242668536525,0,0.180351189639919,0.127254913084827,0.111257709234823
"ALP",0.141523107520047,0.174240135805372,0.108969278917999,0.213009608231306,0.177144001328612,0.187162620911983,0.175284726269423,0.216520964100139,0.180351189639919,0,0.25063118911749,0.213650363185033
"VIM",0.173247067779915,0.240196768418052,0.117095291076294,0.137280217017947,0.239723771081403,0.131586074766223,0.104600962976409,0.126382407397692,0.127254913084827,0.25063118911749,0,0.106433257893378
"ARO.SAB",0.165575963113406,0.20731969294976,0.096682450776542,0.126654714420378,0.205646997191259,0.116230538348539,0.101140986513774,0.125656292336274,0.111257709234823,0.213650363185033,0.106433257893378,0
