"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,0.104673250559978,0.315023448147031,0.14340796452113,-0.0528188857754093,0.509071131181479,0.392756241002038,0.242881660728976,0.232970935271544,0.209641274293018,0.274850838978628,0.327730338181162
"ARE",0.104673250559978,1,-0.131055351067724,0.608303700099837,0.758331711631816,0.161939790590744,0.321257515764811,0.396366498989581,0.587972138451441,0.384956473883244,0.338099980155268,0.474308411275757
"BAX",0.315023448147031,-0.131055351067724,1,-0.0235344484990757,0.0945376421298762,0.146005325338631,0.180822112472452,-0.0579604443147943,0.197286215093239,-0.358507374744615,0.335474963959294,-0.131542967645343
"CAM",0.14340796452113,0.608303700099837,-0.0235344484990758,1,0.642360943814915,0.608463179521698,-0.186690792359934,0.187769659560129,-0.137185164336483,0.624768615071422,0.242454804018559,0.144003193973722
"GON",-0.0528188857754094,0.758331711631816,0.0945376421298762,0.642360943814914,1,0.119483910931863,0.0831545801102035,0.442838800967398,0.655272923955134,0.286374419461057,0.318526189942418,0.410906570240983
"MEL",0.509071131181479,0.161939790590744,0.14600532533863,0.608463179521698,0.119483910931863,1,-0.0475914972245398,0.190960901284651,-0.291783070929804,0.450005229239769,0.163600131742271,0.241893961506279
"OBL",0.392756241002038,0.321257515764811,0.180822112472452,-0.186690792359934,0.0831545801102034,-0.0475914972245397,1,0.268063984178005,0.234729019810033,0.225193204038271,0.588653079725751,0.240140648518989
"OVA",0.242881660728976,0.396366498989581,-0.0579604443147942,0.18776965956013,0.442838800967398,0.190960901284651,0.268063984178004,1,0.385138130363679,0.684708713324407,0.528104939162849,0.179290399516376
"WIL",0.232970935271544,0.587972138451441,0.197286215093239,-0.137185164336483,0.655272923955134,-0.291783070929804,0.234729019810032,0.385138130363679,1,0.377922498286909,-0.0280016002681602,0.47369294028839
"ALP",0.209641274293018,0.384956473883244,-0.358507374744615,0.624768615071422,0.286374419461057,0.450005229239769,0.225193204038271,0.684708713324407,0.377922498286909,1,0.422101059588478,0.594705669842375
"VIM",0.274850838978628,0.338099980155268,0.335474963959295,0.242454804018559,0.318526189942417,0.163600131742271,0.588653079725752,0.528104939162849,-0.0280016002681602,0.422101059588478,1,-0.141702624326826
"ARO.SAB",0.327730338181162,0.474308411275758,-0.131542967645343,0.144003193973721,0.410906570240983,0.241893961506279,0.240140648518989,0.179290399516376,0.473692940288389,0.594705669842375,-0.141702624326826,1
