"","coefficient","posterior.mean","lower","upper","sd","model","species"
"V1","intercept","-2.06502893484715","-4.70305240262008","-0.658343451471727","1.07272081013119","Pollock","Crinia.sig"
"V2","log10.p_area","0.549392194691892","0.142696082030396","1.02313524999446","0.222538140013695","Pollock","Crinia.sig"
"V3","vertical.wall","-2.13638017216133","-5.11058533494595","-0.646157144752435","1.17859091618586","Pollock","Crinia.sig"
"V4","road.density","-1.14942069658643","-1.68901169273885","-0.671119986665234","0.254327009910153","Pollock","Crinia.sig"
"V11","intercept","-2.48938965706697","-5.14437113617221","-1.26883285736997","1.01584804975211","Pollock","Lim.dumer"
"V21","log10.p_area","0.336270200326474","-0.0475272579532004","0.738143728919743","0.196710372442655","Pollock","Lim.dumer"
"V31","vertical.wall","-1.51214707408663","-4.55682333604697","-0.214169249080896","1.13521690474267","Pollock","Lim.dumer"
"V41","road.density","-0.522715935216922","-0.929105937350302","-0.168996362311231","0.198517851927213","Pollock","Lim.dumer"
"V12","intercept","-0.700202370972493","-1.01908189052418","-0.404009959363265","0.156826244873745","Pollock","Lim.peron"
"V22","log10.p_area","0.121821455062464","-0.174964762648964","0.409195752357278","0.148801323548655","Pollock","Lim.peron"
"V32","vertical.wall","-0.345937669262902","-0.69670529922773","-0.00487066375658935","0.17473761413978","Pollock","Lim.peron"
"V42","road.density","-0.378170287008895","-0.674534212556352","-0.0674354080869594","0.156777477706581","Pollock","Lim.peron"
"V13","intercept","-3.01579151222878","-6.21380310081777","-1.34321883549838","1.2950434038049","Pollock","Lim.tas"
"V23","log10.p_area","0.686211259808801","0.21445953186173","1.30807425390611","0.278562446287857","Pollock","Lim.tas"
"V33","vertical.wall","-1.95941784528897","-5.4939524391693","-0.27038223736408","1.40175546941713","Pollock","Lim.tas"
"V43","road.density","-1.0822520185606","-1.62627508084319","-0.613600729381438","0.259085970317312","Pollock","Lim.tas"
"V14","intercept","-3.34322763738581","-7.16932130810214","-1.52333180035403","1.48604197312649","Pollock","Para.has"
"V24","log10.p_area","-0.0164175152344252","-0.668160877893389","0.493457368037331","0.308334182888895","Pollock","Para.has"
"V34","vertical.wall","-1.75324266217608","-6.10202556818034","0.201351094577379","1.58686931662384","Pollock","Para.has"
"V44","road.density","-1.20790226681106","-2.03133491296316","-0.553395205165499","0.379950129060223","Pollock","Para.has"
"V15","intercept","0.0149838767508214","-0.228672468113336","0.257912274853208","0.123209510554153","Pollock","Lit.ewing"
"V25","log10.p_area","0.273844360682888","0.0520474632579118","0.546342083838713","0.122859732934315","Pollock","Lit.ewing"
"V35","vertical.wall","0.169006000207888","-0.158934582900856","0.502089415531433","0.165622036460789","Pollock","Lit.ewing"
"V45","road.density","-0.23297924888839","-0.523818508045243","0.0534468744528305","0.143662880130773","Pollock","Lit.ewing"
"V16","intercept","-1.9073454576672","-3.3583104039345","-1.11621946893176","0.560301335354632","Pollock","Lit.verr"
"V26","log10.p_area","0.233768150930846","-0.100778623680815","0.587759303472794","0.175048901089176","Pollock","Lit.verr"
"V36","vertical.wall","-0.920255722283979","-2.36601147212082","-0.0907703828985585","0.591175853655428","Pollock","Lit.verr"
"V46","road.density","-0.506842009360804","-0.893780952430892","-0.14634627116777","0.186379593514008","Pollock","Lit.verr"
"V17","intercept","-2.9956199171528","-4.93827801663584","-1.86785621553075","0.834522889890531","Pollock","Lit.peron"
"V27","log10.p_area","0.441162555955493","-0.0886118371122815","1.22319699793759","0.325315426357391","Pollock","Lit.peron"
"V37","vertical.wall","-0.828125044947484","-2.8284952482152","0.257756693920013","0.796672425101729","Pollock","Lit.peron"
"V47","road.density","-0.112085548436702","-0.600523436739628","0.463048022077934","0.270611657486776","Pollock","Lit.peron"
"V18","intercept","-3.59793863772743","-6.93115251703309","-1.94332020550218","1.34703858457239","Pollock","Lit.rani"
"V28","log10.p_area","0.566619258096081","0.0152022589050295","1.48523202308802","0.374712046905995","Pollock","Lit.rani"
"V38","vertical.wall","-1.36134815234243","-4.84086438977444","0.153903603043686","1.31772540676203","Pollock","Lit.rani"
"V48","road.density","0.200915181823759","-0.516655932596112","1.09872427419243","0.420900868700752","Pollock","Lit.rani"
