"","coefficient","posterior.mean","lower","upper","sd","model","species"
"V1","intercept","-1.84617542167474","-2.38357195352664","-1.55362905898748","0.202927600283516","Pollock","antser"
"V2","diam","0.433712888038207","0.277495499979523","0.592848503407711","0.079082999073867","Pollock","antser"
"V3","dc0","-0.570742816715266","-3.56009939933752","0.835632001640147","0.974940177227983","Pollock","antser"
"V4","dc1","0.594047510385996","-2.81498608706427","3.92746866702607","1.88036673138374","Pollock","antser"
"V5","dc2","0.821175568378315","-2.26404318342286","3.77305114892313","1.67485257031384","Pollock","antser"
"V6","dc3","0.847971569522276","-2.22184708057186","3.82441432327302","1.6764666051374","Pollock","antser"
"V7","dc4","0.39094080442956","-1.57552652249347","2.29034162549787","1.06575878501038","Pollock","antser"
"V8","dc5","-1.87130147873452","-4.07976671830828","-0.0697404742670337","1.09524461974112","Pollock","antser"
"V9","quality0","1.13531480308423","-1.93417186415045","4.00319944790045","1.55707073129599","Pollock","antser"
"V10","quality3","1.49031316125408","-3.36322614363639","5.7397214644264","2.40405721913258","Pollock","antser"
"V11","quality4","1.84346442401673","-3.43448315608317","6.53319905065089","2.65870995750944","Pollock","antser"
"V12","ground0","-0.472813540313115","-2.16717304898696","1.76049274016805","0.996198523201415","Pollock","antser"
"V13","ground3","-0.677240932457184","-3.47835860206779","2.90425243454074","1.61088321343872","Pollock","antser"
"V14","ground4","-0.590719945922066","-3.45996909382242","3.01268053449386","1.62793111128635","Pollock","antser"
"V15","epi","-0.391558056047742","-0.590360257256891","-0.212981311559297","0.0948032584525929","Pollock","antser"
"V16","bark","-0.413028138326885","-0.616710080920249","-0.232259344401663","0.0987837520781355","Pollock","antser"
"V17","intercept","-2.73089416996233","-3.30404622871009","-2.32473256571927","0.239732707900082","Pollock","antsin"
"V21","diam","0.445793899050063","0.214745700490519","0.703900725609679","0.123224986505494","Pollock","antsin"
"V31","dc0","-0.311675659246712","-1.69085994708732","0.739744383924307","0.684936670810932","Pollock","antsin"
"V41","dc1","0.470680255404739","-3.12370895497439","3.31073767779443","1.78487591101499","Pollock","antsin"
"V51","dc2","0.742286639357545","-2.3729221736608","3.25385970134868","1.58646921849754","Pollock","antsin"
"V61","dc3","0.751105653318564","-2.40834214926708","3.25737117230147","1.59603863837923","Pollock","antsin"
"V71","dc4","0.399242711226992","-1.64190813466687","2.00479631760549","1.01497554218085","Pollock","antsin"
"V81","dc5","-2.22017898166087","-6.08742231736146","-0.150931157873327","1.52110269175667","Pollock","antsin"
"V91","quality0","1.05644181612049","-1.97794292356418","3.27243056680036","1.43175275329212","Pollock","antsin"
"V101","quality3","1.54403408125036","-3.15765552469944","4.95116063728386","2.21851628489768","Pollock","antsin"
"V111","quality4","1.69261288848221","-3.44274218799437","5.4341836797428","2.44176607717165","Pollock","antsin"
