"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,-0.241950603190913,-0.170601713624277,-0.2081092177355,-0.343594336855352,-0.126700669596351,0.140549417925283,-0.165506211159967,0.181299616224043,-0.227052835944011,-0.205534145923684
"antsin",-0.241950603190913,1,-0.0825950711814696,0.30526519332995,-0.169574305739386,-0.643019873039271,-0.260537834602225,-0.736874760296067,-0.44668808169272,-0.583984982322404,-0.100958318832544
"astfer",-0.170601713624277,-0.0825950711814692,1,-0.120056632172826,-0.0986600352057019,-0.314460577595363,-0.311744626179517,-0.271139458079778,-0.287181623738908,-0.134958332801911,-0.380653647286916
"fompin",-0.2081092177355,0.30526519332995,-0.120056632172826,1,-0.13545957322653,-0.461374254150487,-0.266691452657943,-0.780894815000475,-0.321785178776044,-0.458634956345783,0.216432175494683
"hetpar",-0.343594336855352,-0.169574305739386,-0.0986600352057021,-0.13545957322653,1,-0.22485707250035,-0.180643669472137,-0.501060241844937,-0.487427079711688,-0.267220420376744,-0.124670140377291
"junlut",-0.126700669596351,-0.643019873039271,-0.314460577595363,-0.461374254150487,-0.22485707250035,1,-0.515587543418292,0.0338278753316997,0.185067324571807,-0.361589658065619,-0.634604145181231
"phefer",0.140549417925283,-0.260537834602225,-0.311744626179518,-0.266691452657943,-0.180643669472137,-0.515587543418292,1,-0.24222238126983,-0.11713862949978,-0.358813026053345,-0.394078902080823
"phenig",-0.165506211159967,-0.736874760296067,-0.271139458079778,-0.780894815000475,-0.501060241844937,0.0338278753316998,-0.24222238126983,1,0.179829258879961,-0.367019615004576,-0.799065233654611
"phevit",0.181299616224043,-0.44668808169272,-0.287181623738908,-0.321785178776044,-0.487427079711688,0.185067324571807,-0.11713862949978,0.179829258879961,1,-0.112808666471458,-0.464467009412399
"poscae",-0.227052835944011,-0.583984982322404,-0.134958332801911,-0.458634956345783,-0.267220420376744,-0.361589658065619,-0.358813026053345,-0.367019615004576,-0.112808666471458,1,-0.396637734935278
"triabi",-0.205534145923684,-0.100958318832544,-0.380653647286917,0.216432175494683,-0.124670140377291,-0.634604145181231,-0.394078902080823,-0.799065233654611,-0.464467009412399,-0.396637734935278,1
