"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.0630662905008561,0.136927472963927,0.0710668816904546,0.00552854222762997,0.136670784284147,0.431226277334528,0.044511822870539,0.342554097630528,0.047893620193272,0.0727920927718538
"antsin",0.0630662905008561,1,0.257966129587926,0.585404953957167,0.183833290950146,-0.193549540786121,0.0974027587453245,-0.415704488915215,-0.191407592679499,-0.0987033312387626,0.257448808148284
"astfer",0.136927472963927,0.257966129587926,1,0.21930197010515,0.264147781853907,0.0502966866857197,0.123274837872912,-0.00143441511807393,-0.0337295585634121,0.228027285156336,0.0105807660763581
"fompin",0.0710668816904546,0.585404953957167,0.21930197010515,1,0.149512819546156,-0.0746571003093194,0.0289786652711815,-0.536377534590169,-0.132313661752034,-0.0554718997987548,0.436006815032816
"hetpar",0.00552854222762997,0.183833290950146,0.264147781853907,0.149512819546156,1,0.112980513474137,0.177801080328242,-0.23052223028132,-0.233914401064168,0.14480749936559,0.208612158820861
"junlut",0.136670784284147,-0.193549540786121,0.0502966866857197,-0.0746571003093194,0.112980513474137,1,-0.000235595318221724,0.28773449690501,0.433795699953724,0.0368214520455706,-0.231787404267948
"phefer",0.431226277334528,0.0974027587453245,0.123274837872912,0.0289786652711815,0.177801080328242,-0.000235595318221726,1,0.0579767613186832,0.189139324067408,0.0984869206855209,-0.0801779032590376
"phenig",0.044511822870539,-0.415704488915215,-0.00143441511807393,-0.536377534590169,-0.23052223028132,0.28773449690501,0.0579767613186832,1,0.382278360544458,-0.037399020145075,-0.52917150039421
"phevit",0.342554097630528,-0.191407592679499,-0.0337295585634121,-0.132313661752034,-0.233914401064168,0.433795699953724,0.189139324067408,0.382278360544458,1,0.110612642670027,-0.236913830221033
"poscae",0.047893620193272,-0.0987033312387626,0.228027285156336,-0.0554718997987548,0.14480749936559,0.0368214520455705,0.0984869206855209,-0.037399020145075,0.110612642670027,1,0.0282935001412891
"triabi",0.0727920927718538,0.257448808148284,0.0105807660763581,0.436006815032816,0.208612158820861,-0.231787404267948,-0.0801779032590376,-0.52917150039421,-0.236913830221033,0.0282935001412891,1
