"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",0,0.15583787640085,0.146846903137246,0.138884004150053,0.167698779667498,0.131831442863825,0.13934731050276,0.108391446055323,0.0782520685009509,0.140545652361012,0.140207918124474
"antsin",0.15583787640085,0,0.175879914407239,0.123077208091301,0.171227854703462,0.235066821048965,0.18495495156732,0.179237315331358,0.137823571710716,0.252727151623334,0.16903632548992
"astfer",0.146846903137246,0.175879914407239,0,0.168806727044052,0.172538332277546,0.182507294074692,0.200954177084568,0.13800860777074,0.135614897835802,0.183064527807101,0.195518163701514
"fompin",0.138884004150053,0.123077208091301,0.168806727044052,0,0.144882104912299,0.202570791566253,0.154739836139428,0.137205621454374,0.102131150216755,0.211327901890957,0.103122279976283
"hetpar",0.167698779667498,0.171227854703462,0.172538332277546,0.144882104912299,0,0.170964162177579,0.179917284714108,0.153351950484939,0.132591414042892,0.218373600247787,0.163593485824449
"junlut",0.131831442863825,0.235066821048965,0.182507294074692,0.202570791566253,0.170964162177579,0,0.253219115014099,0.134117476354152,0.116081239689296,0.202359321112032,0.2174883781133
"phefer",0.13934731050276,0.18495495156732,0.200954177084568,0.154739836139428,0.179917284714108,0.253219115014099,0,0.145085651100092,0.143544191886505,0.230079241553713,0.177099540883041
"phenig",0.108391446055323,0.179237315331358,0.13800860777074,0.137205621454374,0.153351950484939,0.134117476354152,0.145085651100092,0,0.0973169998477444,0.176408550662368,0.158937232841204
"phevit",0.0782520685009509,0.137823571710716,0.135614897835802,0.102131150216755,0.132591414042892,0.116081239689296,0.143544191886505,0.0973169998477444,0,0.111877399866621,0.11555081267522
"poscae",0.140545652361012,0.252727151623334,0.183064527807101,0.211327901890957,0.218373600247787,0.202359321112032,0.230079241553713,0.176408550662368,0.111877399866621,0,0.209561608397933
"triabi",0.140207918124474,0.16903632548992,0.195518163701514,0.103122279976283,0.163593485824449,0.2174883781133,0.177099540883041,0.158937232841204,0.11555081267522,0.209561608397933,0
