"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.35444533154153,0.415027840776492,0.325810564436692,0.318211838544661,0.378479188020441,0.675830050251121,0.248071848560291,0.483697764153925,0.3095400174202,0.339740712180333
"antsin",0.35444533154153,1,0.553022539523599,0.784366728394412,0.502509497983888,0.252194049378322,0.42936618234218,-0.0578848897550979,0.0842527129133147,0.379396351285668,0.554616588278167
"astfer",0.415027840776492,0.553022539523599,1,0.556996122480266,0.57347782480471,0.403802730300483,0.487944906921178,0.265802843123847,0.227018757793234,0.56142121840587,0.377243529561224
"fompin",0.325810564436692,0.784366728394412,0.556996122480266,1,0.421724826172537,0.301486788187433,0.323920851200584,-0.223148096377094,0.0885127166481058,0.328255852691239,0.621358687461047
"hetpar",0.318211838544661,0.502509497983887,0.57347782480471,0.421724826172537,1,0.441572864758342,0.517134255869148,0.0754931659057022,0.0237194519790996,0.573407615675895,0.505319550915356
"junlut",0.378479188020441,0.252194049378322,0.403802730300483,0.301486788187433,0.441572864758342,1,0.467702733804195,0.556352451837157,0.634885316202004,0.418562395633985,0.192467845956748
"phefer",0.675830050251121,0.42936618234218,0.487944906921178,0.323920851200584,0.517134255869148,0.467702733804195,1,0.343339523841803,0.449893718619595,0.53264076838882,0.283537698617443
"phenig",0.248071848560291,-0.0578848897550978,0.265802843123847,-0.223148096377094,0.0754931659057023,0.556352451837157,0.343339523841803,1,0.579074699971358,0.329513566569824,-0.17919402716472
"phevit",0.483697764153925,0.0842527129133147,0.227018757793234,0.0885127166481056,0.0237194519790996,0.634885316202004,0.449893718619595,0.579074699971358,1,0.332100160258929,-0.0137300939995987
"poscae",0.3095400174202,0.379396351285668,0.56142121840587,0.328255852691239,0.573407615675895,0.418562395633985,0.53264076838882,0.329513566569824,0.332100160258929,1,0.429204148803123
"triabi",0.339740712180333,0.554616588278167,0.377243529561224,0.621358687461047,0.505319550915356,0.192467845956748,0.283537698617443,-0.17919402716472,-0.0137300939995985,0.429204148803123,1
