"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2955,2955,2955,2955,2955,2955,2954.99999999999,3114.76033974389,2955,2954.99999999999,2955,2955,2955,2955,2173.97601862221,2955
"2",2955,2955,4244.7090440787,3300.16960069449,3308.20214028148,3300.61052227763,3280.74157809851,4000.33903931381,2955,2955,2955,2955,2955,2955,2146.0742538741,2955
"3",2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,2955,3937.67084816545,3452.71247254889
"4",2955.00000000001,2955,2955,2955,2955,2955,2955,3624.2598448484,2955,2955,2955,2955,2955,2955,2955,2955
"5",3503.62545852076,3111.4904682845,2955,2955,2955,2955,3233.54403831072,3673.7475318643,2955,2955,2955,2955,2955,2955,2598.535342222,2955
"6",2955,2717.67875317057,3356.61658148106,2955,3250.28969682606,3256.34427615222,3265.27794766586,3571.30115026672,2955,2955,2955,2955,2955,2955,2955,2955.00000000001
"7",2955,2955,2955.00000000001,2955,2955,2955,2955,3808.87388924203,2955,2955,2955,2671.04912300082,2955,2687.76102174441,2954.99999999999,2955
"8",2961.39811167865,2955,3188.13888522047,2955,2955,2955,2955,2955,2955,2955,2955,2452.52952089475,2431.42180403975,2436.2923121783,2955,2955
"9",2955,3457.57054592846,2955,2955,2955,2955,3246.97915820673,2955,2955,2955,2955,2955,2955,2955,2955,2955
"10",4620.62316474322,2955,4407.98676955957,3295.69716956451,3284.77882760757,3272.05129135824,3288.19823629788,3988.24550883512,2955,2955,2955,2955,2955.00000000001,2955,2955,4390.97907153741
"11",3260.62883426765,2955,2955,2955,2955.00000000001,2955,2955,3651.36722491885,2955,2955,2955,2657.47465727561,2665.24348113108,2690.02106260497,2955,2955
