"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"V1","intercept","-0.755584659015419","-0.999753913636174","-0.534279109584039","0.120597870188277","-0.159608680178108","-0.106584329686601","-0.106584329686601","-0.0896200367011938","Pollock","Culex_pipiens_sl"
"V2","depth__cm","-0.260870768445681","-0.558883710562535","-0.0403055765709084","0.137410233933378","-0.526736800570241","-0.387436980912621","-0.387436980912621","-0.296533356194945","Pollock","Culex_pipiens_sl"
"V3","temperature__C","-0.187490976368548","-0.419907448617245","0.041907102296441","0.114970892064305","-0.613207602259792","-0.419426259382434","-0.419426259382434","-0.346467359529146","Pollock","Culex_pipiens_sl"
"V4","oxidation_reduction_potential__Mv","-0.431982570301984","-0.742515530206283","-0.146768880474028","0.150019915304056","-0.347282334097838","-0.225145783830611","-0.225145783830611","-0.194954892475023","Pollock","Culex_pipiens_sl"
"V5","salinity__ppt","-0.0405964971801767","-0.317332922583277","0.199406618878674","0.127961695037713","-3.1520378339488","-2.23916630103025","-2.23916630103025","-1.75982011609818","Pollock","Culex_pipiens_sl"
"V6","water_crowfoot__Ranunculus","0.102661988677147","-0.0317334485106857","0.230396845581629","0.0630407886370862","0.614061635171883","0.351858929532171","0.351858929532171","0.336860687468671","Pollock","Culex_pipiens_sl"
"V7","rushes__Juncus_or_Scirpus","-0.0766617767916059","-0.352666119271322","0.140697872950875","0.1311504011974","-1.71076652128627","-1.21994407175231","-1.21994407175231","-0.964671504097321","Pollock","Culex_pipiens_sl"
"V8","filamentous_algae","0.261320887821878","0.0457922256798666","0.463812039889597","0.109483022545419","0.418960089482188","0.288336650452508","0.288336650452508","0.236416769784277","Pollock","Culex_pipiens_sl"
"V9","emergent_grass","-0.0771858375332503","-0.203982431190184","0.051243262539476","0.0637528462895428","-0.825965595852726","-0.501182553581322","-0.501182553581322","-0.456258015597161","Pollock","Culex_pipiens_sl"
"V10","ivy_leafed_duckweed__Lemna_trisulca","-0.0414068405825247","-0.171151717826729","0.0639491328592512","0.0581396096023102","-1.40410639363892","-0.903934485963234","-0.903934485963234","-0.767232468874538","Pollock","Culex_pipiens_sl"
"V11","bulrushes__Typha","0.0862739154042737","-0.125704294860849","0.349458293598453","0.125616887398612","1.45602395358991","1.02250735436309","1.02250735436309","0.818689787460158","Pollock","Culex_pipiens_sl"
"V12","reeds_Phragmites","0.0724867781960516","-0.139253868568638","0.246411434349652","0.0992200418041465","1.36880192875714","0.858291425398352","0.858291425398352","0.763986928963706","Pollock","Culex_pipiens_sl"
"V13","marestail__Hippuris","-0.0223524922682916","-0.20170666007515","0.113017022063322","0.0784346771928966","-3.50899023927461","-2.45506095829089","-2.45506095829089","-1.94687987006073","Pollock","Culex_pipiens_sl"
"V14","common_duckweed__Lemna_minor","0.120559635811119","-0.00185849247270282","0.237079635452416","0.0611729674092131","0.507408362655083","0.334961367352084","0.334961367352084","0.282881868511714","Pollock","Culex_pipiens_sl"
"V15","intercept","-0.523340130805651","-0.758512331935193","-0.313762275452999","0.114714694574089","-0.21919720621748","-0.143514481979059","-0.143514481979059","-0.122831758121111","Pollock","Culex_modestus"
"V21","depth__cm","-0.279073171521282","-0.557278907971446","-0.0565264558859032","0.134044313987943","-0.480319599541731","-0.339693530241018","-0.339693530241018","-0.270716471138509","Pollock","Culex_modestus"
"V31","temperature__C","-0.0291922594306144","-0.226368732449163","0.178556982605755","0.102116608820368","-3.49807143441857","-2.48139375159871","-2.48139375159871","-1.97579778544895","Pollock","Culex_modestus"
"V41","oxidation_reduction_potential__Mv","-0.175293281385355","-0.39221740631513","0.0385639734401169","0.108265227719473","-0.617623373034297","-0.395207862204374","-0.395207862204374","-0.347619513275743","Pollock","Culex_modestus"
"V51","salinity__ppt","0.112040007545197","-0.0988938078524407","0.315651470266911","0.107145494238123","0.956314593203681","0.686971279051913","0.686971279051913","0.542640041374199","Pollock","Culex_modestus"
"V61","water_crowfoot__Ranunculus","0.100649012950748","-0.0288701489520807","0.220496827057674","0.0583305833804702","0.579544514847988","0.353385403816642","0.353385403816642","0.321487257064384","Pollock","Culex_modestus"
"V71","rushes__Juncus_or_Scirpus","0.0495069774859531","-0.162656057544806","0.247908090582416","0.100285195243828","2.02567800210148","1.27121532547334","1.27121532547334","1.1240877677932","Pollock","Culex_modestus"
"V81","filamentous_algae","0.336814286101831","0.149912031893746","0.546490618845502","0.101319419223261","0.30081686972336","0.204676739202852","0.204676739202852","0.170147501637638","Pollock","Culex_modestus"
"V91","emergent_grass","-0.107586501542688","-0.276482185088289","0.0131983087336852","0.0739295034785422","-0.687163374758578","-0.478678635473673","-0.478678635473673","-0.377905134246743","Pollock","Culex_modestus"
"V101","ivy_leafed_duckweed__Lemna_trisulca","-0.0107592711008537","-0.111963930944016","0.111941280048793","0.0550084328768564","-5.11265422733814","-2.6903477545764","-2.6903477545764","-2.83359863480279","Pollock","Culex_modestus"
"V111","bulrushes__Typha","-0.0034921711451464","-0.206746509217052","0.219602406345014","0.108668678304796","-31.1177985809284","-14.6455643467682","-14.6455643467682","-17.3585611559911","Pollock","Culex_modestus"
"V121","reeds_Phragmites","0.143648532812848","-0.0200041567299785","0.349666288815541","0.0883376590658626","0.614956918362353","0.410875971090487","0.410875971090487","0.343354460675183","Pollock","Culex_modestus"
"V131","marestail__Hippuris","0.0472390687008549","-0.0746626152327788","0.215553686293868","0.0741434686593082","1.5695370526635","1.02675121661056","1.02675121661056","0.860706691297543","Pollock","Culex_modestus"
"V141","common_duckweed__Lemna_minor","0.127175217937938","0.012099405116017","0.277176411988444","0.0672498878779799","0.528797111327131","0.339274092650976","0.339274092650976","0.29217339394242","Pollock","Culex_modestus"
