"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.180949992202969,-0.269151097827522,-0.198601085148597,-0.410099426570765,-0.365394561950198,0.122925197296944,-0.378823405408998,-0.269628064534082,-0.274808630580162,-0.0306740983473018,-0.563448275328573,-0.316604254520531,-0.390813736926969,-0.585751861136281,-0.42768972433638
"Culex_modestus",0.180949992202969,1,-0.203444335558852,0.184488712505726,-0.0450422232556327,-0.100412828807623,0.285605239629691,-0.192550038133214,-0.50161505984351,-0.220886426710096,0.173379707513698,-0.450443856724281,0.049954617721001,-0.180405927872895,-0.488616548020458,-0.0698395544430777
"Culiseta_annulata",-0.269151097827522,-0.203444335558853,1,-0.390127059156103,-0.407907302449151,-0.386716900162109,-0.32342147281336,-0.563876729077226,-0.502346031952393,-0.532764438944152,-0.375674886677358,-0.570585915629713,-0.341213880891878,-0.460429815948166,-0.506162069699002,-0.532087056703986
"Anopheles_maculipennis_sl",-0.198601085148597,0.184488712505726,-0.390127059156103,1,-0.021243915967939,-0.201057558288193,0.15814393507008,-0.276885553737119,-0.782109222919271,-0.230914448038126,0.17932887500135,-0.387465212529009,-0.0462576722731779,-0.22528461014934,-0.478740532809707,0.115929745486519
"waterboatmen__Corixidae",-0.410099426570765,-0.0450422232556326,-0.407907302449151,-0.0212439159679389,1,-0.0826232691319706,-0.0168318569962135,-0.0898703850844928,-0.335072789801503,-0.162512568954154,-0.294836231226547,-0.214725424608093,-0.104867392747967,-0.439231821683529,-0.235403152256872,-0.0803893135083997
"diving_beetles__Dysticidae",-0.365394561950198,-0.100412828807622,-0.386716900162109,-0.201057558288194,-0.0826232691319708,1,-0.0502988084802319,-0.0175862630205639,-0.00917240957614916,0.160516144073491,-0.209610746144254,-0.735780637431869,0.0608603394377135,-0.285769681127739,-0.325661907803577,-0.396196919685381
"damselflies__Zygoptera",0.122925197296943,0.285605239629691,-0.32342147281336,0.15814393507008,-0.0168318569962136,-0.0502988084802318,1,-0.0145855699103183,-0.391775168375087,0.0229172090506877,0.0413036161868409,-0.447160199307477,-0.0121205933787565,-0.280460248993925,-0.639207166575614,-0.177853760504091
"swimming_beetles__Haliplidae",-0.378823405408998,-0.192550038133214,-0.563876729077226,-0.276885553737119,-0.0898703850844928,-0.0175862630205637,-0.0145855699103186,1,-0.293865218530119,0.24959661489926,-0.226506725044706,-0.388693759760468,-0.163498448293075,-0.357101143819432,-0.560697299126548,-0.131217280828701
"opossum_shrimps__Mysidae",-0.269628064534082,-0.50161505984351,-0.502346031952393,-0.782109222919271,-0.335072789801502,-0.00917240957614892,-0.391775168375087,-0.293865218530119,1,-0.0289806466483521,-0.620879590248532,-0.558364378780574,-0.324604227921693,-0.597824158474957,-0.366882388394166,-0.779782039651766
"ditch_shrimp__Gammarus",-0.274808630580162,-0.220886426710097,-0.532764438944151,-0.230914448038126,-0.162512568954154,0.160516144073492,0.0229172090506876,0.24959661489926,-0.0289806466483523,1,-0.173128372763874,-0.548817725630869,-0.255393703761075,-0.348334375924135,-0.542330936646132,-0.349861616061266
"beetle_larvae__Coleoptera",-0.0306740983473016,0.173379707513698,-0.375674886677358,0.179328875001351,-0.294836231226547,-0.209610746144254,0.0413036161868409,-0.226506725044706,-0.620879590248532,-0.173128372763875,1,-0.627877612208562,-0.19739003235684,0.00338519379399128,-0.594174158184971,-0.288944822902879
"dragonflies__Anisoptera",-0.563448275328573,-0.450443856724282,-0.570585915629713,-0.38746521252901,-0.214725424608093,-0.735780637431869,-0.447160199307477,-0.388693759760468,-0.558364378780575,-0.548817725630869,-0.627877612208562,1,-0.435636025981497,-0.649935708717857,-0.495041379445176,-0.224887517437244
"mayflies__Ephemeroptera",-0.316604254520531,0.049954617721001,-0.341213880891879,-0.0462576722731776,-0.104867392747968,0.0608603394377134,-0.0121205933787566,-0.163498448293075,-0.324604227921693,-0.255393703761075,-0.19739003235684,-0.435636025981497,1,-0.386050280465561,-0.376571579154282,-0.197256952282768
"newts__Pleurodelinae",-0.390813736926969,-0.180405927872895,-0.460429815948166,-0.225284610149341,-0.439231821683529,-0.285769681127739,-0.280460248993924,-0.357101143819432,-0.597824158474957,-0.348334375924135,0.00338519379399148,-0.649935708717857,-0.386050280465561,1,-0.364710812077151,-0.390625382049489
"fish",-0.585751861136281,-0.488616548020458,-0.506162069699002,-0.478740532809707,-0.235403152256872,-0.325661907803577,-0.639207166575614,-0.560697299126547,-0.366882388394166,-0.542330936646132,-0.594174158184971,-0.495041379445176,-0.376571579154283,-0.364710812077151,1,-0.379564090066164
"saucer_bugs__Ilyocoris",-0.42768972433638,-0.0698395544430779,-0.532087056703986,0.115929745486518,-0.0803893135083998,-0.396196919685381,-0.177853760504091,-0.131217280828701,-0.779782039651766,-0.349861616061266,-0.288944822902879,-0.224887517437245,-0.197256952282768,-0.39062538204949,-0.379564090066164,1
