"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.461414888151933,0.238974654060559,0.104518768149854,-0.108904893956439,-0.0654964184248133,0.394663573641505,-0.0598420253562032,0.0257402859888657,0.0343143222715584,0.299643941768435,-0.20396852022353,-0.0205519414403219,0.0361692792146679,-0.250221731759231,-0.0853293769540665
"Culex_modestus",0.461414888151933,1,0.250602359378176,0.444450320596169,0.215954644097301,0.144188556866514,0.523256814467699,0.0824560425288217,-0.239136030684332,0.108082928600584,0.452471451167193,-0.141422228336473,0.318456199784856,0.247848876592249,-0.162097315483138,0.259432658206165
"Culiseta_annulata",0.238974654060559,0.250602359378176,1,0.0959304075428082,0.00836283394142676,0.130312437346957,0.104836341148392,-0.0849388512409535,0.0208624114797687,-0.0295851192024451,0.121618943828438,-0.169513230860573,0.108454784925595,0.0354318555223456,-0.0548398890249782,-0.0247676673972607
"Anopheles_maculipennis_sl",0.104518768149854,0.444450320596169,0.0959304075428082,1,0.251126943951337,0.0755898971386186,0.396072726500075,-0.00580087847103783,-0.573075209419423,0.0540360545491581,0.469209607302682,-0.0357443420430863,0.227413107660442,0.204455362552744,-0.16561098632752,0.43041386609509
"waterboatmen__Corixidae",-0.108904893956439,0.215954644097301,0.00836283394142676,0.251126943951337,1,0.183279911505133,0.245108707420529,0.17770527879727,-0.0581724743700112,0.0984785128935851,0.0377025673100946,0.163801679637264,0.193222894060297,-0.00538538948002877,0.0707674785970497,0.265607354430597
"diving_beetles__Dysticidae",-0.0654964184248133,0.144188556866514,0.130312437346957,0.0755898971386186,0.183279911505133,1,0.22389909723953,0.274448061210187,0.27895749482421,0.400994959888848,0.132686503817606,-0.415817604704383,0.341934060399203,0.149110660559404,0.0355381545865562,-0.0729243841107446
"damselflies__Zygoptera",0.394663573641505,0.523256814467699,0.104836341148392,0.396072726500075,0.245108707420529,0.22389909723953,1,0.252871157300723,-0.131454008670106,0.289399658351364,0.349614547060928,-0.0971824787003112,0.26832781583557,0.130050286433367,-0.346106169082658,0.1489317111886
"swimming_beetles__Haliplidae",-0.0598420253562032,0.0824560425288217,-0.0849388512409535,-0.00580087847103783,0.17770527879727,0.274448061210187,0.252871157300723,1,0.00192671458120864,0.505112727166367,0.123721595690215,-0.0219435522336013,0.112050042691538,0.0835856582279236,-0.216567644201071,0.215226877604616
"opossum_shrimps__Mysidae",0.0257402859888657,-0.239136030684332,0.0208624114797687,-0.573075209419423,-0.0581724743700112,0.27895749482421,-0.131454008670106,0.00192671458120864,1,0.230788547594737,-0.294818810481914,-0.136082835510702,-0.030668686741688,-0.166760177663685,-0.0087258566020766,-0.487683786597197
"ditch_shrimp__Gammarus",0.0343143222715584,0.108082928600584,-0.0295851192024451,0.0540360545491581,0.0984785128935851,0.400994959888848,0.289399658351364,0.505112727166367,0.230788547594737,1,0.187487442103001,-0.1810994886377,0.0541975291665446,0.112382102666955,-0.204743332835876,-0.00398079032973829
"beetle_larvae__Coleoptera",0.299643941768435,0.452471451167193,0.121618943828438,0.469209607302682,0.0377025673100946,0.132686503817606,0.349614547060928,0.123721595690215,-0.294818810481914,0.187487442103001,1,-0.272520371155258,0.134342900281506,0.408095858030938,-0.212969743104582,0.089434505580181
"dragonflies__Anisoptera",-0.20396852022353,-0.141422228336473,-0.169513230860573,-0.0357443420430862,0.163801679637264,-0.415817604704383,-0.0971824787003112,-0.0219435522336013,-0.136082835510702,-0.1810994886377,-0.272520371155258,1,-0.0816165855105262,-0.232418004790459,-0.0273866203861952,0.201471302634733
"mayflies__Ephemeroptera",-0.0205519414403219,0.318456199784856,0.108454784925595,0.227413107660442,0.193222894060297,0.341934060399203,0.26832781583557,0.112050042691538,-0.030668686741688,0.0541975291665446,0.134342900281506,-0.0816165855105262,1,0.0492812732876214,-0.0530203333654082,0.137540893723005
"newts__Pleurodelinae",0.0361692792146679,0.247848876592249,0.0354318555223456,0.204455362552744,-0.00538538948002877,0.149110660559404,0.130050286433367,0.0835856582279236,-0.166760177663685,0.112382102666955,0.408095858030938,-0.232418004790459,0.0492812732876214,1,0.0393909139313588,0.0612848294922957
"fish",-0.250221731759231,-0.162097315483138,-0.0548398890249782,-0.16561098632752,0.0707674785970497,0.0355381545865562,-0.346106169082658,-0.216567644201071,-0.00872585660207658,-0.204743332835876,-0.212969743104582,-0.0273866203861952,-0.0530203333654082,0.0393909139313588,1,0.0145695318785017
"saucer_bugs__Ilyocoris",-0.0853293769540665,0.259432658206165,-0.0247676673972607,0.43041386609509,0.265607354430597,-0.0729243841107446,0.1489317111886,0.215226877604616,-0.487683786597197,-0.00398079032973831,0.089434505580181,0.201471302634733,0.137540893723005,0.0612848294922958,0.0145695318785017,1
