"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",0,0.125302417746056,0.242662646697845,0.154593315525539,0.153861126630865,0.159479178686267,0.13350619846547,0.162472977085458,0.154109896737457,0.154692812210409,0.156474687932039,0.199962208882203,0.160120262641728,0.216343833304949,0.182188791561573,0.183585589632053
"Culex_modestus",0.125302417746056,0,0.209222107983264,0.123984078428614,0.132762980448814,0.129355195171839,0.111096378360793,0.143479774153635,0.143429123672933,0.156809845300229,0.135340421832941,0.17423200055218,0.131217494063535,0.193103154180756,0.17272414213422,0.165305140217164
"Culiseta_annulata",0.242662646697845,0.209222107983264,0,0.241012478471989,0.215432524644688,0.259276420672909,0.230618557962709,0.256185127227728,0.261994709655655,0.275691001729583,0.242939503358715,0.231010299118703,0.228673613427777,0.24741912140195,0.245123929063282,0.259351379066017
"Anopheles_maculipennis_sl",0.154593315525539,0.123984078428614,0.241012478471989,0,0.131873391224838,0.135921246764105,0.120591035602998,0.14210379550656,0.11909544838398,0.147935648659354,0.136274128961304,0.194166626963878,0.135199172564709,0.208398458561899,0.169375697125355,0.15398959843219
"waterboatmen__Corixidae",0.153861126630865,0.132762980448814,0.215432524644688,0.131873391224838,0,0.134672636919136,0.12599906456433,0.137796108301703,0.142146434683882,0.133310215993973,0.165592607660794,0.191160793167361,0.150264873938404,0.210072319467051,0.165454798831553,0.171576794351679
"diving_beetles__Dysticidae",0.159479178686267,0.129355195171839,0.259276420672909,0.135921246764105,0.134672636919136,0,0.130852827444167,0.134541989020444,0.139803433048108,0.12352390878546,0.172559118775242,0.190964062643286,0.135019610618881,0.214706131005725,0.183377571933385,0.170616583862238
"damselflies__Zygoptera",0.13350619846547,0.111096378360793,0.230618557962709,0.120591035602998,0.12599906456433,0.130852827444167,0,0.129806181609215,0.134650118830263,0.126800696281808,0.154947360959447,0.183890027250165,0.139266969112792,0.204120607694513,0.160431723191791,0.167543989141577
"swimming_beetles__Haliplidae",0.162472977085458,0.143479774153635,0.256185127227728,0.14210379550656,0.137796108301703,0.134541989020444,0.129806181609215,0,0.151267628204112,0.113518079556556,0.175971499319378,0.191675631803841,0.142137001860385,0.229016492157278,0.182591087209638,0.171116891972574
"opossum_shrimps__Mysidae",0.154109896737457,0.143429123672933,0.261994709655655,0.11909544838398,0.142146434683882,0.139803433048108,0.134650118830263,0.151267628204112,0,0.130440884258146,0.180070392606057,0.22776651124595,0.162862855493783,0.241353005260307,0.18165359749035,0.170179888502094
"ditch_shrimp__Gammarus",0.154692812210409,0.156809845300229,0.275691001729583,0.147935648659354,0.133310215993973,0.12352390878546,0.126800696281808,0.113518079556556,0.130440884258145,0,0.187019908074458,0.199101345642057,0.156258010127564,0.233902946731492,0.185030939696232,0.178490521982138
"beetle_larvae__Coleoptera",0.156474687932039,0.135340421832941,0.242939503358715,0.136274128961304,0.165592607660794,0.172559118775242,0.154947360959447,0.175971499319378,0.180070392606057,0.187019908074458,0,0.20516361265321,0.160913157323309,0.180655634161743,0.203616749442935,0.192909330462097
"dragonflies__Anisoptera",0.199962208882203,0.17423200055218,0.231010299118703,0.194166626963878,0.191160793167361,0.190964062643286,0.183890027250165,0.191675631803841,0.22776651124595,0.199101345642057,0.20516361265321,0,0.192539096825234,0.248811908933497,0.228239440376095,0.209096679058988
"mayflies__Ephemeroptera",0.160120262641728,0.131217494063535,0.228673613427777,0.135199172564709,0.150264873938404,0.135019610618881,0.139266969112792,0.142137001860385,0.162862855493783,0.156258010127564,0.160913157323309,0.192539096825234,0,0.207334859640261,0.172286416605912,0.167365312964693
"newts__Pleurodelinae",0.216343833304949,0.193103154180756,0.24741912140195,0.208398458561899,0.210072319467051,0.214706131005725,0.204120607694513,0.229016492157278,0.241353005260307,0.233902946731492,0.180655634161743,0.248811908933497,0.207334859640261,0,0.219062572289552,0.229951176691539
"fish",0.182188791561573,0.17272414213422,0.245123929063282,0.169375697125355,0.165454798831553,0.183377571933385,0.160431723191791,0.182591087209638,0.18165359749035,0.185030939696232,0.203616749442935,0.228239440376095,0.172286416605912,0.219062572289552,0,0.196091824342728
"saucer_bugs__Ilyocoris",0.183585589632053,0.165305140217164,0.259351379066017,0.15398959843219,0.171576794351679,0.170616583862238,0.167543989141577,0.171116891972574,0.170179888502094,0.178490521982138,0.192909330462097,0.209096679058988,0.167365312964693,0.229951176691539,0.196091824342728,0
