"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.6761025406067,0.687003962043262,0.406985238217001,0.20485839370102,0.247623978975474,0.631181596931255,0.265263869725392,0.317752833665798,0.336643920625589,0.594442233734291,0.209727342187566,0.306005316142812,0.457937997119462,0.138617632931028,0.274596803338463
"Culex_modestus",0.676102540606701,1,0.608704001726988,0.676962214607251,0.478465383568846,0.41146595705002,0.725310903061394,0.360992485425684,0.0355698640669044,0.397895542705368,0.690226526116538,0.210790299947202,0.553355237172587,0.602737312520231,0.174922586769655,0.561572741858138
"Culiseta_annulata",0.687003962043263,0.608704001726988,1,0.531934472357199,0.423384206591627,0.618703860724657,0.538597818872408,0.434075548122949,0.507059606106135,0.503974579720265,0.573141510831996,0.318860696680867,0.51825252869246,0.48867616104521,0.421683489818343,0.462073885591772
"Anopheles_maculipennis_sl",0.406985238217001,0.676962214607251,0.531934472357199,1,0.490512225833896,0.338045193060703,0.61946105418614,0.279114566984402,-0.309096859694861,0.333859673514418,0.709465694307867,0.355782009126413,0.484012733131951,0.591837744149923,0.184911956784133,0.694897249944918
"waterboatmen__Corixidae",0.20485839370102,0.478465383568846,0.423384206591627,0.490512225833897,1,0.451680492373002,0.473496987164122,0.433275248421687,0.218090569548959,0.368041849124872,0.34590796501585,0.53569050505685,0.494508252058112,0.412730468893235,0.402254043178794,0.597979476221744
"diving_beetles__Dysticidae",0.247623978975474,0.41146595705002,0.618703860724657,0.338045193060703,0.451680492373002,1,0.473816094807748,0.510602757094588,0.538594371892117,0.632002638302318,0.45208974125784,-0.00237674472313498,0.596795475809715,0.563503948710773,0.364550789861632,0.273612301063717
"damselflies__Zygoptera",0.631181596931254,0.725310903061394,0.538597818872408,0.61946105418614,0.473496987164122,0.473816094807749,1,0.479125785342519,0.139601317450536,0.520359037980443,0.62076615986803,0.252700431930359,0.532399782790923,0.491884963372422,-0.0121588800949499,0.472852019056944
"swimming_beetles__Haliplidae",0.265263869725391,0.360992485425684,0.434075548122948,0.279114566984402,0.433275248421687,0.510602757094588,0.479125785342519,1,0.292463060856531,0.708738110228774,0.441893421792844,0.356784675048382,0.383441021419013,0.526593360010438,0.148960839883722,0.5320722567909
"opossum_shrimps__Mysidae",0.317752833665797,0.0355698640669047,0.507059606106136,-0.309096859694861,0.218090569548959,0.538594371892117,0.139601317450536,0.292463060856531,1,0.475250657049658,0.0637106778174163,0.300483870775072,0.303395345990183,0.325900602765474,0.344251578578419,-0.118951027453233
"ditch_shrimp__Gammarus",0.336643920625589,0.397895542705368,0.503974579720265,0.333859673514418,0.368041849124872,0.632002638302318,0.520359037980443,0.708738110228774,0.475250657049658,1,0.533695969892528,0.212584370500328,0.34161042289888,0.57216824423539,0.169210444691062,0.347485062255967
"beetle_larvae__Coleoptera",0.594442233734291,0.690226526116538,0.573141510831996,0.709465694307867,0.345907965015851,0.45208974125784,0.62076615986803,0.441893421792844,0.0637106778174163,0.533695969892528,1,0.155783458709538,0.434321861826864,0.701534361931994,0.213068447188798,0.446195076146596
"dragonflies__Anisoptera",0.209727342187566,0.210790299947202,0.318860696680867,0.355782009126413,0.53569050505685,-0.00237674472313503,0.25270043193036,0.356784675048382,0.300483870775072,0.212584370500328,0.155783458709538,1,0.295316660781703,0.305526698771365,0.397181063713431,0.573928612608732
"mayflies__Ephemeroptera",0.306005316142812,0.553355237172587,0.51825252869246,0.484012733131951,0.494508252058112,0.596795475809715,0.532399782790923,0.383441021419013,0.303395345990183,0.34161042289888,0.434321861826864,0.295316660781703,1,0.440349480055846,0.273107489567271,0.457884362722386
"newts__Pleurodelinae",0.457937997119462,0.60273731252023,0.488676161045211,0.591837744149922,0.412730468893235,0.563503948710773,0.491884963372422,0.526593360010438,0.325900602765473,0.57216824423539,0.701534361931993,0.305526698771365,0.440349480055846,1,0.465935292614104,0.490268465359226
"fish",0.138617632931029,0.174922586769655,0.421683489818343,0.184911956784133,0.402254043178794,0.364550789861633,-0.01215888009495,0.148960839883722,0.344251578578419,0.169210444691062,0.213068447188798,0.397181063713432,0.273107489567271,0.465935292614104,1,0.382096602431217
"saucer_bugs__Ilyocoris",0.274596803338463,0.561572741858139,0.462073885591772,0.694897249944918,0.597979476221744,0.273612301063717,0.472852019056944,0.532072256790901,-0.118951027453233,0.347485062255967,0.446195076146596,0.573928612608732,0.457884362722387,0.490268465359226,0.382096602431218,1
