"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2955,2955,2955,2955,2203.89258985556,2955,2955,2946.24038525887,2955,2955,3371.13897346505,2955,2955,2426.55226863564
"2",3301.85981325277,2955,2955,3286.74378560084,2955,2955,2955,2955,2955,2955,2955,2732.35727701021,2955,2955
"3",3339.7978128405,2955,2955,2955,2955,2955,2955,2954.99999999999,2955,2955,3403.84416399582,2955,3290.22085833758,3256.65780677099
"4",2114.51406996797,2955,2955,2492.89121137423,2955,2174.21474303034,2955,2597.89336112072,2955,2955,2955,2955,3839.59296508018,2955
"5",2955,2954.99999999999,2955,2955,2955,2690.65476474337,2649.00454227967,2955,2955,2955,2955,2955,2955,2955
"6",2955,3469.93424722682,2955,2955,2955,2955,3307.55496865262,2955,2806.15992746445,2955,2955,3392.70462917211,2955,2955
"7",2955,2954.99999999999,2955,2955,2955,2955,2955,2955,2644.40609985711,2955,2955,2955,2955,2955
"8",2955,2955,2955,2955,2955,2955,2955,2682.61847140666,2955,2955,2955,2955,3277.83345505745,2955
"9",2955,2955,2955,2955,2955,2955,2576.17865216521,2652.86420082012,2955,2955,2649.9643597539,3281.06823124534,2955,3268.90858011874
"10",2955,2955,2955,2955,2955,2708.56139721767,3465.2125543075,2672.94011072607,2955,3270.94323066159,2954.99999999999,3249.01218863146,2955,2955
"11",2955,2609.22317964247,2955,2955,3287.75712972544,2955,2955,3539.46561163163,2612.07134655867,2955,2660.68455893793,2955.00000000001,2955,2955
"12",2955,2955,2955,2955,2955,2955,2955,2955,2955,3313.31217053719,2955,2955,2955,2955
"13",2955,2649.58225906608,3297.86561880444,2955,2722.13752686864,3665.57583636879,2928.76210061863,3304.51491361441,2619.15667157151,2955,2933.92749875466,2955,2955,2955
"14",2955,1845.30377754764,2955,2955,3118.50268885803,2955,2955,3939.37313220293,2955,3520.99167084746,3061.38135198254,2248.53195374152,2955,2955
"15",2955,3314.64454870111,2955,2756.7727806763,2955,3292.0822380192,2955,3711.54836785532,2625.50408277245,3493.64221153324,3147.23536233239,2753.29036196577,2955,3304.39902776472
"16",3463.88739360472,2955,2955,2955,2955,2955,2955,2955.00000000001,2614.47699967183,2955,2955,3249.73126370097,3810.68813836969,3608.14116752375
