"","coefficient","posterior.mean","lower","upper","sd","model","species"
"1","intercept","-0.472127161701559","-1.53699490212458","0.566972095321985","0.538575328101799","BayesComm","Culex_pipiens_sl"
"2","depth__cm","-0.385483709950735","-0.803312815694402","-0.00369972672247922","0.203879373739235","BayesComm","Culex_pipiens_sl"
"3","temperature__C","-0.302085922448182","-0.639491446311525","0.0122971765466803","0.165912999418617","BayesComm","Culex_pipiens_sl"
"4","oxidation_reduction_potential__Mv","-0.662239466538648","-1.10351323883892","-0.238782707475492","0.219855891461845","BayesComm","Culex_pipiens_sl"
"5","salinity__ppt","-0.0380316046189674","-0.406016156053358","0.257752581571466","0.16821052051604","BayesComm","Culex_pipiens_sl"
"6","water_crowfoot__Ranunculus","0.163317729001537","-0.53485940738192","0.840401873724983","0.350987642492548","BayesComm","Culex_pipiens_sl"
"7","rushes__Juncus_or_Scirpus","-0.761991670195336","-1.78864708589858","0.258773746791447","0.525646956827333","BayesComm","Culex_pipiens_sl"
"8","filamentous_algae","0.771307510183614","0.156871569834871","1.37743288004662","0.315944538747114","BayesComm","Culex_pipiens_sl"
"9","emergent_grass","0.00229119217406456","-1.48125457225973","1.33273624691869","0.720818173078895","BayesComm","Culex_pipiens_sl"
"10","ivy_leafed_duckweed__Lemna_trisulca","-0.926463676828575","-2.73789937246832","0.701714952381691","0.862621286799406","BayesComm","Culex_pipiens_sl"
"11","bulrushes__Typha","0.51909863437204","-0.481175293208749","1.52019055658792","0.508925502144686","BayesComm","Culex_pipiens_sl"
"12","reeds_Phragmites","0.0652925547260503","-0.790488030426098","0.881193845432267","0.423600259105044","BayesComm","Culex_pipiens_sl"
"13","marestail__Hippuris","-0.50558715592456","-1.49279813235456","0.419964091791466","0.484447818700493","BayesComm","Culex_pipiens_sl"
"14","common_duckweed__Lemna_minor","0.233931758624792","-0.620010880197994","1.07153198833204","0.434010501218994","BayesComm","Culex_pipiens_sl"
"15","intercept","-1.67897342044938","-2.70713919409201","-0.682010442126446","0.513536518222997","BayesComm","Culex_modestus"
"16","depth__cm","-0.55932183201428","-0.951623766038339","-0.202451090489204","0.190971317452597","BayesComm","Culex_modestus"
"17","temperature__C","-0.00103614896152644","-0.27310580404767","0.279383540429227","0.141343314709883","BayesComm","Culex_modestus"
"18","oxidation_reduction_potential__Mv","-0.187861004885139","-0.485258146760936","0.107094680365431","0.150914128159917","BayesComm","Culex_modestus"
"19","salinity__ppt","0.272948922499759","-0.00955983139399274","0.528784071875208","0.137920206713061","BayesComm","Culex_modestus"
"20","water_crowfoot__Ranunculus","0.34510795905632","-0.27710674835136","0.970540443595849","0.320012330198461","BayesComm","Culex_modestus"
"21","rushes__Juncus_or_Scirpus","0.48162881578891","-0.430237024587459","1.44887296179534","0.48221718251183","BayesComm","Culex_modestus"
"22","filamentous_algae","0.934622808307985","0.411939175762406","1.49255553622938","0.277202234017006","BayesComm","Culex_modestus"
"23","emergent_grass","-1.37778260641645","-2.94551871979921","0.0375906465744176","0.767151289352258","BayesComm","Culex_modestus"
"24","ivy_leafed_duckweed__Lemna_trisulca","0.396523493460674","-1.17430584584576","2.1079965931031","0.838213564980532","BayesComm","Culex_modestus"
"25","bulrushes__Typha","0.296813259705878","-0.696049119782333","1.32846478672244","0.516047521447831","BayesComm","Culex_modestus"
"26","reeds_Phragmites","0.729851696392509","-0.0176273923839986","1.46547999385177","0.377183055064986","BayesComm","Culex_modestus"
"27","marestail__Hippuris","0.507704368647112","-0.329023765842362","1.3637709845066","0.432129875164723","BayesComm","Culex_modestus"
"28","common_duckweed__Lemna_minor","0.679229425650042","-0.135711211734275","1.50315679347692","0.415900233520182","BayesComm","Culex_modestus"
"29","intercept","-2.52310685716779","-5.46380311902634","0.172824028089246","1.45688421918341","BayesComm","Culiseta_annulata"
"30","depth__cm","-0.642271726376988","-1.97632622912598","0.631854940638082","0.677091558949421","BayesComm","Culiseta_annulata"
"31","temperature__C","-0.947697862205297","-2.0293681867042","0.0622991888863548","0.542374309631614","BayesComm","Culiseta_annulata"
"32","oxidation_reduction_potential__Mv","-0.944926140226518","-1.97305730536922","-0.172510988155254","0.443767366746452","BayesComm","Culiseta_annulata"
"33","salinity__ppt","-0.522731142895859","-2.05646427541121","0.610670932229535","0.685396997485382","BayesComm","Culiseta_annulata"
"34","water_crowfoot__Ranunculus","-1.08180681092582","-5.25515449232795","2.01787264907764","1.94647271970317","BayesComm","Culiseta_annulata"
"35","rushes__Juncus_or_Scirpus","-1.27780987300343","-3.99616001374165","1.18830750418813","1.29613633216899","BayesComm","Culiseta_annulata"
"36","filamentous_algae","-0.98805192051582","-2.69405021890032","0.704595566939764","0.866687579860297","BayesComm","Culiseta_annulata"
"37","emergent_grass","-1.32416128400971","-7.39987380162539","3.63236193946072","2.79739685140038","BayesComm","Culiseta_annulata"
"38","ivy_leafed_duckweed__Lemna_trisulca","-1.19971253499945","-6.55714977398731","3.30348778825186","2.52736982990514","BayesComm","Culiseta_annulata"
"39","bulrushes__Typha","-0.444296791468188","-4.13215063281497","2.68629954763039","1.70170880901756","BayesComm","Culiseta_annulata"
"40","reeds_Phragmites","-1.88365403211527","-6.85410552216804","2.02180698209474","2.28928999169896","BayesComm","Culiseta_annulata"
"41","marestail__Hippuris","-1.56388203357822","-5.46716478353445","2.08951579685139","1.98071934825577","BayesComm","Culiseta_annulata"
"42","common_duckweed__Lemna_minor","-1.45519617128842","-4.40482979804947","0.976467999778185","1.38253970965668","BayesComm","Culiseta_annulata"
"43","intercept","-2.40008644175152","-3.66621992480888","-1.25603683033958","0.611420059908061","BayesComm","Anopheles_maculipennis_sl"
"44","depth__cm","-0.275762332460482","-0.588264864638488","0.0237039710424899","0.15738833974487","BayesComm","Anopheles_maculipennis_sl"
"45","temperature__C","-0.00100812609469516","-0.283253942258188","0.283417723061449","0.143452190992485","BayesComm","Anopheles_maculipennis_sl"
"46","oxidation_reduction_potential__Mv","0.0678816815151017","-0.277546502432495","0.411324370251153","0.176491670008616","BayesComm","Anopheles_maculipennis_sl"
"47","salinity__ppt","-0.28687523055552","-0.831729279451551","0.16700718686644","0.255660279897167","BayesComm","Anopheles_maculipennis_sl"
