"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.0556208117310232,-0.264629680460034,-0.101200056738536,-0.235849225409798,-0.22748770089289,0.036983451355098,-0.208033748784588,-0.283009107465058,-0.172925888763699,-0.0618194393813418,-0.396278365859118,-0.21221468377071,-0.294990899019859,-0.396968167090121,-0.216022887555694
"Culex_modestus",0.0556208117310232,1,-0.257644202213327,0.102003216698124,-0.0265207464419403,-0.12260503654997,0.169780550953321,-0.106489559643073,-0.35548504601999,-0.10422135220762,0.0214561336087011,-0.357792821693532,0.000428263471144127,-0.220124800781578,-0.411595245663436,-0.0870036954210935
"Culiseta_annulata",-0.264629680460034,-0.257644202213327,1,-0.309171713658708,-0.279801225914841,-0.265725338188078,-0.31498091824474,-0.33238504581569,-0.341528922021729,-0.32036968970389,-0.303005658442387,-0.385367823161064,-0.268741766201223,-0.3121574529935,-0.370734961264291,-0.308821303147592
"Anopheles_maculipennis_sl",-0.101200056738536,0.102003216698124,-0.309171713658708,1,-0.0445480623997816,-0.152526222262193,0.0726014810264362,-0.176458799961032,-0.491597698999418,-0.148733587516178,0.0127027833838581,-0.324083423907907,-0.0618477088284395,-0.233664104094707,-0.414304445631048,-0.015874188087083
"waterboatmen__Corixidae",-0.235849225409798,-0.0265207464419403,-0.279801225914841,-0.0445480623997816,1,-0.116807031373213,-0.0187922296265945,-0.102993792965248,-0.266050495212538,-0.163255132336975,-0.177220646343981,-0.22075110236653,-0.0919831277674206,-0.271196808154486,-0.254108713490075,-0.119804537909243
"diving_beetles__Dysticidae",-0.22748770089289,-0.12260503654997,-0.265725338188078,-0.152526222262193,-0.116807031373213,1,-0.0552895580940092,-0.0316794023111408,-0.0682513159253871,0.032732420161574,-0.142360283959111,-0.450119064708967,-0.00522792840226579,-0.207249291533822,-0.252548311276255,-0.26790907549995
"damselflies__Zygoptera",0.036983451355098,0.169780550953321,-0.31498091824474,0.0726014810264362,-0.0187922296265945,-0.0552895580940092,1,-0.0126327131717561,-0.298876549994075,-0.00877776096377575,-0.0273969755956734,-0.347469091840541,-0.027820034122812,-0.246833800850974,-0.459677090418959,-0.15244873062298
"swimming_beetles__Haliplidae",-0.208033748784588,-0.106489559643073,-0.33238504581569,-0.176458799961032,-0.102993792965248,-0.0316794023111408,-0.0126327131717561,1,-0.254668984100257,0.0988064099532953,-0.108806358412405,-0.311129751454161,-0.144679752346681,-0.237665203370404,-0.357110338872523,-0.154403905989428
"opossum_shrimps__Mysidae",-0.283009107465058,-0.35548504601999,-0.341528922021729,-0.491597698999418,-0.266050495212538,-0.0682513159253871,-0.298876549994075,-0.254668984100257,1,-0.0946153515472764,-0.356247451163591,-0.360141244168289,-0.23593998325645,-0.329670647426078,-0.237566541913148,-0.477452786705169
"ditch_shrimp__Gammarus",-0.172925888763699,-0.10422135220762,-0.32036968970389,-0.148733587516178,-0.163255132336975,0.032732420161574,-0.00877776096377575,0.0988064099532953,-0.0946153515472764,1,-0.0836951450274258,-0.378359936649651,-0.177494533213407,-0.221458649074471,-0.347246692304345,-0.266236774370637
"beetle_larvae__Coleoptera",-0.0618194393813418,0.0214561336087011,-0.303005658442387,0.0127027833838581,-0.177220646343981,-0.142360283959111,-0.0273969755956734,-0.108806358412405,-0.356247451163591,-0.0836951450274258,1,-0.407169740328467,-0.132987883999057,-0.124774519261165,-0.413806572089733,-0.187032348865728
"dragonflies__Anisoptera",-0.396278365859118,-0.357792821693532,-0.385367823161064,-0.324083423907907,-0.22075110236653,-0.450119064708967,-0.347469091840541,-0.311129751454161,-0.360141244168289,-0.378359936649651,-0.407169740328467,1,-0.325141591918555,-0.375042001383154,-0.316205127054469,-0.26272945436363
"mayflies__Ephemeroptera",-0.21221468377071,0.000428263471144127,-0.268741766201223,-0.0618477088284395,-0.0919831277674206,-0.00522792840226579,-0.027820034122812,-0.144679752346681,-0.23593998325645,-0.177494533213407,-0.132987883999057,-0.325141591918555,1,-0.243539331363067,-0.310720376708991,-0.167950386759734
"newts__Pleurodelinae",-0.294990899019859,-0.220124800781578,-0.3121574529935,-0.233664104094707,-0.271196808154486,-0.207249291533822,-0.246833800850974,-0.237665203370404,-0.329670647426078,-0.221458649074471,-0.124774519261165,-0.375042001383154,-0.243539331363067,1,-0.304265393349237,-0.272251276713356
"fish",-0.396968167090121,-0.411595245663436,-0.370734961264291,-0.414304445631048,-0.254108713490075,-0.252548311276255,-0.459677090418959,-0.357110338872523,-0.237566541913148,-0.347246692304345,-0.413806572089733,-0.316205127054469,-0.310720376708991,-0.304265393349237,1,-0.350475163061459
"saucer_bugs__Ilyocoris",-0.216022887555694,-0.0870036954210935,-0.308821303147592,-0.015874188087083,-0.119804537909243,-0.26790907549995,-0.15244873062298,-0.154403905989428,-0.477452786705169,-0.266236774370637,-0.187032348865728,-0.26272945436363,-0.167950386759734,-0.272251276713356,-0.350475163061459,1
