"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.286469925651587,0.0954625103261682,0.142881428878248,0.00670712371407636,0.0223385240286139,0.268766150766589,0.041520069923588,-0.0183316759652957,0.0791167163698674,0.194474166498976,-0.10615918777776,0.0357132875675264,0.0253988399673889,-0.142766704539801,0.0599367562955652
"Culex_modestus",0.286469925651587,1,0.116735698476795,0.31665027628417,0.193681084025275,0.108689170384803,0.372838173377126,0.123728678095179,-0.108787707541307,0.137747670275441,0.268212419266809,-0.0594125005091236,0.22775621854076,0.13334650534265,-0.145957010501628,0.19616333731304
"Culiseta_annulata",0.0954625103261682,0.116735698476795,1,0.0718355610435083,0.0232870614912976,0.0738178365339731,0.0730983077056129,0.00913044146363965,-0.013368794427148,0.0315645420185755,0.0699081443895208,-0.0780512811350889,0.0663468695745444,0.0258290093662872,-0.0595764801711896,0.0368151221084286
"Anopheles_maculipennis_sl",0.142881428878248,0.31665027628417,0.0718355610435083,1,0.18631502058366,0.0716990507954229,0.285231645777496,0.059023408072416,-0.275964059508439,0.0948624790298126,0.264883948453287,-0.026975231193585,0.164201647814238,0.096244961337381,-0.16815199921742,0.250713929764492
"waterboatmen__Corixidae",0.00670712371407636,0.193681084025275,0.0232870614912976,0.18631502058366,1,0.108701686893518,0.194482857329065,0.124424341147174,-0.0286556565944817,0.0679182091878631,0.0719372340091265,0.0520997932516562,0.140060376859781,0.0281243071720709,0.0103164434961212,0.149025318917323
"diving_beetles__Dysticidae",0.0223385240286139,0.108689170384803,0.0738178365339731,0.0716990507954229,0.108701686893518,1,0.168419398877554,0.189477072260297,0.169612088722772,0.25365523385114,0.118830947512313,-0.189358639328531,0.2123229631761,0.100829657641293,0.0129940685507196,-0.00888145857194228
"damselflies__Zygoptera",0.268766150766589,0.372838173377126,0.0730983077056129,0.285231645777496,0.194482857329065,0.168419398877554,1,0.208232247210132,-0.061865319789658,0.223659567512518,0.241721552168877,-0.0649394796686976,0.195221061180494,0.110560911028985,-0.214474102634453,0.123894080250769
"swimming_beetles__Haliplidae",0.041520069923588,0.123728678095179,0.00913044146363965,0.059023408072416,0.124424341147174,0.189477072260297,0.208232247210132,1,-0.0156025656660514,0.309504678239101,0.1588662208689,-0.0344930323420136,0.0874898206650599,0.0943582855517885,-0.103453912312992,0.11355921536072
"opossum_shrimps__Mysidae",-0.0183316759652957,-0.108787707541307,-0.013368794427148,-0.275964059508439,-0.0286556565944817,0.169612088722772,-0.061865319789658,-0.0156025656660514,1,0.129542398387086,-0.0807685932136705,-0.0493163115238446,0.0139253958138617,-0.00989743043186323,0.0548370779615406,-0.227263796527809
"ditch_shrimp__Gammarus",0.0791167163698674,0.137747670275441,0.0315645420185755,0.0948624790298126,0.0679182091878631,0.25365523385114,0.223659567512518,0.309504678239101,0.129542398387086,1,0.193401033099259,-0.098460588210225,0.0783512041078345,0.123639906122881,-0.0782677730495991,0.00697501143345538
"beetle_larvae__Coleoptera",0.194474166498976,0.268212419266809,0.0699081443895208,0.264883948453287,0.0719372340091265,0.118830947512313,0.241721552168877,0.1588662208689,-0.0807685932136705,0.193401033099259,1,-0.104724362656389,0.117133625210554,0.187054276672835,-0.145785058723001,0.09411209247087
"dragonflies__Anisoptera",-0.10615918777776,-0.0594125005091236,-0.0780512811350889,-0.026975231193585,0.0520997932516562,-0.189358639328531,-0.0649394796686976,-0.0344930323420136,-0.0493163115238446,-0.098460588210225,-0.104724362656389,1,-0.0525558726340057,-0.0810166619928744,-0.0227532315905085,0.0392700308534732
"mayflies__Ephemeroptera",0.0357132875675264,0.22775621854076,0.0663468695745444,0.164201647814238,0.140060376859781,0.2123229631761,0.195221061180494,0.0874898206650599,0.0139253958138617,0.0783512041078345,0.117133625210554,-0.0525558726340057,1,0.0640589860247056,-0.0544347021744445,0.0889009920392556
"newts__Pleurodelinae",0.0253988399673889,0.13334650534265,0.0258290093662872,0.096244961337381,0.0281243071720709,0.100829657641293,0.110560911028985,0.0943582855517885,-0.00989743043186323,0.123639906122881,0.187054276672835,-0.0810166619928744,0.0640589860247056,1,-0.00129735901064993,0.0541174844929338
"fish",-0.142766704539801,-0.145957010501628,-0.0595764801711896,-0.16815199921742,0.0103164434961212,0.0129940685507196,-0.214474102634453,-0.103453912312992,0.0548370779615406,-0.0782677730495991,-0.145785058723001,-0.0227532315905085,-0.0544347021744445,-0.00129735901064993,1,-0.0625719171248936
"saucer_bugs__Ilyocoris",0.0599367562955652,0.19616333731304,0.0368151221084286,0.250713929764492,0.149025318917323,-0.00888145857194228,0.123894080250769,0.11355921536072,-0.227263796527809,0.00697501143345538,0.09411209247087,0.0392700308534732,0.0889009920392556,0.0541174844929338,-0.0625719171248936,1
