"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.111199378654371,0.17461654409648,0.12291347060968,0.123764347274608,0.127264824119844,0.113354418647635,0.125750718858042,0.135060954800964,0.126822160836655,0.127593720461909,0.151907197999853,0.128978032897717,0.161545431577533,0.137089839043683,0.140651945822508
"Culex_modestus",0.111199378654371,1,0.184328306144713,0.103280601801896,0.111170012871651,0.115366921850322,0.0976059836249341,0.117732534038652,0.12944043196386,0.121845585258041,0.120401032351696,0.155461275405791,0.112740325170582,0.167784351950783,0.140661937851065,0.138378401303513
"Culiseta_annulata",0.17461654409648,0.184328306144713,1,0.186342636066133,0.152584902886991,0.170776120131236,0.185441760715679,0.171571359987383,0.177096341130169,0.178860774771942,0.18158003049402,0.160857100298124,0.166835042470809,0.171771938791449,0.163775290326488,0.176843802204217
"Anopheles_maculipennis_sl",0.12291347060968,0.103280601801896,0.186342636066133,1,0.114247685507337,0.11534104920343,0.103695633864676,0.118586466846139,0.120076150437737,0.122069304977168,0.12201031006572,0.156270255024885,0.112252214123319,0.160819668108408,0.132625372696964,0.12979386267049
"waterboatmen__Corixidae",0.123764347274608,0.111170012871651,0.152584902886991,0.114247685507337,1,0.113102601552968,0.106859676404489,0.114346375312249,0.122217597029755,0.117198754574404,0.124782979781915,0.140086303821745,0.117396881162304,0.149918128393261,0.134693995120339,0.133186843821902
"diving_beetles__Dysticidae",0.127264824119844,0.115366921850322,0.170776120131236,0.11534104920343,0.113102601552968,1,0.112080499900379,0.11120960162415,0.118940324275465,0.108616124192451,0.129405151043287,0.141922131978099,0.109293694902777,0.151750724367679,0.137078869843915,0.135276467270423
"damselflies__Zygoptera",0.113354418647635,0.0976059836249341,0.185441760715679,0.103695633864676,0.106859676404489,0.112080499900379,1,0.111724364928751,0.120777696738688,0.110706323738428,0.127582628405414,0.152781131696285,0.113107930228224,0.171697487848078,0.132926109243727,0.139202176539798
"swimming_beetles__Haliplidae",0.125750718858042,0.117732534038652,0.171571359987383,0.118586466846139,0.114346375312249,0.11120960162415,0.111724364928751,1,0.123060006669528,0.103968128942795,0.132677543321401,0.145966144190204,0.117305401452873,0.161313305520406,0.134375503244379,0.130256485164321
"opossum_shrimps__Mysidae",0.135060954800964,0.12944043196386,0.177096341130169,0.120076150437737,0.122217597029755,0.118940324275465,0.120777696738688,0.123060006669528,1,0.112314734696157,0.144560415407576,0.161359763384369,0.128966484029192,0.166024498059732,0.148072822759825,0.13735568902514
"ditch_shrimp__Gammarus",0.126822160836655,0.121845585258041,0.178860774771942,0.122069304977168,0.117198754574404,0.108616124192451,0.110706323738428,0.103968128942795,0.112314734696157,1,0.135155467394585,0.151422982912541,0.126679524644873,0.166212160126082,0.13989836554114,0.139647100378246
"beetle_larvae__Coleoptera",0.127593720461909,0.120401032351696,0.18158003049402,0.12201031006572,0.124782979781915,0.129405151043287,0.127582628405414,0.132677543321401,0.144560415407576,0.135155467394585,1,0.157025269475555,0.12820114004949,0.151022611259131,0.145121753550897,0.143160029428236
"dragonflies__Anisoptera",0.151907197999853,0.155461275405791,0.160857100298124,0.156270255024885,0.140086303821745,0.141922131978099,0.152781131696285,0.145966144190204,0.161359763384369,0.151422982912541,0.157025269475555,1,0.145180084352077,0.156520861708786,0.153011062063615,0.15411213645656
"mayflies__Ephemeroptera",0.128978032897717,0.112740325170582,0.166835042470809,0.112252214123319,0.117396881162304,0.109293694902777,0.113107930228224,0.117305401452873,0.128966484029192,0.126679524644873,0.12820114004949,0.145180084352077,1,0.150303492547918,0.133026454765753,0.130016253502483
"newts__Pleurodelinae",0.161545431577533,0.167784351950783,0.171771938791449,0.160819668108408,0.149918128393261,0.151750724367679,0.171697487848078,0.161313305520406,0.166024498059732,0.166212160126082,0.151022611259131,0.156520861708786,0.150303492547918,1,0.156908967280071,0.164610843016576
"fish",0.137089839043683,0.140661937851065,0.163775290326488,0.132625372696964,0.134693995120339,0.137078869843915,0.132926109243727,0.134375503244379,0.148072822759825,0.13989836554114,0.145121753550897,0.153011062063615,0.133026454765753,0.156908967280071,1,0.150981348979456
"saucer_bugs__Ilyocoris",0.140651945822508,0.138378401303513,0.176843802204217,0.12979386267049,0.133186843821902,0.135276467270423,0.139202176539798,0.130256485164321,0.13735568902514,0.139647100378246,0.143160029428236,0.15411213645656,0.130016253502483,0.164610843016576,0.150981348979456,1
