"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.491219615132873,0.414945234802184,0.376454418729922,0.245995647911718,0.270843088230926,0.48149514226921,0.288307948845739,0.246096113990473,0.325357118647239,0.434781012289188,0.191568044088145,0.287891427515495,0.331416594708044,0.131830567670963,0.328436005759916
"Culex_modestus",0.491219615132873,1,0.445734878530026,0.506646985249363,0.406315241121872,0.326775180063115,0.549945718535218,0.352253674454647,0.148287274386781,0.368618591021791,0.494507329709568,0.248462842014448,0.441201391777599,0.427904969594223,0.129396435369518,0.450198744081776
"Culiseta_annulata",0.414945234802184,0.445734878530026,1,0.405371349813586,0.31783110945468,0.394761956914203,0.40374531840727,0.330449574556723,0.339364871674925,0.365112831915003,0.398978684978757,0.237573540375297,0.383173165665523,0.348948303027924,0.257622273202228,0.371740144644712
"Anopheles_maculipennis_sl",0.376454418729922,0.506646985249363,0.405371349813586,1,0.400185705827929,0.294866567211002,0.477835265023805,0.285359404973094,-0.0261671396345778,0.330294753808533,0.488578933253619,0.287103074627278,0.377152774521256,0.390484462055238,0.0978876203490956,0.492866679777063
"waterboatmen__Corixidae",0.245995647911718,0.406315241121872,0.31783110945468,0.400185705827929,1,0.324329925619903,0.39711305919059,0.343568433647113,0.207363436165359,0.298422055499934,0.306977182490887,0.326535451098795,0.366883356636718,0.315313752283256,0.271854297638196,0.397566445602475
"diving_beetles__Dysticidae",0.270843088230926,0.326775180063115,0.394761956914203,0.294866567211002,0.324329925619903,1,0.380462076563403,0.400898996427831,0.395292190170018,0.455209077746155,0.364508296332655,0.100776779694967,0.419364270306295,0.379663734054666,0.284875095503422,0.253172557636696
"damselflies__Zygoptera",0.48149514226921,0.549945718535218,0.40374531840727,0.477835265023805,0.39711305919059,0.380462076563403,1,0.41625426705033,0.174281071488639,0.427368084904766,0.469289851370055,0.243895592883842,0.410746847227594,0.42341483552233,0.0587795470936727,0.384232463115377
"swimming_beetles__Haliplidae",0.288307948845739,0.352253674454647,0.330449574556723,0.285359404973094,0.343568433647113,0.400898996427831,0.41625426705033,1,0.223666975482859,0.502335952402757,0.409293385386507,0.255955965682951,0.31120467934029,0.393067137544886,0.167741557677247,0.361302741810677
"opossum_shrimps__Mysidae",0.246096113990473,0.148287274386781,0.339364871674925,-0.0261671396345778,0.207363436165359,0.395292190170018,0.174281071488639,0.223666975482859,1,0.343848741159426,0.204708707101675,0.267955882533337,0.273693615259335,0.304166276678475,0.337337071686895,0.0589334267124986
"ditch_shrimp__Gammarus",0.325357118647239,0.368618591021791,0.365112831915003,0.330294753808533,0.298422055499934,0.455209077746155,0.427368084904766,0.502335952402757,0.343848741159426,1,0.448988438662541,0.209521974157173,0.313733075139206,0.425926797662651,0.200140951053977,0.279050997139143
"beetle_larvae__Coleoptera",0.434781012289188,0.494507329709568,0.398978684978757,0.488578933253619,0.306977182490887,0.364508296332655,0.469289851370055,0.409293385386507,0.204708707101675,0.448988438662541,1,0.213775750430433,0.361848061642622,0.45785264868597,0.145342628496341,0.367393107161992
"dragonflies__Anisoptera",0.191568044088145,0.248462842014448,0.237573540375297,0.287103074627278,0.326535451098795,0.100776779694967,0.243895592883842,0.255955965682951,0.267955882533337,0.209521974157173,0.213775750430433,1,0.240983062870451,0.235563428591831,0.279322527571709,0.334275909436113
"mayflies__Ephemeroptera",0.287891427515495,0.441201391777599,0.383173165665523,0.377152774521256,0.366883356636718,0.419364270306295,0.410746847227594,0.31120467934029,0.273693615259335,0.313733075139206,0.361848061642622,0.240983062870451,1,0.347249351277797,0.207015419431028,0.338540883145976
"newts__Pleurodelinae",0.331416594708044,0.427904969594223,0.348948303027924,0.390484462055238,0.315313752283256,0.379663734054666,0.42341483552233,0.393067137544886,0.304166276678475,0.425926797662651,0.45785264868597,0.235563428591831,0.347249351277797,1,0.300386075517328,0.363176553668993
"fish",0.131830567670963,0.129396435369518,0.257622273202228,0.0978876203490956,0.271854297638196,0.284875095503422,0.0587795470936727,0.167741557677247,0.337337071686895,0.200140951053977,0.145342628496341,0.279322527571709,0.207015419431028,0.300386075517328,1,0.235584514779567
"saucer_bugs__Ilyocoris",0.328436005759916,0.450198744081776,0.371740144644712,0.492866679777063,0.397566445602475,0.253172557636696,0.384232463115377,0.361302741810677,0.0589334267124986,0.279050997139143,0.367393107161992,0.334275909436113,0.338540883145976,0.363176553668993,0.235584514779567,1
