"","coefficient","posterior.mean","lower","upper","sd","model","species"
"1","intercept","4.48670063740368","-0.355782406713887","9.44897007577565","2.51768277851782","boral","Culex_pipiens_sl"
"2","depth__cm","-0.0488023678632676","-0.0870828418549769","-0.0125766054344351","0.0191438378458026","boral","Culex_pipiens_sl"
"3","temperature__C","-0.230247536055648","-0.441224229386671","-0.0154777979451221","0.108202392220752","boral","Culex_pipiens_sl"
"4","oxidation_reduction_potential__Mv","-0.0162546611874741","-0.0267389778617456","-0.00637477010591577","0.00525791651015175","boral","Culex_pipiens_sl"
"5","salinity__ppt","0.00755883628128214","-0.0977094543728113","0.0958508272630221","0.0508151440611121","boral","Culex_pipiens_sl"
"6","water_crowfoot__Ranunculus","0.279105598371145","-0.481747699064843","1.09470091966749","0.391698221514954","boral","Culex_pipiens_sl"
"7","rushes__Juncus_or_Scirpus","-0.902090255184588","-2.1017964410782","0.347142102623391","0.622515935137299","boral","Culex_pipiens_sl"
"8","filamentous_algae","0.961302876025477","0.339578920791631","1.57567147073047","0.327255540432962","boral","Culex_pipiens_sl"
"9","emergent_grass","-0.248487720536893","-1.83553075400443","1.42459412833476","0.835136281333314","boral","Culex_pipiens_sl"
"10","ivy_leafed_duckweed__Lemna_trisulca","-1.12855282895095","-3.22675348658814","0.769183190410624","1.02529621300931","boral","Culex_pipiens_sl"
"11","bulrushes__Typha","0.64529101191081","-0.495665810006709","1.87659557202075","0.62395416039325","boral","Culex_pipiens_sl"
"12","reeds_Phragmites","0.0281147759385414","-0.826222730210485","0.876819189352575","0.435355988100296","boral","Culex_pipiens_sl"
"13","marestail__Hippuris","-0.808937726870608","-1.95233641778401","0.17567598539285","0.547279045702358","boral","Culex_pipiens_sl"
"14","common_duckweed__Lemna_minor","0.381603066781112","-0.59111647645162","1.41927491369651","0.51747915313243","boral","Culex_pipiens_sl"
"15","intercept","-1.6487505402153","-13.2353537664475","10.9577306150558","6.65225269095863","boral","Culex_modestus"
"16","depth__cm","-0.293679061535641","-0.410897860011406","-0.137649646434465","0.0765511774377923","boral","Culex_modestus"
"17","temperature__C","-0.26364387358965","-0.757111239701657","0.238800334578859","0.2740645012714","boral","Culex_modestus"
"18","oxidation_reduction_potential__Mv","-0.0182253560169752","-0.0467135714411711","0.0144947154348642","0.0169718752050713","boral","Culex_modestus"
"19","salinity__ppt","0.573168510541219","0.273146969406362","0.892966495994181","0.167798339582268","boral","Culex_modestus"
"20","water_crowfoot__Ranunculus","2.89313015862904","0.404309885543981","5.7561945024957","1.42521170572166","boral","Culex_modestus"
"21","rushes__Juncus_or_Scirpus","3.93896150847026","0.940301380952037","7.67999291050025","1.84045091146372","boral","Culex_modestus"
"22","filamentous_algae","3.82875956725242","1.95528806374298","6.02274912705674","1.10183644401372","boral","Culex_modestus"
"23","emergent_grass","-5.6723975257774","-11.0243877126317","1.4320866569498","2.95130956291126","boral","Culex_modestus"
"24","ivy_leafed_duckweed__Lemna_trisulca","5.08061102981859","-1.07744702942181","11.4285156247995","3.36499254866377","boral","Culex_modestus"
"25","bulrushes__Typha","2.65669806583208","-3.74269040162419","7.03649464700877","2.89881762252749","boral","Culex_modestus"
"26","reeds_Phragmites","4.28537964456788","1.32522869418416","6.87479652853776","1.71132976616294","boral","Culex_modestus"
"27","marestail__Hippuris","1.7538328736472","-2.23581920142366","8.04631862834526","2.59813340191762","boral","Culex_modestus"
"28","common_duckweed__Lemna_minor","2.12590139632535","-1.49819020699527","5.50744188764333","1.68090461258881","boral","Culex_modestus"
"29","intercept","6.60707634030043","-7.73091051360018","19.4303571474537","7.40252109989719","boral","Culiseta_annulata"
"30","depth__cm","-0.0435329993962025","-0.171006893991712","0.0991391033765096","0.0685725638856877","boral","Culiseta_annulata"
"31","temperature__C","-0.625419140522691","-1.18712805337899","-0.0516710537440365","0.29922935089506","boral","Culiseta_annulata"
"32","oxidation_reduction_potential__Mv","-0.0527128015165509","-0.092257410307423","-0.0278947142374132","0.0157323947429038","boral","Culiseta_annulata"
"33","salinity__ppt","-0.0159276157189556","-0.601467054999373","0.426083103231495","0.306932259736501","boral","Culiseta_annulata"
"34","water_crowfoot__Ranunculus","-5.43119017601561","-9.64072433094748","2.50623334683584","3.90215015115874","boral","Culiseta_annulata"
"35","rushes__Juncus_or_Scirpus","-1.59942541823546","-5.86878978705025","2.01866835007611","1.80317084634202","boral","Culiseta_annulata"
"36","filamentous_algae","-0.950766802039124","-3.39626593031277","1.20849630583385","1.10488388398867","boral","Culiseta_annulata"
"37","emergent_grass","-1.75968762936205","-10.2493049352552","6.52975626076801","5.29644156890981","boral","Culiseta_annulata"
"38","ivy_leafed_duckweed__Lemna_trisulca","-9.79822956869919","-23.9612466654777","3.30025924794648","6.84203707968999","boral","Culiseta_annulata"
"39","bulrushes__Typha","-0.957841752773395","-4.39606877456695","3.16578627409993","2.13198697153822","boral","Culiseta_annulata"
"40","reeds_Phragmites","-0.43521903724884","-5.23424621280079","3.02647717092167","2.39025257546382","boral","Culiseta_annulata"
"41","marestail__Hippuris","-5.17877904228498","-8.83482494628251","-0.566080654032167","2.38104646352593","boral","Culiseta_annulata"
"42","common_duckweed__Lemna_minor","-1.20216729539867","-5.70453941331869","2.70400209923498","2.35562200267586","boral","Culiseta_annulata"
"43","intercept","-6.6461118668062","-20.6329318464178","6.31520597831967","7.23667656437002","boral","Anopheles_maculipennis_sl"
"44","depth__cm","-0.10547845166602","-0.199741016462415","-0.00723817359632739","0.0526587453978104","boral","Anopheles_maculipennis_sl"
"45","temperature__C","-0.0302279119671359","-0.616574520265071","0.750963999127101","0.340332269892207","boral","Anopheles_maculipennis_sl"
"46","oxidation_reduction_potential__Mv","0.0148008187081285","-0.0188787277314939","0.0488364726545449","0.0198500119615182","boral","Anopheles_maculipennis_sl"
"47","salinity__ppt","-0.184177424036635","-0.725471631096833","0.246463384157615","0.245773035000702","boral","Anopheles_maculipennis_sl"
"48","water_crowfoot__Ranunculus","3.5082779491137","0.23301925157","7.32663195072388","1.87847132332878","boral","Anopheles_maculipennis_sl"
"49","rushes__Juncus_or_Scirpus","4.73075991249758","-1.42901219764525","8.89307163050749","2.54760589624209","boral","Anopheles_maculipennis_sl"
"50","filamentous_algae","5.46424784840214","3.37443597804747","7.27956101326888","1.01728378683913","boral","Anopheles_maculipennis_sl"
"51","emergent_grass","-0.0516156270000108","-5.80130570731098","5.12851315867862","3.01518582941166","boral","Anopheles_maculipennis_sl"
"52","ivy_leafed_duckweed__Lemna_trisulca","-2.70999016890022","-10.3675398885962","3.58206241106441","3.45085992328646","boral","Anopheles_maculipennis_sl"
"53","bulrushes__Typha","0.994440352945454","-2.48507150017061","5.41028843481681","2.26197843359648","boral","Anopheles_maculipennis_sl"
"54","reeds_Phragmites","1.90261184749343","-1.0067425802671","5.07974262674081","1.5394168751904","boral","Anopheles_maculipennis_sl"
"55","marestail__Hippuris","1.38957765973537","-1.10804121386829","4.19069793992079","1.37407147339381","boral","Anopheles_maculipennis_sl"
"56","common_duckweed__Lemna_minor","3.73785286480749","-0.825368792907612","7.99006491213107","2.34919930714495","boral","Anopheles_maculipennis_sl"
