"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.208037311502618,0.114884456147852,-0.163988492525318,0.0186378762831477,0.12844422021306,0.140837674017947,0.0345906084343092,0.12032490801122,0.139758118933424,0.0477940066718729,-0.496254630136878,0.0567462765533151,0.00333857248306978,-0.348579640589733,-0.180179584503927
"Culex_modestus",0.208037311502618,1,0.0809947102534523,0.214274667361743,0.110354081160568,0.181725339684088,0.565719056836405,0.05166678337355,-0.300473920865696,0.144257748079906,0.403837247631005,-0.625570381432161,0.184076593621774,0.382130167859123,-0.610677933431873,0.0375837957657182
"Culiseta_annulata",0.114884456147852,0.0809947102534523,1,-0.637988783421081,-0.0360622363217249,-0.0368125806490252,0.148411279240151,-0.0334930462355294,-0.669151358473738,-0.0058072792336156,-0.12200834837993,-0.799707175780907,0.0269902930745831,-0.347475665753485,-0.524794645717506,-0.616466540581128
"Anopheles_maculipennis_sl",-0.163988492525318,0.214274667361743,-0.637988783421081,1,-0.0794908836018497,-0.363189189832772,0.16833937688464,-0.212531162356884,-0.940464658645421,-0.311177347808048,0.251526659491383,-0.414946513545532,-0.0929104131634083,0.220716585589876,-0.546496989398837,0.409591124113475
"waterboatmen__Corixidae",0.0186378762831477,0.110354081160568,-0.0360622363217249,-0.0794908836018497,1,-0.021670993090972,0.0836669185837821,-0.00342497534613104,-0.276761544446437,-0.0100871785044086,0.0497839410030673,-0.287934357026314,0.0285611693821854,0.0413848186672483,-0.272670672850351,-0.0614722854812419
"diving_beetles__Dysticidae",0.12844422021306,0.181725339684088,-0.0368125806490252,-0.363189189832772,-0.021670993090972,1,0.11387008234913,0.0121891635140569,0.0888871076108442,0.138554133117924,-0.0863349219181441,-0.567128774161652,0.0178893646959267,-0.213292742862661,-0.297263049040145,-0.296846848511074
"damselflies__Zygoptera",0.140837674017947,0.565719056836405,0.148411279240151,0.16833937688464,0.0836669185837821,0.11387008234913,1,0.0417338877061351,-0.256899227235925,0.126088836293013,0.28021186403386,-0.510051221574717,0.144285443318738,0.369887987675844,-0.506302791919844,0.0655079056400055
"swimming_beetles__Haliplidae",0.0345906084343092,0.05166678337355,-0.0334930462355293,-0.212531162356884,-0.00342497534613104,0.0121891635140569,0.0417338877061351,1,-0.133759798120372,0.026078061923407,-0.0340583794420142,-0.363992944082148,0.00850066694800422,-0.0754346831880375,-0.251217222038866,-0.174944699884545
"opossum_shrimps__Mysidae",0.12032490801122,-0.300473920865696,-0.669151358473738,-0.940464658645421,-0.276761544446437,0.0888871076108442,-0.256899227235925,-0.133759798120372,1,0.0861286744735087,-0.601964715350818,-0.847436926271339,-0.234831313205736,-0.845295196345081,-0.219882656778016,-0.840861806621425
"ditch_shrimp__Gammarus",0.139758118933424,0.144257748079907,-0.0058072792336156,-0.311177347808048,-0.0100871785044086,0.138554133117924,0.126088836293013,0.026078061923407,0.0861286744735087,1,-0.0506796913696154,-0.509700750454491,0.0348715496294232,-0.116617583775371,-0.329335980132133,-0.264884508611654
"beetle_larvae__Coleoptera",0.0477940066718729,0.403837247631005,-0.12200834837993,0.251526659491383,0.0497839410030673,-0.0863349219181441,0.28021186403386,-0.0340583794420142,-0.601964715350818,-0.0506796913696154,1,-0.457696796561044,0.0926550247105818,0.430503145347883,-0.51675604912433,0.167787091767049
"dragonflies__Anisoptera",-0.496254630136878,-0.625570381432161,-0.799707175780907,-0.414946513545532,-0.287934357026314,-0.567128774161652,-0.510051221574717,-0.363992944082148,-0.847436926271339,-0.509700750454491,-0.457696796561044,1,-0.386897219962197,-0.511705856397554,-0.282259399114787,-0.378609778822963
"mayflies__Ephemeroptera",0.0567462765533151,0.184076593621774,0.0269902930745831,-0.0929104131634083,0.0285611693821854,0.0178893646959267,0.144285443318738,0.00850066694800422,-0.234831313205736,0.0348715496294232,0.0926550247105818,-0.386897219962197,1,0.0364450565338969,-0.32478660240567,-0.0881448499203332
"newts__Pleurodelinae",0.00333857248306978,0.382130167859123,-0.347475665753485,0.220716585589876,0.0413848186672483,-0.213292742862661,0.369887987675844,-0.0754346831880375,-0.845295196345081,-0.116617583775371,0.430503145347883,-0.511705856397554,0.0364450565338969,1,-0.556924381899071,0.136613838511677
"fish",-0.348579640589733,-0.610677933431873,-0.524794645717506,-0.546496989398837,-0.272670672850351,-0.297263049040145,-0.506302791919844,-0.251217222038866,-0.219882656778016,-0.329335980132133,-0.516756049124331,-0.282259399114787,-0.32478660240567,-0.556924381899071,1,-0.459537246331869
"saucer_bugs__Ilyocoris",-0.180179584503927,0.0375837957657182,-0.616466540581128,0.409591124113475,-0.0614722854812419,-0.296846848511074,0.0655079056400055,-0.174944699884545,-0.840861806621425,-0.264884508611654,0.167787091767049,-0.378609778822963,-0.0881448499203332,0.136613838511677,-0.459537246331869,1
