"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.520087638992073,0.487960709779876,0.0118982016380955,0.185981089881791,0.32958114171383,0.392191788401526,0.215757678898122,0.287553778288148,0.351877365451328,0.306512406516157,-0.193182920137302,0.269207583210181,0.285457334104964,-0.050337793375177,0.0868357243890312
"Culex_modestus",0.520087638992073,1,0.797437677819221,0.473107491959531,0.361867419039683,0.439730167473758,0.75377728049743,0.340203690015854,0.0330969296517026,0.507586676904429,0.724312935704449,-0.205511352910588,0.479661797958933,0.793361258857627,-0.171493882059369,0.494096124444225
"Culiseta_annulata",0.487960709779876,0.797437677819221,1,0.209720839834061,0.291901874252536,0.457542540433867,0.613925848725184,0.304156499251525,0.236367774036751,0.508611183694109,0.522504783475041,-0.261120603425275,0.402547106677219,0.511401933661647,-0.100825049906046,0.28127423051351
"Anopheles_maculipennis_sl",0.0118982016380955,0.473107491959531,0.209720839834061,1,0.180440479632247,-0.0965720870502568,0.389233111222645,0.0402543430571071,-0.845384956963254,-0.0317699728669565,0.618919818859611,0.120823325361206,0.178278890640608,0.796227266191294,-0.220904770536365,0.774788474187914
"waterboatmen__Corixidae",0.185981089881791,0.361867419039683,0.291901874252536,0.180440479632247,1,0.16314498135413,0.279185179398677,0.125037034398707,0.00797936073456686,0.185839710519527,0.263248727157876,-0.067581478877379,0.18072684332156,0.290673332113096,-0.0603994553422192,0.187597261764262
"diving_beetles__Dysticidae",0.32958114171383,0.439730167473758,0.457542540433867,-0.0965720870502568,0.16314498135413,1,0.329271837099851,0.204492175845053,0.37071697322409,0.34680448437144,0.21428122529705,-0.209978773551672,0.238667943183732,0.184419140711859,-0.0206933552100215,0.00211831831701592
"damselflies__Zygoptera",0.392191788401526,0.75377728049743,0.613925848725184,0.389233111222645,0.279185179398677,0.329271837099851,1,0.259193575599459,-0.00143451046845858,0.387195738189857,0.57319865447666,-0.155623444760243,0.365758700111523,0.626748209600466,-0.144390534490756,0.389508286398198
"swimming_beetles__Haliplidae",0.215757678898122,0.340203690015854,0.304156499251525,0.0402543430571071,0.125037034398707,0.204492175845053,0.259193575599459,1,0.151611584251292,0.229256114614128,0.211262459593617,-0.108533745555915,0.172411980463346,0.210587093417356,-0.0394390124182681,0.0827911262491288
"opossum_shrimps__Mysidae",0.287553778288148,0.0330969296517026,0.236367774036751,-0.845384956963254,0.00797936073456686,0.37071697322409,-0.00143451046845858,0.151611584251292,1,0.333955735884591,-0.280151778498622,-0.269222585923428,0.0782503572200772,-0.437708786589347,0.151012735988694,-0.597651424282368
"ditch_shrimp__Gammarus",0.351877365451328,0.507586676904429,0.508611183694109,-0.0317699728669565,0.185839710519527,0.34680448437144,0.387195738189857,0.229256114614128,0.333955735884591,1,0.283234670372236,-0.196887688407157,0.264583568524846,0.260359382281144,-0.0373081606563903,0.0553477040118647
"beetle_larvae__Coleoptera",0.306512406516157,0.724312935704449,0.522504783475041,0.618919818859611,0.263248727157876,0.21428122529705,0.57319865447666,0.211262459593617,-0.280151778498622,0.283234670372236,1,-0.0904025653832006,0.330463160096978,0.746937340369369,-0.180263516336882,0.540567576006772
"dragonflies__Anisoptera",-0.193182920137302,-0.205511352910588,-0.261120603425275,0.120823325361206,-0.067581478877379,-0.209978773551672,-0.155623444760243,-0.108533745555915,-0.269222585923428,-0.196887688407157,-0.0904025653832006,1,-0.11899948008688,-0.0409204077370917,0.00143195798958267,0.0644139234177081
"mayflies__Ephemeroptera",0.269207583210181,0.479661797958933,0.402547106677219,0.178278890640608,0.18072684332156,0.238667943183732,0.365758700111523,0.172411980463346,0.0782503572200772,0.264583568524846,0.330463160096978,-0.11899948008688,1,0.354456906583684,-0.0763849066717337,0.203894369826716
"newts__Pleurodelinae",0.285457334104964,0.793361258857627,0.511401933661647,0.796227266191294,0.290673332113096,0.184419140711859,0.626748209600466,0.210587093417356,-0.437708786589347,0.260359382281144,0.746937340369369,-0.0409204077370917,0.354456906583684,1,-0.211331926836152,0.684381814909022
"fish",-0.050337793375177,-0.171493882059369,-0.100825049906046,-0.220904770536365,-0.0603994553422192,-0.0206933552100215,-0.144390534490756,-0.0394390124182681,0.151012735988694,-0.0373081606563903,-0.180263516336882,0.00143195798958267,-0.0763849066717337,-0.211331926836152,1,-0.175304149288102
"saucer_bugs__Ilyocoris",0.0868357243890312,0.494096124444225,0.28127423051351,0.774788474187914,0.187597261764262,0.00211831831701592,0.389508286398198,0.0827911262491288,-0.597651424282368,0.0553477040118647,0.540567576006772,0.0644139234177081,0.203894369826716,0.684381814909022,-0.175304149288102,1
