"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",0,0.134203554869079,0.175087859592329,0.0809074992143918,0.0939180566640835,0.103563042195935,0.113818152678773,0.100300960065079,0.0970299740554289,0.113699756222932,0.133196054587286,0.164538937571715,0.112228851728541,0.147457460190408,0.142742101159522,0.131624054347715
"Culex_modestus",0.134203554869079,0,0.235455939169903,0.130520843110132,0.124889917348471,0.122040057821389,0.086178402352537,0.137939271058739,0.152927732567231,0.169569910708688,0.127276144369789,0.247227766684322,0.133699845609059,0.147613977495285,0.22499137500973,0.195687373700363
"Culiseta_annulata",0.175087859592329,0.235455939169903,0,0.421689629230245,0.144970977165328,0.200253066459381,0.178082436242375,0.165310290557597,0.445967718827616,0.213113787640603,0.25848596435219,0.298904407178795,0.171799000795706,0.335373940771596,0.220378136390222,0.360902045454923
"Anopheles_maculipennis_sl",0.0809074992143918,0.130520843110132,0.421689629230245,0,0.129688572790792,0.13802024401877,0.11208084896242,0.134015368351376,0.0553928214540145,0.146657247662261,0.149452300902292,0.299175548030441,0.136739106898917,0.170428781841387,0.185129529819902,0.134326380495727
"waterboatmen__Corixidae",0.0939180566640835,0.124889917348471,0.144970977165328,0.129688572790792,0,0.102072146752625,0.102340654707598,0.0763896213098128,0.153014442787183,0.108615379248452,0.10722457232879,0.117680674473496,0.0906107793337548,0.12258715371575,0.0985088096527851,0.124632514626645
"diving_beetles__Dysticidae",0.103563042195935,0.122040057821389,0.200253066459381,0.13802024401877,0.102072146752625,0,0.106910784776757,0.103087937810698,0.133027658439211,0.114699792704051,0.141329604786802,0.178346571135142,0.112536788475659,0.182270444393847,0.13592227991407,0.155034862371913
"damselflies__Zygoptera",0.113818152678773,0.086178402352537,0.178082436242375,0.11208084896242,0.102340654707598,0.106910784776757,0,0.112455356656993,0.13739157911143,0.137619497643241,0.131003704406639,0.198962511334561,0.110821577947079,0.123677030523613,0.177779505692003,0.151910856110283
"swimming_beetles__Haliplidae",0.100300960065079,0.137939271058739,0.165310290557597,0.134015368351376,0.0763896213098128,0.103087937810698,0.112455356656993,0,0.14152731034992,0.116203204053524,0.125416394606726,0.122492385182794,0.0904681306517593,0.14378381516006,0.0982592644674273,0.128891732341324
"opossum_shrimps__Mysidae",0.0970299740554289,0.152927732567231,0.445967718827616,0.0553928214540145,0.153014442787183,0.133027658439211,0.13739157911143,0.14152731034992,0,0.123104713608416,0.187342309390651,0.307438376889978,0.15891861175015,0.258801061312336,0.192735403973875,0.164109296780565
"ditch_shrimp__Gammarus",0.113699756222932,0.169569910708688,0.213113787640603,0.146657247662261,0.108615379248452,0.114699792704051,0.137619497643241,0.116203204053524,0.123104713608416,0,0.165036445653674,0.174170928477408,0.12446381352711,0.197007886495891,0.145391311728455,0.167694854364259
"beetle_larvae__Coleoptera",0.133196054587286,0.127276144369789,0.25848596435219,0.149452300902292,0.10722457232879,0.141329604786802,0.131003704406639,0.125416394606726,0.187342309390651,0.165036445653674,0,0.22127076358184,0.117213703980533,0.121584241361547,0.176516613284837,0.164772348564285
"dragonflies__Anisoptera",0.164538937571715,0.247227766684322,0.298904407178795,0.299175548030441,0.117680674473496,0.178346571135142,0.198962511334561,0.122492385182794,0.307438376889978,0.174170928477408,0.22127076358184,0,0.142684738463973,0.288728798590484,0.130530479533683,0.253253999534134
"mayflies__Ephemeroptera",0.112228851728541,0.133699845609059,0.171799000795706,0.136739106898917,0.0906107793337548,0.112536788475659,0.110821577947079,0.0904681306517593,0.15891861175015,0.12446381352711,0.117213703980533,0.142684738463973,0,0.143917522057099,0.122421555148247,0.135989606497479
"newts__Pleurodelinae",0.147457460190408,0.147613977495285,0.335373940771596,0.170428781841387,0.12258715371575,0.182270444393847,0.123677030523613,0.14378381516006,0.258801061312336,0.197007886495891,0.121584241361547,0.288728798590484,0.143917522057099,0,0.193100309538,0.202308179032534
"fish",0.142742101159522,0.22499137500973,0.220378136390222,0.185129529819902,0.0985088096527851,0.13592227991407,0.177779505692003,0.0982592644674273,0.192735403973875,0.145391311728455,0.176516613284837,0.130530479533683,0.122421555148247,0.193100309538,0,0.156478444264737
"saucer_bugs__Ilyocoris",0.131624054347715,0.195687373700363,0.360902045454923,0.134326380495727,0.124632514626645,0.155034862371913,0.151910856110283,0.128891732341324,0.164109296780565,0.167694854364259,0.164772348564285,0.253253999534134,0.135989606497479,0.202308179032534,0.156478444264737,0
