"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.723803216491325,0.797523317753952,0.161351315015955,0.381772343828896,0.527842601399475,0.588227885221448,0.422820534426162,0.503942412396343,0.578943572562801,0.552342429779846,0.151098148122354,0.482067399916476,0.604913707321918,0.209172177847622,0.332396448065184
"Culex_modestus",0.723803216491325,1,0.985676167043859,0.722937701773746,0.594398505501154,0.654978930590997,0.894040730631624,0.585172623338536,0.295732689369796,0.787910249351831,0.899662862293175,0.317198293677005,0.710146126494533,0.94956208737783,0.248233453095517,0.802984048572609
"Culiseta_annulata",0.797523317753952,0.985676167043859,1,0.919696325529213,0.538381733058481,0.755817638515056,0.862400669864482,0.596013349486967,0.931636377532224,0.821433481170707,0.881158000662439,0.366516867895254,0.691321990031089,0.947175495935297,0.31444325095261,0.773142461330555
"Anopheles_maculipennis_sl",0.161351315015955,0.722937701773746,0.919696325529213,1,0.424836425988472,0.170079610400349,0.598273734758719,0.308157259933087,-0.729779431491892,0.257038453814271,0.835479125187791,0.723718865332022,0.440716770325831,0.956166458535034,0.157791124585171,0.938755291397098
"waterboatmen__Corixidae",0.381772343828896,0.594398505501154,0.538381733058481,0.424836425988472,1,0.382110064710555,0.480726413675081,0.291387763479552,0.326648584522023,0.418571583452416,0.469144729735621,0.173645603723709,0.374861669243536,0.523345908993293,0.124333615640796,0.411870145538423
"diving_beetles__Dysticidae",0.527842601399475,0.654978930590997,0.755817638515056,0.170079610400349,0.382110064710555,1,0.529363053876026,0.417593595310559,0.600541700997799,0.57860482323355,0.464234210943049,0.142349421033618,0.458358511858205,0.506611664495394,0.238281770834061,0.299403465830674
"damselflies__Zygoptera",0.588227885221448,0.894040730631624,0.862400669864482,0.598273734758719,0.480726413675081,0.529363053876026,1,0.482228254744769,0.265314819610939,0.655924183284343,0.793156766045855,0.268110677216346,0.577921064142631,0.835735479295224,0.172569323904403,0.65553413047053
"swimming_beetles__Haliplidae",0.422820534426162,0.585172623338536,0.596013349486967,0.308157259933087,0.291387763479552,0.417593595310559,0.482228254744769,1,0.41888279913041,0.467384125608821,0.460564089324885,0.135151708451812,0.362029526062797,0.488036551575207,0.143654880630494,0.333460029317882
"opossum_shrimps__Mysidae",0.503942412396343,0.295732689369796,0.931636377532225,-0.729779431491891,0.326648584522023,0.600541700997799,0.265314819610939,0.418882799130409,1,0.557805637162596,0.135076869566526,0.340508165817842,0.378750522876641,0.323193778217882,0.531771263844296,-0.212602543447079
"ditch_shrimp__Gammarus",0.578943572562801,0.787910249351831,0.821433481170707,0.257038453814271,0.418571583452416,0.57860482323355,0.655924183284343,0.467384125608821,0.557805637162596,1,0.595394622085815,0.175436128928703,0.522582214722445,0.632672517868892,0.239520690331895,0.373738814314032
"beetle_larvae__Coleoptera",0.552342429779846,0.899662862293175,0.881158000662439,0.835479125187791,0.46914472973562,0.464234210943049,0.793156766045855,0.460564089324885,0.135076869566526,0.595394622085815,1,0.40489991368833,0.546260187520691,0.894650373944327,0.16086166950388,0.800319283653357
"dragonflies__Anisoptera",0.151098148122354,0.317198293677005,0.366516867895254,0.723718865332022,0.173645603723709,0.142349421033618,0.268110677216346,0.135151708451812,0.340508165817842,0.175436128928703,0.40489991368833,1,0.165369365854887,0.557014893266225,0.272404465134645,0.613517067770827
"mayflies__Ephemeroptera",0.482067399916476,0.710146126494533,0.691321990031089,0.440716770325831,0.374861669243536,0.458358511858205,0.577921064142631,0.362029526062797,0.378750522876641,0.522582214722445,0.546260187520691,0.165369365854887,1,0.600348390404697,0.149614630861729,0.45015405275311
"newts__Pleurodelinae",0.604913707321918,0.94956208737783,0.947175495935297,0.956166458535034,0.523345908993293,0.506611664495394,0.835735479295224,0.488036551575207,0.323193778217882,0.632672517868892,0.894650373944327,0.557014893266225,0.600348390404697,1,0.186700313367317,0.915438821188754
"fish",0.209172177847622,0.248233453095517,0.314443250952609,0.157791124585171,0.124333615640796,0.238281770834061,0.172569323904403,0.143654880630494,0.531771263844296,0.239520690331895,0.160861669503879,0.272404465134645,0.149614630861729,0.186700313367317,1,0.145945828789603
"saucer_bugs__Ilyocoris",0.332396448065184,0.802984048572609,0.773142461330555,0.938755291397098,0.411870145538423,0.299403465830674,0.65553413047053,0.333460029317882,-0.212602543447079,0.373738814314032,0.800319283653357,0.613517067770827,0.45015405275311,0.915438821188755,0.145945828789603,1
