"","coefficient","posterior.mean","lower","upper","sd","model","species"
"Culexpipienssl_intercept","intercept","5.21796697878224","1.86702440743492","8.64301045581097","1.57705555073525","Clark","Culex_pipiens_sl"
"Culexpipienssl_depthCM","depthCM","-0.0116988241737979","-0.0305482896366874","0.00615071854921257","0.00883689636095222","Clark","Culex_pipiens_sl"
"Culexpipienssl_temperatureC","temperatureC","-0.253097820526715","-0.398117319648504","-0.10776703194692","0.0680947701759221","Clark","Culex_pipiens_sl"
"Culexpipienssl_oxidationReductionPotentialMv","oxidationReductionPotentialMv","-0.0226720851279878","-0.0272513470332125","-0.0179053269243502","0.0024948381180179","Clark","Culex_pipiens_sl"
"Culexpipienssl_salinityPPT","salinityPPT","-0.0314538818967779","-0.0753135178195364","0.014197653222502","0.0248696244773994","Clark","Culex_pipiens_sl"
"Culexpipienssl_waterCrowfootRanunculus","waterCrowfootRanunculus","0.279075039885507","-0.190014376113339","0.74241716087322","0.224045697086126","Clark","Culex_pipiens_sl"
"Culexpipienssl_rushesJuncusOrScirpus","rushesJuncusOrScirpus","-1.31819625094977","-1.94905446128385","-0.771196254836384","0.312978764979383","Clark","Culex_pipiens_sl"
"Culexpipienssl_filamentousAlgae","filamentousAlgae","0.567626926148179","0.233404184600528","0.997423171615495","0.20666981435677","Clark","Culex_pipiens_sl"
"Culexpipienssl_emergentGrass","emergentGrass","0.363147812469135","-0.410432844962135","1.246413477049","0.438376527468939","Clark","Culex_pipiens_sl"
"Culexpipienssl_ivyLeafedDuckweedLemnaTriscula","ivyLeafedDuckweedLemnaTriscula","-2.03191258131805","-3.46680447014293","-0.73853300941389","0.6811928761577","Clark","Culex_pipiens_sl"
"Culexpipienssl_bulrushesTypha","bulrushesTypha","0.674753913564701","0.0300142760920465","1.34783856963085","0.344827204921694","Clark","Culex_pipiens_sl"
"Culexpipienssl_reedsPhragmites","reedsPhragmites","-0.201858257180333","-0.7165636567634","0.282101161045452","0.267011448494661","Clark","Culex_pipiens_sl"
"Culexpipienssl_marestailHippuris","marestailHippuris","-0.50614253348491","-0.964743059231981","0.051541842042893","0.264383705501125","Clark","Culex_pipiens_sl"
"Culexpipienssl_commonDuckweedLemnaMinor","commonDuckweedLemnaMinor","0.0599215265449672","-0.676916281764434","0.613956826555549","0.329151699786631","Clark","Culex_pipiens_sl"
"Culexmodestus_intercept","intercept","-0.751952471478932","-4.52856645670542","3.1843198645464","1.89762345856092","Clark","Culex_modestus"
"Culexmodestus_depthCM","depthCM","-0.0207750796665891","-0.0349097406058305","-0.00353518903335823","0.00836931578028815","Clark","Culex_modestus"
"Culexmodestus_temperatureC","temperatureC","-0.00494845905937342","-0.183599010943637","0.158572311300127","0.0829656102619794","Clark","Culex_modestus"
"Culexmodestus_oxidationReductionPotentialMv","oxidationReductionPotentialMv","-0.00335589897357006","-0.00869568685132399","0.00194278955285319","0.00275398248113343","Clark","Culex_modestus"
"Culexmodestus_salinityPPT","salinityPPT","0.0500887067217737","0.00282910989906663","0.101306917102237","0.0272992421877977","Clark","Culex_modestus"
"Culexmodestus_waterCrowfootRanunculus","waterCrowfootRanunculus","0.0769496421374392","-0.417571756426613","0.554852424278119","0.263837692948913","Clark","Culex_modestus"
"Culexmodestus_rushesJuncusOrScirpus","rushesJuncusOrScirpus","0.30264497523721","-0.339361765098664","0.916232581106701","0.328415299197861","Clark","Culex_modestus"
"Culexmodestus_filamentousAlgae","filamentousAlgae","0.639921958451299","0.231324049163115","0.999600150635941","0.215169412555925","Clark","Culex_modestus"
"Culexmodestus_emergentGrass","emergentGrass","-0.666988391538019","-1.47786012196471","0.173725176751617","0.451532473213899","Clark","Culex_modestus"
"Culexmodestus_ivyLeafedDuckweedLemnaTriscula","ivyLeafedDuckweedLemnaTriscula","0.355214090854962","-0.974941526491499","1.79241299661457","0.729401430412717","Clark","Culex_modestus"
"Culexmodestus_bulrushesTypha","bulrushesTypha","0.134232920995465","-0.64856228857448","1.03707500592154","0.424396935291833","Clark","Culex_modestus"
"Culexmodestus_reedsPhragmites","reedsPhragmites","0.466231010234688","-0.0337073904366112","0.947777588090887","0.257834902933412","Clark","Culex_modestus"
"Culexmodestus_marestailHippuris","marestailHippuris","0.547706787064357","-0.0117753589189149","1.13851020823257","0.304737167097272","Clark","Culex_modestus"
"Culexmodestus_commonDuckweedLemnaMinor","commonDuckweedLemnaMinor","0.499094787067434","-0.213871809054023","1.21447466240774","0.401894476969344","Clark","Culex_modestus"
"Culisetaannulata_intercept","intercept","4.65628612721895","1.26145697047716","7.73563220127147","1.57786333579266","Clark","Culiseta_annulata"
"Culisetaannulata_depthCM","depthCM","0.0100890448909424","-0.00559433466859101","0.0281312199740757","0.0083555392483637","Clark","Culiseta_annulata"
"Culisetaannulata_temperatureC","temperatureC","-0.240806513214585","-0.375432526699903","-0.103833093847418","0.0668128726349392","Clark","Culiseta_annulata"
"Culisetaannulata_oxidationReductionPotentialMv","oxidationReductionPotentialMv","-0.0148909683790927","-0.0191085465554588","-0.0103763568005217","0.00227358726209771","Clark","Culiseta_annulata"
"Culisetaannulata_salinityPPT","salinityPPT","-0.0502960386987719","-0.0976905075690131","-0.00315826591263843","0.0240089916753204","Clark","Culiseta_annulata"
"Culisetaannulata_waterCrowfootRanunculus","waterCrowfootRanunculus","0.201492105725607","-0.272427539935575","0.631900179640383","0.237605827932053","Clark","Culiseta_annulata"
"Culisetaannulata_rushesJuncusOrScirpus","rushesJuncusOrScirpus","-1.19196091617116","-1.7464169908747","-0.592770782616844","0.307066812221523","Clark","Culiseta_annulata"
"Culisetaannulata_filamentousAlgae","filamentousAlgae","-0.360260034053376","-0.722418647663845","0.0526584995404397","0.193539200845148","Clark","Culiseta_annulata"
"Culisetaannulata_emergentGrass","emergentGrass","-0.000876706303969739","-0.816792788267837","0.894405428880989","0.43790882739487","Clark","Culiseta_annulata"
"Culisetaannulata_ivyLeafedDuckweedLemnaTriscula","ivyLeafedDuckweedLemnaTriscula","-0.585537399671907","-1.75739816653922","0.650483247966627","0.628546715372156","Clark","Culiseta_annulata"
"Culisetaannulata_bulrushesTypha","bulrushesTypha","0.524260586332809","-0.241647506074971","1.20014131026579","0.360497150306428","Clark","Culiseta_annulata"
"Culisetaannulata_reedsPhragmites","reedsPhragmites","-0.584699051125473","-1.06558253735786","-0.0844708182584005","0.257938332319015","Clark","Culiseta_annulata"
"Culisetaannulata_marestailHippuris","marestailHippuris","-0.139365397465567","-0.611934828584235","0.42619118409284","0.273594585363286","Clark","Culiseta_annulata"
"Culisetaannulata_commonDuckweedLemnaMinor","commonDuckweedLemnaMinor","-0.479579455220704","-1.22058351856439","0.0871677239076819","0.308765393784658","Clark","Culiseta_annulata"
"Anophelesmaculipennissl_intercept","intercept","-0.850594505971819","-3.44628053783986","2.13149088172065","1.43867413370141","Clark","Anopheles_maculipennis_sl"
"Anophelesmaculipennissl_depthCM","depthCM","-0.00304372285946202","-0.0172253393862691","0.0111312987992147","0.00753077621662672","Clark","Anopheles_maculipennis_sl"
