"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",10846.9034078044,10000,10481.1981081064,10000,9999.99999999995,9999.99999999998,10000,10000,10000,10000,10546.0572913604,9679.56502300397,10781.6290906324,10000
"2",9999.99999999998,10337.4818234473,9999.99999999999,9999.99999999999,10000,9999.99999999998,10911.5535649208,10000,10000,11401.6986604391,10000,10794.8031642583,10609.0052402047,10000
"3",10338.9372715288,9999.99999999998,10305.8713636308,10000,9999.99999999998,10000,9999.99999999999,10408.7737669554,10000,10599.4213249608,10000,9999.99999999999,10000,10000
"4",10000,10088.7978695045,10000,9999.99999999999,10000,10406.4331510215,9999.99999999997,9999.99999999997,9999.99999999999,10433.7009121658,9999.99999999997,9999.99999999999,9999.99999999998,10310.6104290505
"5",10000,10521.1200614868,9999.99999999999,10458.8464403044,10000,9877.86695210511,10334.0416373289,10317.5284901043,10000,10466.6685692128,10000,10303.186372547,10000,9999.99999999997
"6",10000,9999.99999999999,10000,10000,10000,10000,10000,9999.99999999998,10000,9999.99999999994,10135.2912045464,10594.7277075052,10347.9524429108,10000
"7",9999.99999999998,10000,9999.99999999998,9999.99999999997,9999.99999999997,9675.66165474033,10000,10000,9038.54354392645,9999.99999999999,9703.00472651639,9999.99999999998,10000,9723.65173387309
"8",10000.0000000001,10655.5441286371,10000,10000,9999.99999999999,10000,9999.99999999997,9999.99999999994,10000,10000,9999.99999999992,9999.99999999999,10462.229881448,10000
"9",9999.99999999998,10000,9999.99999999997,10000,9999.99999999999,9960.37896611905,9999.99999999999,10000,9999.99999999999,10000,10000,10000,10429.0093239771,9999.99999999996
"10",9999.99999999997,10000,9999.99999999998,9999.99999999999,9836.71627556786,10000,9999.99999999998,10724.7396152359,10000,9999.99999999993,10370.4143224065,10000,10421.6656689043,9999.99999999999
"11",10000,9122.68285600406,10000,10000,10337.3721885839,9865.28532785857,10000,10520.0473274731,10315.92662394,9999.99999999992,10330.682916318,9999.99999999999,10000,10000
"12",10000,9999.99999999998,10000,9999.99999999998,10401.7453628599,10000,9999.99999999999,10498.056679047,9973.89910014422,9999.9999999999,10000.0000000001,10000,10000,9672.35943670492
"13",9735.6218727468,10000,9614.96142243456,9587.53465305713,10445.7596751228,9999.99999999998,10732.8714484433,10000,9999.99999999999,10320.0473463314,9241.88014596978,9066.72332008539,9511.76913956153,10000
"14",10000.0000000001,10592.5774609364,9999.99999999995,10000,10000,9999.99999999998,10000,10000,10000,10000,10892.3834482083,9999.99999999996,10000,10000
"15",10000,10000,9999.99999999998,9999.99999999997,10000,10000,10000.0000000001,10000,10000,9999.99999999999,10000,9999.99999999999,9999.99999999998,9631.09968850732
"16",9999.99999999999,9999.99999999999,10000,9999.99999999999,10000,9999.99999999997,10000,10000,9304.15779433372,9999.99999999996,10000,9511.08262350974,9977.5378374406,10000
