"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",44430.6275303295,1786.72113609948,1878.32625860089,246.554528311454,42.41393680114,822.308060152061,131.595715916759,2105.08505861293,2426.90335663774,125.353587867491,3908.03700150894,3574.21911783947,115.564625709903,5303.45505245868,4589.93762916384,513.347514351124
"Culex_modestus",1786.72113609948,2717.51597223968,2120.25700549368,1545.21192971501,494.865302809752,356.553903372582,1169.05400438176,2187.44597329915,76.1383668410376,492.608037206349,1675.00015116743,3447.17854254265,374.079395183715,2488.88306967116,2892.30110337112,2089.50055855198
"Culiseta_annulata",1878.32625860089,2120.25700549368,4381.60178005904,860.199381781261,480.685006206629,660.458766719775,38.7879013212997,1800.54575447974,557.408452429764,179.21144305233,486.973580534816,2326.89751568862,419.402645274203,5023.2038570678,2144.7738073538,1303.95189330254
"Anopheles_maculipennis_sl",246.554528311454,1545.21192971501,860.199381781261,30802.3833403621,31.632260493253,318.941638545087,261.628105792381,2410.97050423484,772.254851353495,1228.23154543274,3598.87673404457,4475.25683065875,306.170503826799,5161.4076246496,2470.77578509397,448.034670168083
"waterboatmen__Corixidae",42.41393680114,494.865302809752,480.685006206629,31.632260493253,305692.276692343,207.827431023047,6.50083505434503,906.63127980279,382.235812711923,222.62213541439,715.021767793717,1393.14858054612,113.10766195295,800.397758879161,1973.82666583588,63.6763290852488
"diving_beetles__Dysticidae",822.308060152061,356.553903372582,660.458766719775,318.941638545087,207.827431023047,221.165625429494,159.870680815989,1478.37186095127,2813.85990789494,995.75673999717,1025.59236714628,2724.93196049736,1076.78918919963,2383.0486792881,2688.70857588578,2466.60519111244
"damselflies__Zygoptera",131.595715916759,1169.05400438176,38.7879013212997,261.628105792381,6.50083505434503,159.870680815989,88884.7554213036,269.575225331295,102.304094222509,58.4047866763059,570.698727484559,1017.33104423787,511.617902417974,532.657104824815,404.674982336014,373.356896715359
"swimming_beetles__Haliplidae",2105.08505861293,2187.44597329915,1800.54575447974,2410.97050423484,906.63127980279,1478.37186095127,269.575225331295,1842.78692017414,27.5852393047259,517.465736680282,2776.18636889838,3288.09655589427,649.429965306824,3312.57756734888,3252.51827944607,1021.57362629807
"opossum_shrimps__Mysidae",2426.90335663774,76.1383668410376,557.408452429764,772.254851353495,382.235812711923,2813.85990789494,102.304094222509,27.5852393047259,48.5047529060351,4.70003239350603,2686.57795849564,3896.14844461253,274.260294251725,5828.66521201334,3485.66571628381,177.947751061745
"ditch_shrimp__Gammarus",125.353587867491,492.608037206349,179.21144305233,1228.23154543274,222.62213541439,995.75673999717,58.4047866763059,517.465736680282,4.70003239350603,24.4132925616113,569.80543526668,3416.56157524423,410.442351488902,4766.03338609072,708.475819481842,1722.37109733586
"beetle_larvae__Coleoptera",3908.03700150894,1675.00015116743,486.973580534816,3598.87673404457,715.021767793717,1025.59236714628,570.698727484559,2776.18636889838,2686.57795849564,569.80543526668,5522.59022570416,4890.72979798976,606.571826641778,4072.323002391,3252.85703989296,2210.71119677117
"dragonflies__Anisoptera",3574.21911783947,3447.17854254265,2326.89751568862,4475.25683065875,1393.14858054612,2724.93196049736,1017.33104423787,3288.09655589427,3896.14844461253,3416.56157524423,4890.72979798976,3709.16731020804,223.647343343749,5075.749470481,4186.91541978749,812.605760623319
"mayflies__Ephemeroptera",115.564625709903,374.079395183715,419.402645274203,306.170503826799,113.10766195295,1076.78918919963,511.617902417974,649.429965306824,274.260294251725,410.442351488902,606.571826641778,223.647343343749,12.6799734939359,2182.2018725835,347.962069423556,40.909805761177
"newts__Pleurodelinae",5303.45505245868,2488.88306967116,5023.2038570678,5161.4076246496,800.397758879161,2383.0486792881,532.657104824815,3312.57756734888,5828.66521201334,4766.03338609072,4072.323002391,5075.749470481,2182.2018725835,2087.94012008409,5138.30385510354,3576.86697212158
"fish",4589.93762916384,2892.30110337112,2144.7738073538,2470.77578509397,1973.82666583588,2688.70857588578,404.674982336014,3252.51827944607,3485.66571628381,708.475819481842,3252.85703989296,4186.91541978749,347.962069423556,5138.30385510354,5007.26132849459,4330.28456574888
"saucer_bugs__Ilyocoris",513.347514351124,2089.50055855198,1303.95189330254,448.034670168083,63.6763290852488,2466.60519111244,373.356896715359,1021.57362629807,177.947751061745,1722.37109733586,2210.71119677117,812.605760623319,40.909805761177,3576.86697212158,4330.28456574888,2575.96914117294
