"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,23004.4056162652,4211.72498625424,4208.20196064931,31893.3911554321,54850.8542956364,4984.71721654107,21828.0707043979,29781.4294502134,5254.06909931018,26569.7608527743,19277.8161247078,20251.3801475396,5049.51112705863,18442.036430541,17341.2092093982
"2",23004.4056162652,1,33082.6203000912,89019.6471418935,4672.29614368118,47959.8356206042,27861.7428686026,20430.7555208205,22461.9459704889,21128.5582047429,6010.22316059141,18044.3096577907,15706.8794921061,15003.0719080783,18897.7684816444,12357.0022206326
"3",4211.72498625424,33082.6203000912,1,10785.3943538444,8592.35819961103,10218.3411767581,10756.9156928378,12133.5944869121,10582.2021220955,11169.7433610989,18699.6128867886,18393.1661840762,5846.40834010856,15951.1832627436,18554.0103346334,11793.8344484136
"4",4208.20196064931,89019.6471418935,10785.3943538444,1,19110.822996297,11235.2091000978,8327.91646343269,18762.7927426691,18871.0689068009,5567.58072244861,15848.5842107579,16757.2520489937,12141.8258919668,19900.8080954761,10671.2001229679,8845.80620197949
"5",31893.3911554321,4672.29614368118,8592.35819961103,19110.822996297,1,11921.725637505,10901.605537135,10254.9948230973,9592.06629714697,9907.85041497436,8645.90012382437,9478.7322612692,9816.60674283853,9767.37121814692,10000.0000000001,11099.7011607898
"6",54850.8542956364,47959.8356206042,10218.3411767581,11235.2091000978,11921.725637505,1,10404.702692208,21347.5071680785,26682.8721612733,4832.14387321004,27629.85779394,23480.7677671457,16827.0946440272,28260.4521741555,16517.6639714468,9459.8967418872
"7",4984.71721654107,27861.7428686026,10756.9156928378,8327.91646343269,10901.605537135,10404.702692208,1,16285.8245667581,15974.9935423973,10179.9920632151,8738.46659880892,8850.41600424912,6203.69666883669,9379.98325460701,10876.5236152863,8730.32796049986
"8",21828.0707043979,20430.7555208205,12133.5944869121,18762.7927426691,10254.9948230973,21347.5071680785,16285.8245667581,1,9055.93949517054,8944.93441736239,12536.7825006445,8721.9505583949,7399.51370234833,8551.63802846298,9222.32217340945,15455.4964053895
"9",29781.4294502134,22461.9459704889,10582.2021220955,18871.0689068009,9592.06629714697,26682.8721612733,15974.9935423973,9055.93949517054,1,18410.3134275713,6874.37559196116,16233.4706885433,14731.9375931721,11079.8983628895,15742.5601905734,12185.2122120456
"10",5254.06909931018,21128.5582047429,11169.7433610989,5567.58072244861,9907.85041497436,4832.14387321004,10179.9920632151,8944.93441736239,18410.3134275713,1,13696.1135889009,13272.115738061,15884.2441280327,10611.9428553175,15874.2412185011,9519.05210276327
"11",26569.7608527743,6010.22316059141,18699.6128867886,15848.5842107579,8645.90012382437,27629.85779394,8738.46659880892,12536.7825006445,6874.37559196116,13696.1135889009,1,17717.9510674035,14848.8012146369,6124.14176683782,15126.9017940968,15168.2465290691
"12",19277.8161247078,18044.3096577907,18393.1661840762,16757.2520489937,9478.7322612692,23480.7677671457,8850.41600424912,8721.9505583949,16233.4706885433,13272.115738061,17717.9510674035,1,12544.2376336384,17840.9702391671,10872.7130854615,10300.7640339392
"13",20251.3801475396,15706.8794921061,5846.40834010856,12141.8258919668,9816.60674283853,16827.0946440272,6203.69666883669,7399.51370234833,14731.9375931721,15884.2441280327,14848.8012146369,12544.2376336384,1,12067.4904802851,13540.9517948742,8554.54917604664
"14",5049.51112705863,15003.0719080783,15951.1832627436,19900.8080954761,9767.37121814692,28260.4521741555,9379.98325460701,8551.63802846298,11079.8983628895,10611.9428553175,6124.14176683782,17840.9702391671,12067.4904802851,1,18609.5571317584,9863.51588079959
"15",18442.036430541,18897.7684816444,18554.0103346334,10671.2001229679,10000.0000000001,16517.6639714468,10876.5236152863,9222.32217340945,15742.5601905734,15874.2412185011,15126.9017940968,10872.7130854615,13540.9517948742,18609.5571317584,1,12334.32892987
"16",17341.2092093982,12357.0022206326,11793.8344484136,8845.80620197949,11099.7011607898,9459.8967418872,8730.32796049986,15455.4964053895,12185.2122120456,9519.05210276327,15168.2465290691,10300.7640339392,8554.54917604664,9863.51588079959,12334.32892987,1
